sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-45701.70490611574,0.0,-0.0004570170490611573,0.0,0.0,1.6391131690530583e+23,1.4160490461260947e+24,1.1005006696883262e+24,0.0,163911316905.3058,1416049046126.0942,1272515695866.9102,0.0,0.0,0.0,1606751847845.5295,0.0,0.0,0.0,0.0,0.0,163911316905.30557,1416049046126.086,564844193956.4628,0.0,0.0,0.0,-899080345935.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83510216850.5974,0.0,0.0,0.0,0.09656337759224698,0.0,0.0,0.0,-1606751847845.5295,0.0,0.0,0.0,833744020614.4604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899080345935.0818,0.0,0.0,0.0,-126072518703.91628,1.012565371981367e-17,-45701.70490611371,1.0125653719813668e-25,-0.000457017049061137,0.0,1.6391131690530583e+23,1.4160490461260947e+24,1.1005006696884105e+24,0.0,163911316905.3058,1416049046126.0942,1272515695867.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833744020614.4604,0.0,163911316905.30557,1416049046126.086,564844193956.4628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126072518703.91628,0.0,0.0,0.0,0.0,1.759600684936471e-64,17047163.80864762,1381357.572413835,1653600847600.585,0.0,0.0,0.0,0.0,7.732574042862293e-64,600800.7734181585,6070134.412082795,834144972960.5911,0.0,0.0,0.0,0.0,62589837.95057231,163921867656.90387,1416085781024.596,564844789058.7698
0.02,-1,-1,1,-45681.69837235002,0.0,-0.0004568169837235002,0.0,0.0,1.6391131655915304e+23,1.4160488924090407e+24,1.0994208716293454e+24,0.0,163911316559.15298,1416048892409.0403,1271267118727.19,0.0,0.0,0.0,1607017494660.0137,0.0,0.0,0.0,0.0,0.0,163911316559.15283,1416048892409.0332,564844190984.3613,0.0,0.0,0.0,-900594566917.1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0548667380701664e+16,0.0,0.0,0.0,23760.5505306024,0.0,0.0,0.0,-1607017494660.0137,0.0,0.0,0.0,833233923473.5087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900594566917.1853,0.0,0.0,0.0,-126810971970.13025,1.012565371981367e-17,-45681.69837234793,1.0125653719813668e-25,-0.0004568169837234792,0.0,1.6391131655915304e+23,1.4160488924090407e+24,1.0994208921780118e+24,0.0,163911316559.15298,1416048892409.0403,1271267142487.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833233923473.5087,0.0,163911316559.15283,1416048892409.0332,564844190984.3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126810971970.13025,0.0,0.0,0.0,0.0,1.7780135663756132e-64,17002326.681566358,1395812.7396635155,1653945458391.3367,0.0,0.0,0.0,0.0,7.728891466574304e-64,600062.4509765628,6067243.393673953,833637267048.9618,0.0,0.0,0.0,0.0,62589837.95057228,163921867656.90408,1416085781024.5957,564844789058.7698
0.04,-1,-1,1,-45661.48116419436,0.0,-0.00045661481164194353,0.0,0.0,1.639113162094021e+23,1.416048737328932e+24,1.0983296796071803e+24,0.0,163911316209.40207,1416048737328.932,1270005366677.7312,0.0,0.0,0.0,1607284197771.9978,0.0,0.0,0.0,0.0,0.0,163911316209.40173,1416048737328.9243,564844187976.9777,0.0,0.0,0.0,-902123019071.2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.675529613271939e+16,0.0,0.0,0.0,77189.55967122404,0.0,0.0,0.0,-1607284197771.9978,0.0,0.0,0.0,832719500451.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902123019071.2441,0.0,0.0,0.0,-127558244560.75253,8.86347627146005e-18,-45661.481164192315,8.863476271460049e-26,-0.00045661481164192304,0.0,1.639113162094021e+23,1.416048737328932e+24,1.0983297463624772e+24,0.0,163911316209.40207,1416048737328.932,1270005443867.2917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832719500451.067,0.0,163911316209.40173,1416048737328.9243,564844187976.9777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127558244560.75253,0.0,0.0,0.0,0.0,1.7968008131458776e-64,16957252.79370753,1410561.8072187027,1654291867267.6392,0.0,0.0,0.0,0.0,7.72513401722007e-64,599318.5620999946,6064293.595452351,833125263835.223,0.0,0.0,0.0,0.0,62589837.95057228,163921867656.90405,1416085781024.595,564844789058.7697
0.06,-1,-1,1,-45641.04811308561,0.0,-0.00045641048113085605,0.0,0.0,1.639113158561346e+23,1.416048580852638e+24,1.0972269327071476e+24,0.0,163911315856.13455,1416048580852.6377,1268730253651.8958,0.0,0.0,0.0,1607551993247.329,0.0,0.0,0.0,0.0,0.0,163911315856.1343,1416048580852.6304,564844184933.5048,0.0,0.0,0.0,-903665924528.9374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8859061646416551.0,0.0,0.0,0.0,10243.787492569478,0.0,0.0,0.0,-1607551993247.329,0.0,0.0,0.0,832200644392.8488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903665924528.9374,0.0,0.0,0.0,-128314565430.67049,8.86347627146005e-18,-45641.04811308344,8.863476271460049e-26,-0.0004564104811308343,0.0,1.639113158561346e+23,1.416048580852638e+24,1.0972269415662094e+24,0.0,163911315856.13455,1416048580852.6377,1268730263895.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832200644392.8488,0.0,163911315856.1343,1416048580852.6304,564844184933.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128314565430.67049,0.0,0.0,0.0,0.0,1.8159740915492233e-64,16911935.97606375,1425613.9324798742,1654640121871.6702,0.0,0.0,0.0,0.0,7.721299361539211e-64,598568.8437085596,6061283.185943887,832608856907.4474,0.0,0.0,0.0,0.0,62589837.95057232,163921867656.9042,1416085781024.5947,564844789058.77
0.08,-1,-1,1,-45620.393781486535,0.0,-0.0004562039378148653,0.0,0.0,1.6391131549896976e+23,1.4160484229458338e+24,1.096112189976162e+24,0.0,163911315498.96973,1416048422945.8335,1267441269772.9177,0.0,0.0,0.0,1607820899580.425,0.0,0.0,0.0,0.0,0.0,163911315498.9695,1416048422945.8247,564844181852.8956,0.0,0.0,0.0,-905223811660.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9014505998539776.0,0.0,0.0,0.0,10423.528753396415,0.0,0.0,0.0,-1607820899580.425,0.0,0.0,0.0,831677249119.6764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905223811660.405,0.0,0.0,0.0,-129080150776.12512,8.86347627146005e-18,-45620.39378148461,8.863476271460049e-26,-0.000456203937814846,0.0,1.6391131549896976e+23,1.4160484229458338e+24,1.0961121989906677e+24,0.0,163911315498.96973,1416048422945.8335,1267441280196.4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831677249119.6764,0.0,163911315498.9695,1416048422945.8247,564844181852.8956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129080150776.12512,0.0,0.0,0.0,0.0,1.8355455364831932e-64,16866370.0728823,1440978.6402077533,1654990268237.4614,0.0,0.0,0.0,0.0,7.717385072552224e-64,597813.318928779,6058210.260202539,832087940787.3538,0.0,0.0,0.0,0.0,62589837.9505723,163921867656.90375,1416085781024.5955,564844789058.7698
0.1,-1,-1,1,-45599.512540780386,0.0,-0.0004559951254078038,0.0,0.0,1.6391131513786803e+23,1.4160482635726413e+24,1.0949852004113729e+24,0.0,163911315137.86798,1416048263572.6409,1266138124804.6565,0.0,0.0,0.0,1608090950581.1472,0.0,0.0,0.0,0.0,0.0,163911315137.8677,1416048263572.6328,564844178734.2184,0.0,0.0,0.0,-906797004510.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9176741790559024.0,0.0,0.0,0.0,10611.122997963626,0.0,0.0,0.0,-1608090950581.1472,0.0,0.0,0.0,831149199925.8438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906797004510.71,0.0,0.0,0.0,-129855243244.28288,1.012565371981367e-17,-45599.512540778225,1.0125653719813668e-25,-0.00045599512540778214,0.0,1.6391131513786803e+23,1.4160482635726413e+24,1.0949852095881146e+24,0.0,163911315137.86798,1416048263572.6409,1266138135415.7795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831149199925.8438,0.0,163911315137.8677,1416048263572.6328,564844178734.2184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129855243244.28288,0.0,0.0,0.0,0.0,1.8555278068210374e-64,16820548.466350112,1456665.8663002807,1655342357063.4314,0.0,0.0,0.0,0.0,7.713388618484464e-64,597051.7801333565,6055072.831055038,831562401555.9712,0.0,0.0,0.0,0.0,62589837.95057228,163921867656.90408,1416085781024.5955,564844789058.7697
0.12,-1,-1,1,-45578.39850770555,0.0,-0.00045578398507705543,0.0,0.0,1.639113147726888e+23,1.4160481026957122e+24,1.0938456464781834e+24,0.0,163911314772.68875,1416048102695.712,1264820451579.904,0.0,0.0,0.0,1608362177574.204,0.0,0.0,0.0,0.0,0.0,163911314772.68845,1416048102695.7031,564844175576.4546,0.0,0.0,0.0,-908385901570.7527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9346162594975494.0,0.0,0.0,0.0,10807.02531657595,0.0,0.0,0.0,-1608362177574.204,0.0,0.0,0.0,830616378395.4951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908385901570.7527,0.0,0.0,0.0,-130640091585.01936,8.86347627146005e-18,-45578.39850770338,8.863476271460049e-26,-0.0004557839850770337,0.0,1.639113147726888e+23,1.4160481026957122e+24,1.0938456558243468e+24,0.0,163911314772.68875,1416048102695.712,1264820462386.9304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830616378395.4951,0.0,163911314772.68845,1416048102695.7031,564844175576.4546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130640091585.01936,0.0,0.0,0.0,0.0,1.8759340863455048e-64,16774464.315975482,1472685.9588859654,1655696440443.3896,0.0,0.0,0.0,0.0,7.709307362579383e-64,596284.0732003594,6051868.828882171,831032121603.9353,0.0,0.0,0.0,0.0,62589837.95057232,163921867656.9037,1416085781024.5952,564844789058.7694
0.14,-1,-1,1,-45557.04553754107,0.0,-0.00045557045537541064,0.0,0.0,1.6391131440328632e+23,1.4160479402761066e+24,1.0926931965302848e+24,0.0,163911314403.2863,1416047940276.1062,1263487866613.993,0.0,0.0,0.0,1608634613179.1653,0.0,0.0,0.0,0.0,0.0,163911314403.2861,1416047940276.097,564844172378.543,0.0,0.0,0.0,-909990918943.7155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9523180403938158.0,0.0,0.0,0.0,11011.71209829027,0.0,0.0,0.0,-1608634613179.1653,0.0,0.0,0.0,830078661079.3766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909990918943.7155,0.0,0.0,0.0,-131434955832.21419,1.012565371981367e-17,-45557.04553753891,1.0125653719813668e-25,-0.000455570455375389,0.0,1.6391131440328632e+23,1.4160479402761066e+24,1.0926932060534672e+24,0.0,163911314403.2863,1416047940276.1062,1263487877625.7073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830078661079.3766,0.0,163911314403.2861,1416047940276.097,564844172378.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131434955832.21419,0.0,0.0,0.0,0.0,1.8967781073967236e-64,16728110.49281654,1489049.6972041987,1656052572683.9697,0.0,0.0,0.0,0.0,7.705138558368942e-64,595510.0372846633,6048596.097842682,830496978325.063,0.0,0.0,0.0,0.0,62589837.95057226,163921867656.90378,1416085781024.5957,564844789058.77
0.16,-1,-1,1,-45535.44720624382,0.0,-0.0004553544720624382,0.0,0.0,1.6391131402950427e+23,1.4160477762731963e+24,1.0915275038455528e+24,0.0,163911314029.50424,1416047776273.196,1262139968989.997,0.0,0.0,0.0,1608908291379.3262,0.0,0.0,0.0,0.0,0.0,163911314029.50403,1416047776273.1875,564844169139.3708,0.0,0.0,0.0,-911612491528.6996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9708258125270790.0,0.0,0.0,0.0,11225.718606271548,0.0,0.0,0.0,-1608908291379.3262,0.0,0.0,0.0,829535919195.3336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911612491528.6996,0.0,0.0,0.0,-132240108118.9881,7.601298823106432e-18,-45535.44720624166,7.60129882310643e-26,-0.00045535447206241655,0.0,1.6391131402950427e+23,1.4160477762731963e+24,1.0915275135538102e+24,0.0,163911314029.50424,1416047776273.196,1262139980215.7148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829535919195.3336,0.0,163911314029.50403,1416047776273.1875,564844169139.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132240108118.9881,0.0,0.0,0.0,0.0,1.918074169943773e-64,16681479.563172368,1505768.306742231,1656410810435.1682,0.0,0.0,0.0,0.0,7.700879345859333e-64,594729.5043681847,6045252.392846019,829956843819.484,0.0,0.0,0.0,0.0,62589837.9505723,163921867656.90408,1416085781024.596,564844789058.7704
