sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47685.25786507337,0.0,-0.00047685257865073366,0.0,1.4160354047908788e+24,0.0,1.599910521817677e+24,2.263058497979162e+23,1416035404790.8784,0.0,1333938442236.192,226305849797.91617,0.0,0.0,954625561176.933,0.0,0.0,0.0,0.0,0.0,1416035404790.8745,0.0,466136588075.55145,226305849797.91556,0.0,0.0,-86823707016.29378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5405747053526.684,0.0,0.0,0.0,4.507085680961609,0.0,0.0,0.0,-954625561176.933,0.0,0.0,0.0,972675957503.0558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86823707016.29378,0.0,0.0,0.0,-104874103337.9096,0.0,1.5306906012000876e-17,-47685.257865071384,1.5306906012000873e-25,-0.00047685257865071377,1.4160354047908788e+24,0.0,1.5999105218230804e+24,2.263058497979162e+23,1416035404790.8784,0.0,1333938442240.6968,226305849797.91617,0.0,0.0,0.0,0.0,0.0,0.0,972675957503.0558,0.0,1416035404790.8745,0.0,466136588075.55145,226305849797.91556,0.0,0.0,0.0,0.0,0.0,0.0,-104874103337.9096,0.0,0.0,0.0,0.0,0.0,270397.73229326075,3.44458884503242e-65,961058223137.4526,12560241.294648537,0.0,0.0,0.0,0.0,11186975.34582057,1.4250746887218414e-63,972809432429.2303,697.6734211197198,0.0,0.0,0.0,0.0,1416085781024.587,62589837.95057226,466136704144.9566,226317277449.2942
0.02,-1,-1,1,-47669.24825903557,0.0,-0.00047669248259035567,0.0,1.4160353797007068e+24,0.0,1.598712104947672e+24,2.263058243772244e+23,1416035379700.7065,0.0,1332939252399.6826,226305824377.22433,0.0,0.0,954303222486.0446,0.0,0.0,0.0,0.0,0.0,1416035379700.7036,0.0,466136585030.29224,226305824377.22363,0.0,0.0,-87500555116.65385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-908817850199809.4,0.0,0.0,0.0,-757.734292536974,0.0,0.0,0.0,-954303222486.0446,0.0,0.0,0.0,973858449682.8357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87500555116.65385,0.0,0.0,0.0,-107055783071.17912,0.0,1.2782551115293637e-17,-47669.24825903353,1.2782551115293635e-25,-0.00047669248259033523,1.4160353797007068e+24,0.0,1.5987121040388561e+24,2.263058243772244e+23,1416035379700.7065,0.0,1332939251641.95,226305824377.22433,0.0,0.0,0.0,0.0,0.0,0.0,973858449682.8357,0.0,1416035379700.7036,0.0,466136585030.29224,226305824377.22363,0.0,0.0,0.0,0.0,0.0,0.0,-107055783071.17912,0.0,0.0,0.0,0.0,0.0,273981.44733933505,3.4902416484487475e-65,960786094069.7534,12593906.074127464,0.0,0.0,0.0,0.0,11184825.130684081,1.4248007719054355e-63,973994936128.7358,711.1997949740651,0.0,0.0,0.0,0.0,1416085781024.5864,62589837.950572275,466136704144.9561,226317277449.29376
0.04,-1,-1,1,-47653.05173497143,0.0,-0.00047653051734971425,0.0,1.4160353548188164e+24,0.0,1.5974996969938417e+24,2.2630579869376328e+23,1416035354818.8162,0.0,1331928397382.9597,226305798693.7632,0.0,0.0,953976508410.4252,0.0,0.0,0.0,0.0,0.0,1416035354818.8152,0.0,466136581929.79016,226305798693.76266,0.0,0.0,-88184692957.25557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3538774363908233.0,0.0,0.0,0.0,-2950.4819788634777,0.0,0.0,0.0,-953976508410.4252,0.0,0.0,0.0,975053736311.0986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88184692957.25557,0.0,0.0,0.0,-109261923808.41159,0.0,1.1520373666940018e-17,-47653.05173496924,1.1520373666940016e-25,-0.0004765305173496923,1.4160353548188164e+24,0.0,1.597499693455066e+24,2.2630579869376328e+23,1416035354818.8162,0.0,1331928394432.4768,226305798693.7632,0.0,0.0,0.0,0.0,0.0,0.0,975053736311.0986,0.0,1416035354818.8152,0.0,466136581929.79016,226305798693.76266,0.0,0.0,0.0,0.0,0.0,0.0,-109261923808.41159,0.0,0.0,0.0,0.0,0.0,277543.5045893323,3.5356185525181664e-65,960510130333.1437,12628045.141480673,0.0,0.0,0.0,0.0,11182687.910124196,1.424528510485086e-63,975193267998.0332,725.2280939691077,0.0,0.0,0.0,0.0,1416085781024.5867,62589837.95057227,466136704144.95624,226317277449.2938
0.06,-1,-1,1,-47636.66378802984,0.0,-0.00047636663788029826,0.0,1.4160353301320303e+24,0.0,1.5962729522166726e+24,2.263057727415837e+23,1416035330132.0298,0.0,1330905588922.8845,226305772741.58365,0.0,0.0,953645338360.193,0.0,0.0,0.0,0.0,0.0,1416035330132.0273,0.0,466136578772.83453,226305772741.583,0.0,0.0,-88876328210.14311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854002590247362.2,0.0,0.0,0.0,1545.7897759974003,0.0,0.0,0.0,-953645338360.193,0.0,0.0,0.0,976261959374.3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88876328210.14311,0.0,0.0,0.0,-111492947678.47334,0.0,1.5306906012000876e-17,-47636.663788027836,1.5306906012000873e-25,-0.00047636663788027826,1.4160353301320303e+24,0.0,1.5962729540706755e+24,2.263057727415837e+23,1416035330132.0298,0.0,1330905590468.6746,226305772741.58365,0.0,0.0,0.0,0.0,0.0,0.0,976261959374.3132,0.0,1416035330132.0273,0.0,466136578772.83453,226305772741.583,0.0,0.0,0.0,0.0,0.0,0.0,-111492947678.47334,0.0,0.0,0.0,0.0,0.0,281084.56644964725,3.5807279962575677e-65,960230266745.0741,12662666.556705246,0.0,0.0,0.0,0.0,11180563.286699947,1.424257853826692e-63,976404570608.3761,739.7856431838146,0.0,0.0,0.0,0.0,1416085781024.586,62589837.95057224,466136704144.95667,226317277449.29413
0.08,-1,-1,1,-47620.07942282492,0.0,-0.0004762007942282491,0.0,1.4160353056273316e+24,0.0,1.5950315098224765e+24,2.2630574651446524e+23,1416035305627.3313,0.0,1329870526204.778,226305746514.46518,0.0,0.0,953309627170.7656,0.0,0.0,0.0,0.0,0.0,1416035305627.3284,0.0,466136575558.13403,226305746514.4646,0.0,0.0,-89575676524.12181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141089749886788.06,0.0,0.0,0.0,117.63472932577133,0.0,0.0,0.0,-953309627170.7656,0.0,0.0,0.0,977483273703.4326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89575676524.12181,0.0,0.0,0.0,-113749322939.1543,0.0,1.5306983049198652e-17,-47620.07942282281,1.5306983049198649e-25,-0.0004762007942282281,1.4160353056273316e+24,0.0,1.5950315099635667e+24,2.2630574651446524e+23,1416035305627.3313,0.0,1329870526322.4133,226305746514.46518,0.0,0.0,0.0,0.0,0.0,0.0,977483273703.4326,0.0,1416035305627.3284,0.0,466136575558.13403,226305746514.4646,0.0,0.0,0.0,0.0,0.0,0.0,-113749322939.1543,0.0,0.0,0.0,0.0,0.0,284605.3323294156,3.6255788901683797e-65,959946434139.5057,12697778.875932053,0.0,0.0,0.0,0.0,11178450.840768889,1.4239887484672444e-63,977628999439.9493,754.901750787373,0.0,0.0,0.0,0.0,1416085781024.587,62589837.95057227,466136704144.957,226317277449.2944
0.1,-1,-1,1,-47603.29372216725,0.0,-0.00047603293722167243,0.0,1.4160352812923191e+24,0.0,1.5937749953401588e+24,2.2630572000588475e+23,1416035281292.3188,0.0,1328822897010.3118,226305720005.8847,0.0,0.0,952969284125.8925,0.0,0.0,0.0,0.0,0.0,1416035281292.3162,0.0,466136572284.35583,226305720005.88394,0.0,0.0,-90282959399.93657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1264796773158832.5,0.0,0.0,0.0,-1054.5346219837666,0.0,0.0,0.0,-952969284125.8925,0.0,0.0,0.0,978717851574.4441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90282959399.93657,0.0,0.0,0.0,-116031527903.02281,0.0,1.5306983049198652e-17,-47603.29372216519,1.5306983049198649e-25,-0.00047603293722165183,1.4160352812923191e+24,0.0,1.5937749940753618e+24,2.2630572000588475e+23,1416035281292.3188,0.0,1328822895955.777,226305720005.8847,0.0,0.0,0.0,0.0,0.0,0.0,978717851574.4441,0.0,1416035281292.3162,0.0,466136572284.35583,226305720005.88394,0.0,0.0,0.0,0.0,0.0,0.0,-116031527903.02281,0.0,0.0,0.0,0.0,0.0,288106.4657285325,3.6701796873505356e-65,959658558232.309,12733391.2917103,0.0,0.0,0.0,0.0,11176350.174233861,1.4237211436881472e-63,978866727432.1989,770.6079943265291,0.0,0.0,0.0,0.0,1416085781024.5867,62589837.95057228,466136704144.9568,226317277449.29404
0.12,-1,-1,1,-47586.30146987609,0.0,-0.00047586301469876085,0.0,1.4160352571148562e+24,0.0,1.5925030183464979e+24,2.2630569320901078e+23,1416035257114.856,0.0,1327762375820.9414,226305693209.0107,0.0,0.0,952624213255.4741,0.0,0.0,0.0,0.0,0.0,1416035257114.8528,0.0,466136568950.1006,226305693209.00995,0.0,0.0,-90998406384.63315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2407077111362771.0,0.0,0.0,0.0,-2006.920167401433,0.0,0.0,0.0,-952624213255.4741,0.0,0.0,0.0,979965880296.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90998406384.63315,0.0,0.0,0.0,-118340075432.2388,0.0,1.5306983049198652e-17,-47586.3014698742,1.5306983049198649e-25,-0.0004758630146987419,1.4160352571148562e+24,0.0,1.5925030159394218e+24,2.2630569320901078e+23,1416035257114.856,0.0,1327762373814.022,226305693209.0107,0.0,0.0,0.0,0.0,0.0,0.0,979965880296.1592,0.0,1416035257114.8528,0.0,466136568950.1006,226305693209.00995,0.0,0.0,0.0,0.0,0.0,0.0,-118340075432.2388,0.0,0.0,0.0,0.0,0.0,291588.641905906,3.7145389906898118e-65,959366560082.2096,12769513.575516911,0.0,0.0,0.0,0.0,11174260.881942455,1.4234549878720872e-63,980117942604.9355,786.938378508055,0.0,0.0,0.0,0.0,1416085781024.5867,62589837.95057229,466136704144.9563,226317277449.2937
0.14,-1,-1,1,-47569.09722741963,0.0,-0.00047569097227419623,0.0,1.4160352330831132e+24,0.0,1.591215171768005e+24,2.2630566611668567e+23,1416035233083.1128,0.0,1326688623235.8267,226305666116.6856,0.0,0.0,952274312971.1031,0.0,0.0,0.0,0.0,0.0,1416035233083.1094,0.0,466136565553.89886,226305666116.68475,0.0,0.0,-91722255289.17584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3323244953152786.0,0.0,0.0,0.0,-2770.78257535398,0.0,0.0,0.0,-952274312971.1031,0.0,0.0,0.0,981227563321.6072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91722255289.17584,0.0,0.0,0.0,-120675508410.46185,0.0,1.4044805600845033e-17,-47569.09722741775,1.404480560084503e-25,-0.00047569097227417737,1.4160352330831132e+24,0.0,1.59121516844476e+24,2.2630566611668567e+23,1416035233083.1128,0.0,1326688620465.0442,226305666116.6856,0.0,0.0,0.0,0.0,0.0,0.0,981227563321.6072,0.0,1416035233083.1094,0.0,466136565553.89886,226305666116.68475,0.0,0.0,0.0,0.0,0.0,0.0,-120675508410.46185,0.0,0.0,0.0,0.0,0.0,295052.5372450071,3.758665417329357e-65,959070355742.7013,12806156.120037226,0.0,0.0,0.0,0.0,11172182.558067426,1.423190229316203e-63,981382849162.9474,803.9295857387359,0.0,0.0,0.0,0.0,1416085781024.586,62589837.95057222,466136704144.9561,226317277449.29385
0.16,-1,-1,1,-47551.67531958417,0.0,-0.00047551675319584157,0.0,1.416035209185526e+24,0.0,1.5899110308089356e+24,2.2630563872140324e+23,1416035209185.5256,0.0,1325601285078.052,226305638721.4032,0.0,0.0,951919475798.6017,0.0,0.0,0.0,0.0,0.0,1416035209185.523,0.0,466136562094.2104,226305638721.4024,0.0,0.0,-92454752814.76042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4045628404882048.5,0.0,0.0,0.0,-3373.0756680965424,0.0,0.0,0.0,-951919475798.6017,0.0,0.0,0.0,982503120773.8677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92454752814.76042,0.0,0.0,0.0,-123038401163.10258,0.0,1.4044805600845033e-17,-47551.67531958202,1.404480560084503e-25,-0.00047551675319582016,1.416035209185526e+24,0.0,1.5899110267633064e+24,2.2630563872140324e+23,1416035209185.5256,0.0,1325601281704.9756,226305638721.4032,0.0,0.0,0.0,0.0,0.0,0.0,982503120773.8677,0.0,1416035209185.523,0.0,466136562094.2104,226305638721.4024,0.0,0.0,0.0,0.0,0.0,0.0,-123038401163.10258,0.0,0.0,0.0,0.0,0.0,298498.83031886636,3.8025676121959675e-65,958769856041.2681,12843329.965532027,0.0,0.0,0.0,0.0,11170114.795467848,1.4229268161509399e-63,982661668023.3263,821.6212412182657,0.0,0.0,0.0,0.0,1416085781024.587,62589837.95057226,466136704144.95685,226317277449.2944
