sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-44463.850616776064,0.0,-0.00044463850616776056,0.0,1.667037810780606e+23,1.4160305213454416e+24,0.0,1.0465615299690694e+24,166703781078.06058,1416030521345.4414,0.0,1192480968677.444,0.0,0.0,0.0,837366217269.5518,0.0,0.0,0.0,0.0,166703781078.06036,1416030521345.4387,0.0,560428902256.4869,0.0,0.0,0.0,-205314150848.59268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257393747488.69888,0.0,0.0,0.0,-0.2932815095409751,0.0,0.0,0.0,-837366217269.5518,0.0,0.0,0.0,1622228692410.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205314150848.59268,0.0,0.0,0.0,-990176625989.532,8.756317529354345e-18,-44463.8506167741,8.756317529354343e-26,-0.00044463850616774093,1.667037810780606e+23,1.4160305213454416e+24,0.0,1.0465615299688124e+24,166703781078.06058,1416030521345.4414,0.0,1192480968677.1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622228692410.1978,166703781078.06036,1416030521345.4387,0.0,560428902256.4869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-990176625989.532,0.0,0.0,0.0,0.0,1790810.0195699583,308168.61035529117,3.925765775166998e-65,839504649099.6907,0.0,0.0,0.0,0.0,0.297943516100818,30190783.176774602,3.84595880116515e-63,1638205917469.5781,0.0,0.0,0.0,0.0,166712132716.81357,1416085781024.5933,62589837.9505723,560430654727.693
0.02,-1,-1,1,-44445.521328342926,0.0,-0.0004444552132834292,0.0,1.6670376217593806e+23,1.41603051467546e+24,0.0,1.0455575183975529e+24,166703762175.93802,1416030514675.4597,0.0,1191336970300.7786,0.0,0.0,0.0,836790126915.1348,0.0,0.0,0.0,0.0,166703762175.93774,1416030514675.458,0.0,560428896867.2966,0.0,0.0,0.0,-205882053481.65134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1498157600281840.2,0.0,0.0,0.0,-1707.0419418802485,0.0,0.0,0.0,-836790126915.1348,0.0,0.0,0.0,1622639071376.4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205882053481.65134,0.0,0.0,0.0,-991730999649.9956,8.756317529354345e-18,-44445.52132834094,8.756317529354343e-26,-0.00044445521328340934,1.6670376217593806e+23,1.41603051467546e+24,0.0,1.0455575168993955e+24,166703762175.93802,1416030514675.4597,0.0,1191336968593.7368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622639071376.4353,166703762175.93774,1416030514675.458,0.0,560428896867.2966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-991730999649.9956,0.0,0.0,0.0,0.0,1791892.729137971,308269.31313636154,3.927048615908032e-65,838934478315.8021,0.0,0.0,0.0,0.0,0.30220117124024615,30190279.679593883,3.845894659128096e-63,1638641425285.306,0.0,0.0,0.0,0.0,166712132716.81357,1416085781024.5945,62589837.95057233,560430654727.6932
0.04,-1,-1,1,-44427.027672346354,0.0,-0.0004442702767234635,0.0,1.667037430910086e+23,1.416030507951348e+24,0.0,1.0445445035448626e+24,166703743091.00854,1416030507951.3477,0.0,1190182713338.1167,0.0,0.0,0.0,836209079358.089,0.0,0.0,0.0,0.0,166703743091.00827,1416030507951.345,0.0,560428891426.8966,0.0,0.0,0.0,-206455257446.86758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3848088592989002.5,0.0,0.0,0.0,-4384.61789538525,0.0,0.0,0.0,-836209079358.089,0.0,0.0,0.0,1623051400778.9844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206455257446.86758,0.0,0.0,0.0,-993297583252.3821,1.0018533496306851e-17,-44427.02767234437,1.001853349630685e-25,-0.0004442702767234436,1.667037430910086e+23,1.416030507951348e+24,0.0,1.0445444996967731e+24,166703743091.00854,1416030507951.3477,0.0,1190182708953.4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623051400778.9844,166703743091.00827,1416030507951.345,0.0,560428891426.8966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-993297583252.3821,0.0,0.0,0.0,0.0,1792984.746952928,308370.65992202744,3.9283396605705845e-65,838359405589.9515,0.0,0.0,0.0,0.0,0.30659995958495234,30189772.96249686,3.84583010689497e-63,1639079080928.7566,0.0,0.0,0.0,0.0,166712132716.81332,1416085781024.5928,62589837.950572304,560430654727.6921
0.06,-1,-1,1,-44408.36567239631,0.0,-0.000444083656723963,0.0,1.667037238187929e+23,1.416030501171796e+24,0.0,1.0435222665031369e+24,166703723818.79285,1416030501171.7957,0.0,1189017948359.8254,0.0,0.0,0.0,835622953979.9954,0.0,0.0,0.0,0.0,166703723818.79245,1416030501171.7935,0.0,560428885934.047,0.0,0.0,0.0,-207033891554.21628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-544228215948742.4,0.0,0.0,0.0,-620.1085856417194,0.0,0.0,0.0,-835622953979.9954,0.0,0.0,0.0,1623465732063.8977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207033891554.21628,0.0,0.0,0.0,-994876670258.2273,8.756356047953233e-18,-44408.36567239437,8.756356047953231e-26,-0.00044408365672394363,1.667037238187929e+23,1.416030501171796e+24,0.0,1.0435222659589102e+24,166703723818.79285,1416030501171.7957,0.0,1189017947739.7185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623465732063.8977,166703723818.79245,1416030501171.7935,0.0,560428885934.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-994876670258.2273,0.0,0.0,0.0,0.0,1794086.2998767963,308472.6668321708,3.92963911449575e-65,837779311644.8915,0.0,0.0,0.0,0.0,0.31114715999889986,30189262.94488673,3.845765134198703e-63,1639518940591.2068,0.0,0.0,0.0,0.0,166712132716.81308,1416085781024.5933,62589837.95057228,560430654727.692
0.08,-1,-1,1,-44389.531146004985,0.0,-0.0004438953114600498,0.0,1.6670370435462714e+23,1.4160304943353565e+24,0.0,1.0424905796320109e+24,166703704354.6271,1416030494335.3562,0.0,1187842415986.2166,0.0,0.0,0.0,835031625400.2439,0.0,0.0,0.0,0.0,166703704354.62668,1416030494335.355,0.0,560428880387.4277,0.0,0.0,0.0,-207618089801.45383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-541357698202143.9,0.0,0.0,0.0,-616.8378388341516,0.0,0.0,0.0,-835031625400.2439,0.0,0.0,0.0,1623882118381.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207618089801.45383,0.0,0.0,0.0,-996468583399.5881,7.494178599599614e-18,-44389.531146003006,7.494178599599612e-26,-0.00044389531146003,1.6670370435462714e+23,1.4160304943353565e+24,0.0,1.0424905790906545e+24,166703704354.6271,1416030494335.3562,0.0,1187842415369.3804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623882118381.5408,166703704354.62668,1416030494335.355,0.0,560428880387.4277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-996468583399.5881,0.0,0.0,0.0,0.0,1795197.6237951543,308575.35433589475,3.930947238427743e-65,837194072495.2632,0.0,0.0,0.0,0.0,0.315850562473884,30188749.524421252,3.8456997280021e-63,1639961062641.4316,0.0,0.0,0.0,0.0,166712132716.81332,1416085781024.5925,62589837.9505723,560430654727.6921
0.1,-1,-1,1,-44370.5197691481,0.0,-0.00044370519769148094,0.0,1.667036846936493e+23,1.4160304874405959e+24,0.0,1.0414492055426507e+24,166703684693.64926,1416030487440.5955,0.0,1186655845729.9292,0.0,0.0,0.0,834434962780.6729,0.0,0.0,0.0,0.0,166703684693.6488,1416030487440.5935,0.0,560428874785.6866,0.0,0.0,0.0,-208207991836.42877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-538433802417470.5,0.0,0.0,0.0,-613.506271623075,0.0,0.0,0.0,-834434962780.6729,0.0,0.0,0.0,1624300615506.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208207991836.42877,0.0,0.0,0.0,-998073645175.4135,8.756356047953233e-18,-44370.519769145976,8.756356047953231e-26,-0.0004437051976914597,1.667036846936493e+23,1.4160304874405959e+24,0.0,1.0414492050042166e+24,166703684693.64926,1416030487440.5955,0.0,1186655845116.4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624300615506.1511,166703684693.6488,1416030487440.5935,0.0,560428874785.6866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998073645175.4135,0.0,0.0,0.0,0.0,1796318.9648928887,308678.740618992,3.932264264024922e-65,836603558757.3016,0.0,0.0,0.0,0.0,0.3207185072826114,30188232.610174872,3.845633876722238e-63,1640405508068.1118,0.0,0.0,0.0,0.0,166712132716.81342,1416085781024.5933,62589837.95057227,560430654727.6929
0.12,-1,-1,1,-44351.327025627164,0.0,-0.0004435132702562716,0.0,1.667036648307902e+23,1.416030480485992e+24,0.0,1.040397896854341e+24,166703664830.79013,1416030480485.9917,0.0,1185457955718.578,0.0,0.0,0.0,833832829729.907,0.0,0.0,0.0,0.0,166703664830.78964,1416030480485.991,0.0,560428869127.4081,0.0,0.0,0.0,-208803743138.73624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-535465548902456.1,0.0,0.0,0.0,-610.124161995016,0.0,0.0,0.0,-833832829729.907,0.0,0.0,0.0,1624721281533.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208803743138.73624,0.0,0.0,0.0,-999692195552.2977,1.0018533496306851e-17,-44351.327025625105,1.001853349630685e-25,-0.00044351327025625095,1.667036648307902e+23,1.416030480485992e+24,0.0,1.0403978963188754e+24,166703664830.79013,1416030480485.9917,0.0,1185457955108.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624721281533.3433,166703664830.78964,1416030480485.991,0.0,560428869127.4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999692195552.2977,0.0,0.0,0.0,0.0,1797450.579792417,308782.845337972,3.933590441683914e-65,836007635555.2915,0.0,0.0,0.0,0.0,0.3257599217598992,30187712.103867732,3.845567567839286e-63,1640852340463.3918,0.0,0.0,0.0,0.0,166712132716.8134,1416085781024.5942,62589837.95057231,560430654727.6925
0.14,-1,-1,1,-44331.948205058776,0.0,-0.0004433194820505877,0.0,1.6670364476075996e+23,1.4160304734699735e+24,0.0,1.0393363955496309e+24,166703644760.75992,1416030473469.9731,0.0,1184248451959.988,0.0,0.0,0.0,833225083921.9884,0.0,0.0,0.0,0.0,166703644760.75946,1416030473469.9712,0.0,560428863411.1211,0.0,0.0,0.0,-209405495373.12033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532461074351963.6,0.0,0.0,0.0,-606.7007811237127,0.0,0.0,0.0,-833225083921.9884,0.0,0.0,0.0,1625144177118.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209405495373.12033,0.0,0.0,0.0,-1001324589176.1903,1.128071094466047e-17,-44331.94820505687,1.1280710944660469e-25,-0.0004433194820505686,1.6670364476075996e+23,1.4160304734699735e+24,0.0,1.0393363950171692e+24,166703644760.75992,1416030473469.9731,0.0,1184248451353.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625144177118.358,166703644760.75946,1416030473469.9712,0.0,560428863411.1211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1001324589176.1903,0.0,0.0,0.0,0.0,1798592.7362347522,308887.68888211856,3.934926031139823e-65,835406162144.0502,0.0,0.0,0.0,0.0,0.33098436791186725,30187187.903557338,3.8455007883664926e-63,1641301626215.92,0.0,0.0,0.0,0.0,166712132716.8135,1416085781024.5935,62589837.95057229,560430654727.6927
0.16,-1,-1,1,-44312.378391142265,0.0,-0.0004431237839114226,0.0,1.6670362447803437e+23,1.4160304663908932e+24,0.0,1.0382644323316665e+24,166703624478.03433,1416030466390.8928,0.0,1183027027609.9238,0.0,0.0,0.0,832611576741.7383,0.0,0.0,0.0,0.0,166703624478.03384,1416030466390.8909,0.0,560428857635.2869,0.0,0.0,0.0,-210013406767.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-529432930476457.5,0.0,0.0,0.0,-603.2504307730123,0.0,0.0,0.0,-832611576741.7383,0.0,0.0,0.0,1625569365627.3728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210013406767.1011,0.0,0.0,0.0,-1002971196255.9868,1.0018533496306851e-17,-44312.3783911404,1.001853349630685e-25,-0.00044312378391140396,1.6670362447803437e+23,1.4160304663908932e+24,0.0,1.038264431802233e+24,166703624478.03433,1416030466390.8928,0.0,1183027027006.6726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625569365627.3728,166703624478.03384,1416030466390.8909,0.0,560428857635.2869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1002971196255.9868,0.0,0.0,0.0,0.0,1799745.7137197491,308993.2924516058,3.936271302461506e-65,834798991558.301,0.0,0.0,0.0,0.0,0.3364021106964046,30186659.903245766,3.845433524800403e-63,1641753434676.4473,0.0,0.0,0.0,0.0,166712132716.81284,1416085781024.5928,62589837.95057227,560430654727.6919
