sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47016.316759341855,0.0,-0.0004701631675934184,0.0,9.283774377278922e+23,1.1486015586268364e+23,1.416033480820767e+24,0.0,1403634040327.9946,114860155862.68361,1416033480820.7666,0.0,890688340478.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448251912.0885,114860155862.68344,1416033480820.764,0.0,-129502552062.69473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441413466.42363,0.0,0.0,0.0,0.0021793043706566095,0.0,0.0,0.0,-890688340478.6,0.0,0.0,0.0,1059835321803.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129502552062.69473,0.0,0.0,0.0,-298649533388.0704,0.0,0.0,0.0,6.956998219511126e-18,-47016.316759339774,6.956998219511124e-26,-0.0004701631675933977,9.283774377278931e+23,1.1486015586268364e+23,1.416033480820767e+24,0.0,1403634040327.996,114860155862.68361,1416033480820.7666,0.0,0.0,0.0,0.0,0.0,1059835321803.977,0.0,0.0,0.0,642448251912.0885,114860155862.68344,1416033480820.764,0.0,0.0,0.0,0.0,0.0,-298649533388.0704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892110191077.7861,15422815.142727925,320527.5058101693,4.0831663235318815e-65,0.0,0.0,0.0,0.0,1060684197316.46,2594255.050066165,6827914.63050316,8.697864882261912e-64,0.0,0.0,0.0,0.0,642448562739.638,114866926873.99448,1416085781024.6028,62589837.950572304
0.02,-1,-1,1,-46990.75807943055,0.0,-0.0004699075807943054,0.0,9.27322332215807e+23,1.1486015155779535e+23,1.4160334748068228e+24,0.0,1402038803355.7078,114860151557.79532,1416033474806.8225,0.0,890539718880.3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448247952.0508,114860151557.79512,1416033474806.8198,0.0,-130949163476.67072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58718056486908.93,0.0,0.0,0.0,-88.77710672141984,0.0,0.0,0.0,-890539718880.3267,0.0,0.0,0.0,1059997393898.7682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130949163476.67072,0.0,0.0,0.0,-300406838583.889,0.0,0.0,0.0,6.325909495334316e-18,-46990.75807942829,6.325909495334315e-26,-0.0004699075807942828,9.273223321570884e+23,1.1486015155779535e+23,1.4160334748068228e+24,0.0,1402038803266.9297,114860151557.79532,1416033474806.8225,0.0,0.0,0.0,0.0,0.0,1059997393898.7682,0.0,0.0,0.0,642448247952.0508,114860151557.79512,1416033474806.8198,0.0,0.0,0.0,0.0,0.0,-300406838583.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891977579888.7388,15471150.191882292,320461.3949374931,4.082324313366409e-65,0.0,0.0,0.0,0.0,1060851377713.6676,2536242.9452215536,6827995.432173844,8.697967794616855e-64,0.0,0.0,0.0,0.0,642448562739.6393,114866926873.99481,1416085781024.6025,62589837.9505723
0.04,-1,-1,1,-46964.81990954916,0.0,-0.0004696481990954915,0.0,9.26251560700884e+23,1.1486014724362834e+23,1.4160334687047268e+24,0.0,1400419880612.9946,114860147243.62831,1416033468704.7263,0.0,890390640349.2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448243916.7545,114860147243.62804,1416033468704.7239,0.0,-132419003653.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144978453536291.75,0.0,0.0,0.0,-219.19607718568295,0.0,0.0,0.0,-890390640349.2465,0.0,0.0,0.0,1060159590658.4491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132419003653.0077,0.0,0.0,0.0,-302187954181.4063,0.0,0.0,0.0,7.588086943687935e-18,-46964.819909546924,7.588086943687934e-26,-0.00046964819909546914,9.26251560555905e+23,1.1486014724362834e+23,1.4160334687047268e+24,0.0,1400419880393.7976,114860147243.62831,1416033468704.7263,0.0,0.0,0.0,0.0,0.0,1060159590658.4491,0.0,0.0,0.0,642448243916.7545,114860147243.62804,1416033468704.7239,0.0,0.0,0.0,0.0,0.0,-302187954181.4063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891844770370.0396,15518742.746458499,320394.62274981773,4.081473879836073e-65,0.0,0.0,0.0,0.0,1061018750224.4448,2479210.7661064016,6828077.0421133265,8.698071736494182e-64,0.0,0.0,0.0,0.0,642448562739.6405,114866926873.99507,1416085781024.6045,62589837.950572334
0.06,-1,-1,1,-46938.49160404766,0.0,-0.00046938491604047654,0.0,9.251646835900544e+23,1.1486014291984185e+23,1.4160334625118827e+24,0.0,1398776607469.5332,114860142919.84183,1416033462511.8823,0.0,890241088719.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448239803.8512,114860142919.8416,1416033462511.88,0.0,-133912721053.8506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26463461521883.223,0.0,0.0,0.0,-40.01068305573426,0.0,0.0,0.0,-890241088719.532,0.0,0.0,0.0,1060321921212.6128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133912721053.8506,0.0,0.0,0.0,-303993553586.94214,0.0,0.0,0.0,6.956998219511126e-18,-46938.491604045565,6.956998219511124e-26,-0.00046938491604045556,9.25164683563591e+23,1.1486014291984185e+23,1.4160334625118827e+24,0.0,1398776607429.5225,114860142919.84183,1416033462511.8823,0.0,0.0,0.0,0.0,0.0,1060321921212.6128,0.0,0.0,0.0,642448239803.8512,114860142919.8416,1416033462511.88,0.0,0.0,0.0,0.0,0.0,-303993553586.94214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891711753558.208,15565588.986580007,320327.17125615804,4.080614793786556e-65,0.0,0.0,0.0,0.0,1061186325909.5924,2423162.605639019,6828159.482310453,8.698176735901669e-64,0.0,0.0,0.0,0.0,642448562739.6399,114866926873.99483,1416085781024.6045,62589837.95057235
0.08,-1,-1,1,-46911.76185733342,0.0,-0.0004691176185733341,0.0,9.240612343222602e+23,1.1486013858606053e+23,1.4160334562255382e+24,0.0,1397108278521.5122,114860138586.0605,1416033456225.5378,0.0,890091046362.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448235610.857,114860138586.06026,1416033456225.536,0.0,-135431003451.76434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24624693135399.67,0.0,0.0,0.0,-37.23060913896188,0.0,0.0,0.0,-890091046362.419,0.0,0.0,0.0,1060484395844.7589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135431003451.76434,0.0,0.0,0.0,-305824352971.33514,0.0,0.0,0.0,7.588086943687935e-18,-46911.76185733114,7.588086943687934e-26,-0.00046911761857331135,9.240612342976354e+23,1.1486013858606053e+23,1.4160334562255382e+24,0.0,1397108278484.2815,114860138586.0605,1416033456225.5378,0.0,0.0,0.0,0.0,0.0,1060484395844.7589,0.0,0.0,0.0,642448235610.857,114860138586.06026,1416033456225.536,0.0,0.0,0.0,0.0,0.0,-305824352971.33514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891578519461.7506,15611686.550704215,320259.02119879535,4.079746809929055e-65,0.0,0.0,0.0,0.0,1061354117108.5352,2368100.739716543,6828242.776302305,8.698282822819009e-64,0.0,0.0,0.0,0.0,642448562739.6384,114866926873.99449,1416085781024.6025,62589837.950572304
0.1,-1,-1,1,-46884.61892851615,0.0,-0.00046884618928516147,0.0,9.229407281587105e+23,1.1486013424192943e+23,1.4160334498428407e+24,0.0,1395414160881.8108,114860134241.9294,1416033449842.8403,0.0,889940496075.5663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448231335.1884,114860134241.92917,1416033449842.838,0.0,-136974566528.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22846078122302.082,0.0,0.0,0.0,-34.54148241574876,0.0,0.0,0.0,-889940496075.5663,0.0,0.0,0.0,1060647023819.8265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136974566528.9458,0.0,0.0,0.0,-307681094307.7456,0.0,0.0,0.0,7.588086943687935e-18,-46884.61892851372,7.588086943687934e-26,-0.0004688461892851372,9.229407281358646e+23,1.1486013424192943e+23,1.4160334498428407e+24,0.0,1395414160847.2695,114860134241.9294,1416033449842.8403,0.0,0.0,0.0,0.0,0.0,1060647023819.8265,0.0,0.0,0.0,642448231335.1884,114860134241.92917,1416033449842.838,0.0,0.0,0.0,0.0,0.0,-307681094307.7456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891445058824.7103,15657033.787088942,320190.1527562253,4.07886967579361e-65,0.0,0.0,0.0,0.0,1061522135217.2003,2314026.533068431,6828326.948314973,8.698390028103673e-64,0.0,0.0,0.0,0.0,642448562739.6394,114866926873.9947,1416085781024.6033,62589837.95057232
0.12,-1,-1,1,-46857.0504433314,0.0,-0.0004685705044333139,0.0,9.218026542677699e+23,1.1486012988707729e+23,1.4160334433607762e+24,0.0,1393693482212.9685,114860129887.07727,1416033443360.776,0.0,889789419866.9822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448226974.1155,114860129887.0771,1416033443360.7737,0.0,-138544164628.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21125895331880.805,0.0,0.0,0.0,-31.940700640901923,0.0,0.0,0.0,-889789419866.9822,0.0,0.0,0.0,1060809814725.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138544164628.1305,0.0,0.0,0.0,-309564559518.2292,0.0,0.0,0.0,5.694820771157506e-18,-46857.05044332919,5.694820771157505e-26,-0.00046857050443329187,9.21802654246644e+23,1.1486012988707729e+23,1.4160334433607762e+24,0.0,1393693482181.0278,114860129887.07727,1416033443360.776,0.0,0.0,0.0,0.0,0.0,1060809814725.14,0.0,0.0,0.0,642448226974.1155,114860129887.0771,1416033443360.7737,0.0,0.0,0.0,0.0,0.0,-309564559518.2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891311362029.5513,15701630.135179998,320120.54501281684,4.077983124974252e-65,0.0,0.0,0.0,0.0,1061690392070.0789,2260939.9851786154,6828412.023911888,8.698498384316386e-64,0.0,0.0,0.0,0.0,642448562739.6394,114866926873.99495,1416085781024.6035,62589837.95057232
0.14,-1,-1,1,-46829.043385721525,0.0,-0.0004682904338572152,0.0,9.206464753234031e+23,1.1486012552112585e+23,1.4160334367761807e+24,0.0,1391945430120.066,114860125521.12582,1416033436776.1804,0.0,889637799187.5092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448222524.771,114860125521.1256,1416033436776.1782,0.0,-140140591592.21555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19464196093938.105,0.0,0.0,0.0,-29.428341421065852,0.0,0.0,0.0,-889637799187.5092,0.0,0.0,0.0,1060972778165.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140140591592.21555,0.0,0.0,0.0,-311475570599.1577,0.0,0.0,0.0,6.956998219511126e-18,-46829.04338571909,6.956998219511124e-26,-0.0004682904338571908,9.206464753039391e+23,1.1486012552112585e+23,1.4160334367761807e+24,0.0,1391945430090.638,114860125521.12582,1416033436776.1804,0.0,0.0,0.0,0.0,0.0,1060972778165.0238,0.0,0.0,0.0,642448222524.771,114860125521.1256,1416033436776.1782,0.0,0.0,0.0,0.0,0.0,-311475570599.1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891177419339.1193,15745475.9819213,320050.17598984163,4.077086877524183e-65,0.0,0.0,0.0,0.0,1061858899635.0128,2208839.9078585077,6828498.029955757,8.698607925672881e-64,0.0,0.0,0.0,0.0,642448562739.6403,114866926873.99507,1416085781024.604,62589837.950572304
0.16,-1,-1,1,-46800.58405012266,0.0,-0.0004680058405012266,0.0,9.194716255355898e+23,1.1486012114368863e+23,1.4160334300857182e+24,0.0,1390169149172.8655,114860121143.6886,1416033430085.7178,0.0,889485614892.9476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448217984.1284,114860121143.6884,1416033430085.7156,0.0,-141764683704.21188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17857608136188.844,0.0,0.0,0.0,-26.999306144425645,0.0,0.0,0.0,-889485614892.9476,0.0,0.0,0.0,1061135923758.5427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141764683704.21188,0.0,0.0,0.0,-313414992596.80756,0.0,0.0,0.0,6.956998219511126e-18,-46800.584050120524,6.956998219511124e-26,-0.00046800584050120516,9.194716255177329e+23,1.1486012114368863e+23,1.4160334300857182e+24,0.0,1390169149145.8672,114860121143.6886,1416033430085.7178,0.0,0.0,0.0,0.0,0.0,1061135923758.5427,0.0,0.0,0.0,642448217984.1284,114860121143.6884,1416033430085.7156,0.0,0.0,0.0,0.0,0.0,-313414992596.80756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891043220891.436,15788572.614200039,319979.0225662552,4.0761806389468205e-65,0.0,0.0,0.0,0.0,1062027670019.4388,2157723.987069928,6828584.994705432,8.698718688167167e-64,0.0,0.0,0.0,0.0,642448562739.6393,114866926873.99472,1416085781024.604,62589837.95057233
