sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-57663.753962519055,0.0,-0.0005766375396251905,2.192663708918137e+24,1.4160372577073744e+24,2.1203029886566476e+23,0.0,1971020839785.22,1416037257707.374,212030298865.6647,0.0,1625097116457.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721275618.73334,1416037257707.3713,212030298865.66425,0.0,-142797552290.51746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.632602056642213e+16,0.0,0.0,0.0,68610.69325971592,0.0,0.0,0.0,-1625097116457.005,0.0,0.0,0.0,1544977328361.4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142797552290.51746,0.0,0.0,0.0,-62677695584.304855,0.0,0.0,0.0,-57663.75396251651,1.0805545508781252e-17,-0.0005766375396251649,1.080554550878125e-25,2.19266378524416e+24,1.4160372577073744e+24,2.1203029886566476e+23,0.0,1971020908395.9155,1416037257707.374,212030298865.6647,0.0,0.0,0.0,0.0,0.0,1544977328361.4854,0.0,0.0,0.0,488721275618.73334,1416037257707.3713,212030298865.66425,0.0,0.0,0.0,0.0,0.0,-62677695584.304855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632540583032.4211,98005.12297621503,212841.24889260603,1.24852005333264e-65,0.0,0.0,0.0,0.0,1545958956428.6667,31633571.787177294,0.21547998031758708,4.0297618893989434e-63,0.0,0.0,0.0,0.0,488721362298.3469,1416085781024.5864,212041050717.3729,62589837.95057226
0.02,-1,-1,1,0.0,-57647.46996157707,0.0,-0.0005764746996157706,2.191532693655438e+24,1.4160371875308372e+24,2.1203027670742557e+23,0.0,1970004151889.2021,1416037187530.837,212030276707.4255,0.0,1624801542503.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721273054.99884,1416037187530.8337,212030276707.42496,0.0,-143518663669.22467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673977762283908e+17,0.0,0.0,0.0,779717.8775641172,0.0,0.0,0.0,-1624801542503.429,0.0,0.0,0.0,1545360825261.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143518663669.22467,0.0,0.0,0.0,-64077166709.86974,0.0,0.0,0.0,-57647.469961574614,1.206772295713487e-17,-0.0005764746996157461,1.206772295713487e-25,2.1915335610532143e+24,1.4160371875308372e+24,2.1203027670742557e+23,0.0,1970004931607.0796,1416037187530.837,212030276707.4255,0.0,0.0,0.0,0.0,0.0,1545360825261.951,0.0,0.0,0.0,488721273054.99884,1416037187530.8337,212030276707.42496,0.0,0.0,0.0,0.0,0.0,-64077166709.86974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632282592509.131,104436.65609824905,213207.24665855293,1.3304530639099606e-65,0.0,0.0,0.0,0.0,1546365083925.063,31627140.479458757,0.21896888730987163,4.0289425592931315e-63,0.0,0.0,0.0,0.0,488721362298.3461,1416085781024.5862,212041050717.37244,62589837.95057226
0.04,-1,-1,1,0.0,-57630.93657662281,0.0,-0.000576309365766228,2.1903847414011168e+24,1.416037120477095e+24,2.1203025415736215e+23,0.0,1968972239057.7256,1416037120477.0947,212030254157.3621,0.0,1624490773058.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721270413.58716,1416037120477.091,212030254157.36157,0.0,-144239804413.95178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021731762651457e+18,0.0,0.0,0.0,900869.6625288547,0.0,0.0,0.0,-1624490773058.091,0.0,0.0,0.0,1545766115474.7822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144239804413.95178,0.0,0.0,0.0,-65514245960.98045,0.0,0.0,0.0,-57630.93657662014,1.0805545508781252e-17,-0.0005763093657662013,1.080554550878125e-25,2.1903857435742934e+24,1.416037120477095e+24,2.1203025415736215e+23,0.0,1968973139927.3884,1416037120477.0947,212030254157.3621,0.0,0.0,0.0,0.0,0.0,1545766115474.7822,0.0,0.0,0.0,488721270413.58716,1416037120477.091,212030254157.36157,0.0,0.0,0.0,0.0,0.0,-65514245960.98045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632009407981.408,110885.32245262613,213594.80430942948,1.4126042922883135e-65,0.0,0.0,0.0,0.0,1546793612735.9387,31620692.039016254,0.22260344935026882,4.0281210470093067e-63,0.0,0.0,0.0,0.0,488721362298.3472,1416085781024.5872,212041050717.37323,62589837.9505723
0.06,-1,-1,1,0.0,-57614.161748065395,0.0,-0.0005761416174806539,2.1892199127148003e+24,1.4160370562987694e+24,2.1203023122190087e+23,0.0,1967925155728.8179,1416037056298.769,212030231221.90082,0.0,1624165475009.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721267697.5924,1416037056298.7656,212030231221.90018,0.0,-144961586978.32236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3259737564789458e+18,0.0,0.0,0.0,1191939.2364631281,0.0,0.0,0.0,-1624165475009.5466,0.0,0.0,0.0,1546191892033.9763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144961586978.32236,0.0,0.0,0.0,-66986812063.51532,0.0,0.0,0.0,-57614.161748062834,1.206772295713487e-17,-0.0005761416174806282,1.206772295713487e-25,2.1892212386885557e+24,1.4160370562987694e+24,2.1203023122190087e+23,0.0,1967926347668.0532,1416037056298.769,212030231221.90082,0.0,0.0,0.0,0.0,0.0,1546191892033.9763,0.0,0.0,0.0,488721267697.5924,1416037056298.7656,212030231221.90018,0.0,0.0,0.0,0.0,0.0,-66986812063.51532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631721728276.0134,117340.19901391683,214002.93050076225,1.4948345887613066e-65,0.0,0.0,0.0,0.0,1547243201590.9827,31614237.388491247,0.22638992838409652,4.027298744044537e-63,0.0,0.0,0.0,0.0,488721362298.34705,1416085781024.587,212041050717.37308,62589837.950572275
0.08,-1,-1,1,0.0,-57597.13996785406,0.0,-0.0005759713996785405,2.1880383243817066e+24,1.4160369947162887e+24,2.1203020790837866e+23,0.0,1966863006882.5981,1416036994716.2883,212030207908.3786,0.0,1623826403737.0847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721264907.8259,1416036994716.286,212030207908.3779,0.0,-145684661762.31253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.771265351981092e+17,0.0,0.0,0.0,878354.8321383306,0.0,0.0,0.0,-1623826403737.0847,0.0,0.0,0.0,1546636691895.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145684661762.31253,0.0,0.0,0.0,-68494071565.8184,0.0,0.0,0.0,-57597.139967851814,1.206772295713487e-17,-0.000575971399678518,1.206772295713487e-25,2.1880393015082426e+24,1.4160369947162887e+24,2.1203020790837866e+23,0.0,1966863885237.431,1416036994716.2883,212030207908.3786,0.0,0.0,0.0,0.0,0.0,1546636691895.423,0.0,0.0,0.0,488721264907.8259,1416036994716.286,212030207908.3779,0.0,0.0,0.0,0.0,0.0,-68494071565.8184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631420342681.776,123797.87437014688,214430.50553697476,1.5771004960700297e-65,0.0,0.0,0.0,0.0,1547712374614.6638,31607779.93917689,0.23033464277812582,4.026476084971415e-63,0.0,0.0,0.0,0.0,488721362298.347,1416085781024.5872,212041050717.3726,62589837.95057227
0.1,-1,-1,1,0.0,-57579.88069441539,0.0,-0.0005757988069441538,2.1868398848904553e+24,1.4160369355418115e+24,2.120301842194634e+23,0.0,1965785710258.0085,1416036935541.811,212030184219.46332,0.0,1623474012339.4055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721262047.24615,1416036935541.8083,212030184219.46265,0.0,-146409564128.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2483624690357893e+18,0.0,0.0,0.0,1122173.1960389446,0.0,0.0,0.0,-1623474012339.4055,0.0,0.0,0.0,1547099559463.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146409564128.64285,0.0,0.0,0.0,-70033989079.53719,0.0,0.0,0.0,-57579.88069441286,1.206772295713487e-17,-0.0005757988069441285,1.206772295713487e-25,2.1868411332529265e+24,1.4160369355418115e+24,2.120301842194634e+23,0.0,1965786832431.2065,1416036935541.811,212030184219.46332,0.0,0.0,0.0,0.0,0.0,1547099559463.495,0.0,0.0,0.0,488721262047.24615,1416036935541.8083,212030184219.46265,0.0,0.0,0.0,0.0,0.0,-70033989079.53719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631105732216.012,130249.35419349978,214876.8471224091,1.6592874348551187e-65,0.0,0.0,0.0,0.0,1548200143296.5056,31601328.68508598,0.23444534875802453,4.025654215583519e-63,0.0,0.0,0.0,0.0,488721362298.34625,1416085781024.5862,212041050717.37222,62589837.95057225
0.12,-1,-1,1,0.0,-57562.37422948205,0.0,-0.0005756237422948204,2.185624613722825e+24,1.4160368785330288e+24,2.1203016015977476e+23,0.0,1964693283367.5342,1416036878533.0286,212030160159.77472,0.0,1623108914204.5679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721259115.5911,1416036878533.0254,212030160159.77402,0.0,-147136889952.62558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.420905769032658e+17,0.0,0.0,0.0,846860.4430716849,0.0,0.0,0.0,-1623108914204.5679,0.0,0.0,0.0,1547579261629.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147136889952.62558,0.0,0.0,0.0,-71606390517.23605,0.0,0.0,0.0,-57562.37422947955,1.459207785384211e-17,-0.0005756237422947954,1.4592077853842107e-25,2.185625555813401e+24,1.4160368785330288e+24,2.1203016015977476e+23,0.0,1964694130227.9763,1416036878533.0286,212030160159.77472,0.0,0.0,0.0,0.0,0.0,1547579261629.621,0.0,0.0,0.0,488721259115.5911,1416036878533.0254,212030160159.77402,0.0,0.0,0.0,0.0,0.0,-71606390517.23605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630778541331.1108,136695.04495747073,215341.04106722496,1.741400584846438e-65,0.0,0.0,0.0,0.0,1548705271712.3792,31594883.219759542,0.2387296934154202,4.0248330840835696e-63,0.0,0.0,0.0,0.0,488721362298.3474,1416085781024.5872,212041050717.3732,62589837.95057225
0.14,-1,-1,1,0.0,-57544.62803034352,0.0,-0.0005754462803034352,2.1843923192231902e+24,1.4160368235384237e+24,2.120301357293641e+23,0.0,1963585553928.8364,1416036823538.4233,212030135729.36404,0.0,1622731425063.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721256115.1755,1416036823538.4202,212030135729.36337,0.0,-147867127249.79965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2868195249442412e+18,0.0,0.0,0.0,1156742.8650328936,0.0,0.0,0.0,-1622731425063.459,0.0,0.0,0.0,1548075064748.5886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147867127249.79965,0.0,0.0,0.0,-73209610192.06233,0.0,0.0,0.0,-57544.628030340915,1.332990040548849e-17,-0.0005754462803034091,1.3329900405488488e-25,2.1843936060427157e+24,1.4160368235384237e+24,2.120301357293641e+23,0.0,1963586710671.702,1416036823538.4233,212030135729.36404,0.0,0.0,0.0,0.0,0.0,1548075064748.5886,0.0,0.0,0.0,488721256115.1755,1416036823538.4202,212030135729.36337,0.0,0.0,0.0,0.0,0.0,-73209610192.06233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630439111206.458,143128.48121378126,215822.60350669248,1.8233575827187852e-65,0.0,0.0,0.0,0.0,1549226999281.0234,31588450.008420043,0.24319694048006402,4.0240135141048155e-63,0.0,0.0,0.0,0.0,488721362298.347,1416085781024.587,212041050717.37296,62589837.950572275
0.16,-1,-1,1,0.0,-57526.63023552702,0.0,-0.0005752663023552701,2.1831429207107539e+24,1.4160367703543945e+24,2.120301109301348e+23,0.0,1962462449416.643,1416036770354.394,212030110930.13474,0.0,1622342013956.2668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488721253045.0176,1416036770354.391,212030110930.13406,0.0,-148600817584.64072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95604795934999e+17,0.0,0.0,0.0,894965.2393098731,0.0,0.0,0.0,-1622342013956.2668,0.0,0.0,0.0,1548585969481.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148600817584.64072,0.0,0.0,0.0,-74843878144.30147,0.0,0.0,0.0,-57526.63023552445,1.459207785384211e-17,-0.0005752663023552444,1.4592077853842107e-25,2.183143916315551e+24,1.4160367703543945e+24,2.120301109301348e+23,0.0,1962463344381.8833,1416036770354.394,212030110930.13474,0.0,0.0,0.0,0.0,0.0,1548585969481.1672,0.0,0.0,0.0,488721253045.0176,1416036770354.391,212030110930.13406,0.0,0.0,0.0,0.0,0.0,-74843878144.30147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630087939113.4236,149552.11288140164,216320.82914087147,1.9051896400142717e-65,0.0,0.0,0.0,0.0,1549764330382.9514,31582026.601234645,0.24785637917735448,4.023195193531816e-63,0.0,0.0,0.0,0.0,488721362298.34674,1416085781024.5864,212041050717.37274,62589837.95057226
