sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:I,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:I,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:I,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-31975.349382544213,0.0,-0.00031975349382544206,5.213516079340873e+23,0.0,1.7695995541125004e+22,6.112448418729771e+23,521351607934.0872,0.0,17695995541.125,1456696729826.7751,0.0,0.0,0.0,1285716890017.493,0.0,0.0,0.0,0.0,521351607934.0858,0.0,17695995541.125526,275472208300.58075,0.0,0.0,0.0,-104492368491.30057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8324522172.727155,0.0,0.0,0.0,-0.01983870193362236,0.0,0.0,0.0,-1285716890017.493,0.0,0.0,0.0,1757891092225.4785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104492368491.30057,0.0,0.0,0.0,-576666570699.3052,-31975.34938254241,9.78386856223299e-19,-0.000319753493825424,9.783868562232987e-27,5.213516079340873e+23,0.0,1.7695995541125004e+22,6.112448418729688e+23,521351607934.0872,0.0,17695995541.125,1456696729826.7551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757891092225.4785,521351607934.0858,0.0,17695995541.125526,275472208300.58075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-576666570699.3052,0.0,0.0,0.0,0.0,524519.0962206258,6.681759800520562e-65,5405524.724397101,1287854974299.1104,0.0,0.0,0.0,0.0,29230216.28001364,3.7235922994588974e-63,3.1047241734974436,1782423487402.487,0.0,0.0,0.0,0.0,521424166644.70245,23046523.40354012,17697864872.327045,275472521987.6152
0.029333333333333336,-1,-1,1,0.0,-31963.215754460278,0.0,-0.0003196321575446027,5.213516050429841e+23,0.0,1.7695990315666192e+22,6.109270655165584e+23,521351605042.984,0.0,17695990315.666187,1455939416639.8154,0.0,0.0,0.0,1285336137175.7097,0.0,0.0,0.0,0.0,521351605042.98285,0.0,17695990315.666653,275472207432.8487,0.0,0.0,0.0,-104868927968.74408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-397048689055404.3,0.0,0.0,0.0,-946.2321598604321,0.0,0.0,0.0,-1285336137175.7097,0.0,0.0,0.0,1757884768329.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104868927968.74408,0.0,0.0,0.0,-577417560068.4956,-31963.215754458586,1.1361590372675013e-18,-0.0003196321575445858,1.1361590372675011e-26,5.213516050429841e+23,0.0,1.7695990315666192e+22,6.1092706511951e+23,521351605042.984,0.0,17695990315.666187,1455939415693.5837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757884768329.229,521351605042.98285,0.0,17695990315.666653,275472207432.8487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-577417560068.4956,0.0,0.0,0.0,0.0,524688.8381730127,6.683922113448312e-65,5409544.5882137595,1287481943656.103,0.0,0.0,0.0,0.0,29229367.597228903,3.7234841838125047e-63,3.148629042045887,1782449150810.4612,0.0,0.0,0.0,0.0,521424166644.70233,23046523.40354011,17697864872.32707,275472521987.6154
0.05866666666666667,-1,-1,1,0.0,-31950.94116150939,0.0,-0.00031950941161509384,5.213516021193211e+23,0.0,1.7695985037549171e+22,6.106055974098245e+23,521351602119.321,0.0,17695985037.549168,1455173305406.2417,0.0,0.0,0.0,1284952015580.035,0.0,0.0,0.0,0.0,521351602119.3202,0.0,17695985037.549587,275472206552.95667,0.0,0.0,0.0,-105250916726.74954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1050416231551848.4,0.0,0.0,0.0,-2503.314195290208,0.0,0.0,0.0,-1284952015580.035,0.0,0.0,0.0,1757878188963.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105250916726.74954,0.0,0.0,0.0,-578177092613.0457,-31950.94116150763,1.0572729467454e-18,-0.00031950941161507627,1.0572729467453999e-26,5.213516021193211e+23,0.0,1.7695985037549171e+22,6.106055963594088e+23,521351602119.321,0.0,17695985037.549168,1455173302902.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757878188963.0168,521351602119.3202,0.0,17695985037.549587,275472206552.95667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-578177092613.0457,0.0,0.0,0.0,0.0,524860.0248695803,6.686102830731357e-65,5413599.530009024,1287105655626.0383,0.0,0.0,0.0,0.0,29228511.69095187,3.723375147948351e-63,3.1940038169433658,1782474922630.0278,0.0,0.0,0.0,0.0,521424166644.7023,23046523.403540105,17697864872.32701,275472521987.61475
0.08800000000000001,-1,-1,1,0.0,-31938.521783162072,0.0,-0.0003193852178316207,5.213515991622253e+23,0.0,1.769597970547556e+22,6.102803370216579e+23,521351599162.22516,0.0,17695979705.475555,1454398156543.909,0.0,0.0,0.0,1284564442518.5112,0.0,0.0,0.0,0.0,521351599162.22424,0.0,17695979705.47592,275472205660.55255,0.0,0.0,0.0,-105638491635.15628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142497659655246.25,0.0,0.0,0.0,-339.5952989831567,0.0,0.0,0.0,-1284564442518.5112,0.0,0.0,0.0,1757871347400.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105638491635.15628,0.0,0.0,0.0,-578945396856.4172,-31938.52178316033,9.78386856223299e-19,-0.0003193852178316033,9.783868562232987e-27,5.213515991622253e+23,0.0,1.769597970547556e+22,6.102803368791598e+23,521351599162.22516,0.0,17695979705.475555,1454398156204.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757871347400.177,521351599162.22424,0.0,17695979705.47592,275472205660.55255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-578945396856.4172,0.0,0.0,0.0,0.0,525032.6918920999,6.688302405639393e-65,5417690.404310383,1286726030714.7488,0.0,0.0,0.0,0.0,29227648.3832795,3.723265169202943e-63,3.2409245156870052,1782500805868.0764,0.0,0.0,0.0,0.0,521424166644.7024,23046523.40354011,17697864872.327087,275472521987.6155
0.11733333333333335,-1,-1,1,0.0,-31925.9535815536,0.0,-0.00031925953581553594,5.213515961707418e+23,0.0,1.7695974318094147e+22,6.099511792077881e+23,521351596170.7417,0.0,17695974318.094143,1453613719476.773,0.0,0.0,0.0,1284173332004.4922,0.0,0.0,0.0,0.0,521351596170.7408,0.0,17695974318.094463,275472204755.25696,0.0,0.0,0.0,-106031817282.97493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137783369414792.67,0.0,0.0,0.0,-328.3603719845414,0.0,0.0,0.0,-1284173332004.4922,0.0,0.0,0.0,1757864236157.6802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106031817282.97493,0.0,0.0,0.0,-579722721764.5249,-31925.953581551774,8.995007657011977e-19,-0.0003192595358155177,8.995007657011975e-27,5.213515961707418e+23,0.0,1.7695974318094147e+22,6.099511790700059e+23,521351596170.7417,0.0,17695974318.094143,1453613719148.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757864236157.6802,521351596170.7408,0.0,17695974318.094463,275472204755.25696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-579722721764.5249,0.0,0.0,0.0,0.0,525206.8795130574,6.690521351197284e-65,5421818.099636801,1286342986310.9602,0.0,0.0,0.0,0.0,29226777.472855456,3.7231542219250446e-63,3.2894724569204747,1782526803645.881,0.0,0.0,0.0,0.0,521424166644.7026,23046523.403540112,17697864872.327072,275472521987.6153
0.14666666666666667,-1,-1,1,0.0,-31913.2323785058,0.0,-0.000319132323785058,5.213515931439074e+23,0.0,1.769596887399742e+22,6.096180143232924e+23,521351593143.9073,0.0,17695968873.997417,1452819732902.9954,0.0,0.0,0.0,1283778594413.6033,0.0,0.0,0.0,0.0,521351593143.9064,0.0,17695968873.997704,275472203836.68024,0.0,0.0,0.0,-106431065347.28809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133001583661545.86,0.0,0.0,0.0,-316.96459210664034,0.0,0.0,0.0,-1283778594413.6033,0.0,0.0,0.0,1757856847771.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106431065347.28809,0.0,0.0,0.0,-580509319021.6749,-31913.23237850388,1.1361590372675013e-18,-0.00031913232378503873,1.1361590372675011e-26,5.213515931439074e+23,0.0,1.769596887399742e+22,6.096180141902918e+23,521351593143.9073,0.0,17695968873.997417,1452819732586.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757856847771.0264,521351593143.9064,0.0,17695968873.997704,275472203836.68024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-580509319021.6749,0.0,0.0,0.0,0.0,525382.6271843119,6.692760169976178e-65,5425983.542630855,1285956436310.4438,0.0,0.0,0.0,0.0,29225898.762426943,3.723042280986099e-63,3.339734824020573,1782552919219.07,0.0,0.0,0.0,0.0,521424166644.70276,23046523.403540116,17697864872.327038,275472521987.6154
0.17600000000000002,-1,-1,1,0.0,-31900.35379561216,0.0,-0.0003190035379561216,5.2135159008070634e+23,0.0,1.7695963371719333e+22,6.092807276987025e+23,521351590080.70624,0.0,17695963371.71933,1452015923546.422,0.0,0.0,0.0,1283380136406.8667,0.0,0.0,0.0,0.0,521351590080.7051,0.0,17695963371.71958,275472202904.41315,0.0,0.0,0.0,-106836415764.85866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128160893827375.56,0.0,0.0,0.0,-305.42843414098024,0.0,0.0,0.0,-1283380136406.8667,0.0,0.0,0.0,1757849174324.8918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106836415764.85866,0.0,0.0,0.0,-581305453988.3138,-31900.353795610285,8.995007657011977e-19,-0.0003190035379561028,8.995007657011975e-27,5.2135159008070634e+23,0.0,1.7695963371719333e+22,6.092807275705409e+23,521351590080.70624,0.0,17695963371.71933,1452015923240.9922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757849174324.8918,521351590080.7051,0.0,17695963371.71958,275472202904.41315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-581305453988.3138,0.0,0.0,0.0,0.0,525559.976777801,6.69501939537683e-65,5430187.698566284,1285566291063.4785,0.0,0.0,0.0,0.0,29225012.0426405,3.7229293197160663e-63,3.3918051576321373,1782579155974.9648,0.0,0.0,0.0,0.0,521424166644.7026,23046523.403540112,17697864872.327045,275472521987.6152
0.20533333333333337,-1,-1,1,0.0,-31887.313252062413,0.0,-0.00031887313252062404,5.213515869800753e+23,0.0,1.7695957809731385e+22,6.089391993636248e+23,521351586980.0752,0.0,17695957809.73138,1451202005497.9258,0.0,0.0,0.0,1282977860683.71,0.0,0.0,0.0,0.0,521351586980.0743,0.0,17695957809.73159,275472201958.02704,0.0,0.0,0.0,-107248057143.81328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123237147186598.53,0.0,0.0,0.0,-293.69433818012476,0.0,0.0,0.0,-1282977860683.71,0.0,0.0,0.0,1757841207523.7444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107248057143.81328,0.0,0.0,0.0,-582111404277.5388,-31887.313252060467,1.1361590372675013e-18,-0.00031887313252060463,1.1361590372675011e-26,5.213515869800753e+23,0.0,1.7695957809731385e+22,6.089391992403879e+23,521351586980.0752,0.0,17695957809.73138,1451202005204.2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757841207523.7444,521351586980.0743,0.0,17695957809.73159,275472201958.02704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-582111404277.5388,0.0,0.0,0.0,0.0,525738.9720346483,6.697299584611541e-65,5434431.573708255,1285172457136.7195,0.0,0.0,0.0,0.0,29224117.094798025,3.722815310254326e-63,3.4457839631645695,1782605517442.56,0.0,0.0,0.0,0.0,521424166644.70245,23046523.403540105,17697864872.32707,275472521987.6154
0.2346666666666667,-1,-1,1,0.0,-31874.10595182493,0.0,-0.00031874105951824926,5.213515838409006e+23,0.0,1.769595218643863e+22,6.08593303711085e+23,521351583840.9005,0.0,17695952186.438625,1450377679415.4805,0.0,0.0,0.0,1282571665716.2002,0.0,0.0,0.0,0.0,521351583840.89996,0.0,17695952186.4388,275472200997.0713,0.0,0.0,0.0,-107666187297.79105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118242785483641.19,0.0,0.0,0.0,-281.7919549420476,0.0,0.0,0.0,-1282571665716.2002,0.0,0.0,0.0,1757832938669.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107666187297.79105,0.0,0.0,0.0,-582927460532.4243,-31874.105951823163,1.1361590372675013e-18,-0.0003187410595182316,1.1361590372675011e-26,5.213515838409006e+23,0.0,1.769595218643863e+22,6.085933035928425e+23,521351583840.9005,0.0,17695952186.438625,1450377679133.6892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757832938669.043,521351583840.89996,0.0,17695952186.4388,275472200997.0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-582927460532.4243,0.0,0.0,0.0,0.0,525919.6586803645,6.6996013201712885e-65,5438716.217732507,1284774837058.798,0.0,0.0,0.0,0.0,29223213.69027855,3.7227002234763406e-63,3.5017793789566842,1782632007302.8042,0.0,0.0,0.0,0.0,521424166644.70215,23046523.403540105,17697864872.327007,275472521987.61487
