sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-37548.26803139981,0.0,-0.00037548268031399807,0.0,0.0,7.172032112211668e+22,5.213605999398714e+23,1.779452901428298e+24,0.0,71720321122.11667,521360599939.8712,1750497788368.5386,0.0,0.0,0.0,1657702205661.274,0.0,0.0,0.0,0.0,0.0,71720321122.11859,521360599939.8671,189998176568.78607,0.0,0.0,0.0,-97202593861.52075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4868475780796486e+17,0.0,0.0,0.0,-244638.17963059992,0.0,0.0,0.0,-1657702205661.274,0.0,0.0,0.0,1595569241253.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97202593861.52075,0.0,0.0,0.0,-35069874092.17421,9.871546522951218e-19,-37548.26803139838,9.871546522951216e-27,-0.00037548268031398376,0.0,7.172032112211668e+22,5.213605999398714e+23,1.7794526527435408e+24,0.0,71720321122.11667,521360599939.8712,1750497543730.3596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595569241253.748,0.0,71720321122.11859,521360599939.8671,189998176568.78607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35069874092.17421,0.0,0.0,0.0,0.0,4.512098925689911e-68,7188494.102443286,354.18453648518926,1667667216566.777,0.0,0.0,0.0,0.0,4.0576351685033775e-63,1.159692693230244,31852369.655812323,1597031099802.3125,0.0,0.0,0.0,0.0,23046523.40354005,71727912472.85855,521424166644.69574,189998245206.34433
0.029333333333333336,-1,-1,1,-37538.15650675885,0.0,-0.00037538156506758847,0.0,0.0,7.172030857839182e+22,5.2136043759710885e+23,1.7788109324357358e+24,0.0,71720308578.3918,521360437597.1087,1749866265443.2737,0.0,0.0,0.0,1657764533040.757,0.0,0.0,0.0,0.0,0.0,71720308578.3936,521360437597.10486,189998175480.16116,0.0,0.0,0.0,-97896443077.64467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.065024627136274e+17,0.0,0.0,0.0,695006.3120324537,0.0,0.0,0.0,-1657764533040.757,0.0,0.0,0.0,1595340898994.6423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97896443077.64467,0.0,0.0,0.0,-35472114025.21754,9.871546522951218e-19,-37538.15650675757,9.871546522951216e-27,-0.0003753815650675756,0.0,7.172030857839182e+22,5.2136043759710885e+23,1.778811638938199e+24,0.0,71720308578.3918,521360437597.1087,1749866960449.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595340898994.6423,0.0,71720308578.3936,521360437597.10486,189998175480.16116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35472114025.21754,0.0,0.0,0.0,0.0,5.263934545690397e-68,7180598.346853568,413.202575397099,1667800735102.969,0.0,0.0,0.0,0.0,4.05762765014718e-63,1.171491704283684,31852310.6398549,1596819889972.2131,0.0,0.0,0.0,0.0,23046523.403540045,71727912472.85844,521424166644.69525,189998245206.34406
0.05866666666666667,-1,-1,1,-37527.89123957104,0.0,-0.00037527891239571036,0.0,0.0,7.172029589890349e+22,5.213602736556908e+23,1.778159795791045e+24,0.0,71720295898.90347,521360273655.6907,1749225724041.1707,0.0,0.0,0.0,1657826735979.93,0.0,0.0,0.0,0.0,0.0,71720295898.90517,521360273655.6868,189998174365.80414,0.0,0.0,0.0,-98599186304.56369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258704795531482e+17,0.0,0.0,0.0,714059.1740753055,0.0,0.0,0.0,-1657826735979.93,0.0,0.0,0.0,1595110505547.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98599186304.56369,0.0,0.0,0.0,-35882241813.09482,1.3026990143835265e-18,-37527.891239569675,1.3026990143835263e-26,-0.00037527891239569664,0.0,7.172029589890349e+22,5.213602736556908e+23,1.7781605216615236e+24,0.0,71720295898.90347,521360273655.6907,1749226438100.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595110505547.635,0.0,71720295898.90517,521360273655.6868,189998174365.80414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35882241813.09482,0.0,0.0,0.0,0.0,6.2613315463580635e-68,7172656.295437261,491.4963993920673,1667935041682.0037,0.0,0.0,0.0,0.0,4.05761767617717e-63,1.1835892240851926,31852232.348792493,1596606964934.7043,0.0,0.0,0.0,0.0,23046523.403540038,71727912472.8583,521424166644.6955,189998245206.34384
0.08800000000000001,-1,-1,1,-37517.472807451806,0.0,-0.000375174728074518,0.0,0.0,7.17202830739487e+22,5.213601081771298e+23,1.7774989812186546e+24,0.0,71720283073.94868,521360108177.1297,1748575662189.8215,0.0,0.0,0.0,1657888435461.2424,0.0,0.0,0.0,0.0,0.0,71720283073.95027,521360108177.12634,189998173224.82388,0.0,0.0,0.0,-99310946496.24365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.835384974900301e+17,0.0,0.0,0.0,672416.0145855173,0.0,0.0,0.0,-1657888435461.2424,0.0,0.0,0.0,1594878625142.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99310946496.24365,0.0,0.0,0.0,-36300463761.13969,9.871546522951218e-19,-37517.472807450366,9.871546522951216e-27,-0.00037517472807450356,0.0,7.17202830739487e+22,5.213601081771298e+23,1.777499664757154e+24,0.0,71720283073.94868,521360108177.1297,1748576334605.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594878625142.1511,0.0,71720283073.95027,521360108177.12634,189998173224.82388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36300463761.13969,0.0,0.0,0.0,0.0,7.58885633736432e-68,7164689.59993689,595.7041549210676,1668069769871.8096,0.0,0.0,0.0,0.0,4.0576044009292634e-63,1.1960041930666663,31852128.144712534,1596392897713.153,0.0,0.0,0.0,0.0,23046523.403540038,71727912472.85854,521424166644.6955,189998245206.34424
0.11733333333333335,-1,-1,1,-37506.896977354285,0.0,-0.00037506896977354277,0.0,0.0,7.172027009730909e+22,5.2135994115830084e+23,1.7768281386751195e+24,0.0,71720270097.30907,521359941158.3007,1747915735541.6597,0.0,0.0,0.0,1657949481839.2478,0.0,0.0,0.0,0.0,0.0,71720270097.31052,521359941158.29736,189998172055.84656,0.0,0.0,0.0,-100031918353.43433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109195469512047e+17,0.0,0.0,0.0,699351.521834135,0.0,0.0,0.0,-1657949481839.2478,0.0,0.0,0.0,1594645441489.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100031918353.43433,0.0,0.0,0.0,-36727178651.67723,1.3026990143835265e-18,-37506.89697735292,1.3026990143835263e-26,-0.0003750689697735291,0.0,7.172027009730909e+22,5.2135994115830084e+23,1.7768288495946666e+24,0.0,71720270097.30907,521359941158.3007,1747916434893.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594645441489.0127,0.0,71720270097.31052,521359941158.29736,189998172055.84656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36727178651.67723,0.0,0.0,0.0,0.0,9.359748842330491e-68,7156705.924683078,734.7147445424737,1668204789984.606,0.0,0.0,0.0,0.0,4.057586692004213e-63,1.2087525603845797,31851989.139025822,1596177889012.7576,0.0,0.0,0.0,0.0,23046523.403540056,71727912472.8585,521424166644.6953,189998245206.34424
0.14666666666666667,-1,-1,1,-37496.15773420819,0.0,-0.00037496157734208185,0.0,0.0,7.172025696296451e+22,5.2135977258799096e+23,1.7761469296911977e+24,0.0,71720256962.9645,521359772587.99084,1747245611134.9868,0.0,0.0,0.0,1658009748484.4136,0.0,0.0,0.0,0.0,0.0,71720256962.96585,521359772587.9872,189998170857.10287,0.0,0.0,0.0,-100762308206.5296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.385492904963629e+17,0.0,0.0,0.0,726531.6764368042,0.0,0.0,0.0,-1658009748484.4136,0.0,0.0,0.0,1594411095314.4075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100762308206.5296,0.0,0.0,0.0,-37162928504.84553,6.71610290206717e-19,-37496.157734206616,6.716102902067169e-27,-0.00037496157734206607,0.0,7.172025696296451e+22,5.2135977258799096e+23,1.77614766824049e+24,0.0,71720256962.9645,521359772587.99084,1747246337666.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594411095314.4075,0.0,71720256962.96585,521359772587.9872,189998170857.10287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37162928504.84553,0.0,0.0,0.0,0.0,1.1724741898204992e-67,7148711.5039856555,920.360110562466,1668339996539.9426,0.0,0.0,0.0,0.0,4.0575630420736484e-63,1.22185072397917,31851803.500206932,1595962102657.977,0.0,0.0,0.0,0.0,23046523.40354004,71727912472.85847,521424166644.6954,189998245206.34412
0.17600000000000002,-1,-1,1,-37485.24866588695,0.0,-0.00037485248665886946,0.0,0.0,7.172024366324943e+22,5.213596024801456e+23,1.775454947925674e+24,0.0,71720243663.2494,521359602480.1455,1746564889240.539,0.0,0.0,0.0,1658069014020.1907,0.0,0.0,0.0,0.0,0.0,71720243663.25064,521359602480.14264,189998169626.38287,0.0,0.0,0.0,-101502294406.03624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.656189570506408e+17,0.0,0.0,0.0,753160.8675758913,0.0,0.0,0.0,-1658069014020.1907,0.0,0.0,0.0,1594175878732.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101502294406.03624,0.0,0.0,0.0,-37608405957.016815,1.3026990143835265e-18,-37485.2486658856,1.3026990143835263e-26,-0.0003748524866588559,0.0,7.172024366324943e+22,5.213596024801456e+23,1.7754557135446307e+24,0.0,71720243663.2494,521359602480.1455,1746565642401.4065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594175878732.0398,0.0,71720243663.25064,521359602480.14264,189998169626.38287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37608405957.016815,0.0,0.0,0.0,0.0,1.488308037596782e-67,7140718.340139171,1168.2801894686813,1668475186430.1467,0.0,0.0,0.0,0.0,4.0575314586888726e-63,1.2353176315637526,31851555.58887238,1595745860279.784,0.0,0.0,0.0,0.0,23046523.40354005,71727912472.8586,521424166644.6954,189998245206.34418
0.20533333333333337,-1,-1,1,-37474.16225426635,0.0,-0.0003747416225426635,0.0,0.0,7.172023018868445e+22,5.213594308777766e+23,1.774751717113762e+24,0.0,71720230188.68443,521359430877.7764,1745873101343.272,0.0,0.0,0.0,1658126950420.5623,0.0,0.0,0.0,0.0,0.0,71720230188.68555,521359430877.7728,189998168360.79895,0.0,0.0,0.0,-102252017438.08832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.908546370276127e+17,0.0,0.0,0.0,777985.9146182761,0.0,0.0,0.0,-1658126950420.5623,0.0,0.0,0.0,1593940253959.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102252017438.08832,0.0,0.0,0.0,-38064542991.5008,2.249332100648741e-18,-37474.16225426502,2.2493321006487405e-26,-0.0003747416225426502,0.0,7.172023018868445e+22,5.213594308777766e+23,1.7747525079683994e+24,0.0,71720230188.68443,521359430877.7764,1745873879329.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593940253959.887,0.0,71720230188.68555,521359430877.7728,189998168360.79895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38064542991.5008,0.0,0.0,0.0,0.0,1.909639334115683e-67,7132744.966296875,1499.0118216628168,1668610046002.0024,0.0,0.0,0.0,0.0,4.0574893255592234e-63,1.2491750895821214,31851224.86890449,1595529663812.7078,0.0,0.0,0.0,0.0,23046523.403540045,71727912472.85849,521424166644.69556,189998245206.34415
0.2346666666666667,-1,-1,1,-37462.88945365479,0.0,-0.0003746288945365478,0.0,0.0,7.1720216527195876e+22,5.21359257868639e+23,1.7740366644524718e+24,0.0,71720216527.19586,521359257868.63885,1745169683960.7998,0.0,0.0,0.0,1658183070727.2957,0.0,0.0,0.0,0.0,0.0,71720216527.1969,521359257868.6356,189998167056.47852,0.0,0.0,0.0,-103011553822.97511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12265813910068e+17,0.0,0.0,0.0,799048.690569818,0.0,0.0,0.0,-1658183070727.2957,0.0,0.0,0.0,1593704938950.4912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103011553822.97511,0.0,0.0,0.0,-38532622997.47937,6.71610290206717e-19,-37462.88945365342,6.716102902067169e-27,-0.00037462889453653415,0.0,7.1720216527195876e+22,5.21359257868639e+23,1.7740374767182858e+24,0.0,71720216527.19586,521359257868.63885,1745170483009.4905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593704938950.4912,0.0,71720216527.1969,521359257868.6356,189998167056.47852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38532622997.47937,0.0,0.0,0.0,0.0,2.470511407901527e-67,7124819.693301638,1939.2776626640432,1668744096091.7512,0.0,0.0,0.0,0.0,4.0574332383518506e-63,1.2634488102719883,31850784.618590888,1595314285899.2356,0.0,0.0,0.0,0.0,23046523.403540052,71727912472.85847,521424166644.6957,189998245206.3442
