sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-54677.317837206036,0.0,-0.0005467731783720603,0.0,1.4525921541766124e+24,1.416028595188599e+24,1.4567474315170548e+23,0.0,1850986729255.551,1416028595188.5986,145674743151.70544,0.0,1400072291516.8523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697178965.9413,1416028595188.597,145674743151.705,0.0,-142782741227.24307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408828554477.161,4090528.654837141,4864893.752410713,5.210847120278642e-64,0.0,0.0,0.0,0.0,2300977635250.4336,36397389.65738495,3080886.2097986946,4.636598732566663e-63,0.0,0.0,0.0,0.0,593698451725.8885,1416085399913.9956,145682734079.8421,62589821.10579342,0.0,0.0,0.0,0.0,-32619689482.032547,0.0,0.0,0.0,-0.041566114872694016,0.0,0.0,0.0,-1400072291516.8523,0.0,0.0,0.0,2289047073454.5884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142782741227.24307,0.0,0.0,0.0,-1031757523165.0219,0.0,0.0,0.0,-1.8932661725304287e-18,-54677.317837204355,-1.8932661725304283e-26,-0.0005467731783720434,1.45259215417658e+24,1.416028595188599e+24,1.4567474315170548e+23,0.0,1850986729255.5095,1416028595188.5986,145674743151.70544,0.0,0.0,0.0,0.0,0.0,2289047073454.5884,0.0,0.0,0.0,593697178965.9413,1416028595188.597,145674743151.705,0.0,0.0,0.0,0.0,0.0,-1031757523165.0219,0.0,0.0,0.0
0.02,-1,-1,1,-54664.91297326098,0.0,-0.0005466491297326097,0.0,1.4519845637699422e+24,1.4160285900861454e+24,1.4567472886285349e+23,0.0,1850212498322.019,1416028590086.145,145674728862.85345,0.0,1399916554105.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697174851.4636,1416028590086.1414,145674728862.85312,0.0,-143401230634.47137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408710774928.226,4090495.268794393,4875201.540276927,5.2108046021888424e-64,0.0,0.0,0.0,0.0,2301289186266.3193,36397445.2994489,3077768.398899633,4.6366058189152945e-63,0.0,0.0,0.0,0.0,593698451725.8877,1416085399913.9956,145682734079.84198,62589821.10579342,0.0,0.0,0.0,0.0,17535494595515.576,0.0,0.0,0.0,22.344859631732106,0.0,0.0,0.0,-1399916554105.0276,0.0,0.0,0.0,2289346169148.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143401230634.47137,0.0,0.0,0.0,-1032830845655.1321,0.0,0.0,0.0,-1.8932661725304287e-18,-54664.91297325933,-1.8932661725304283e-26,-0.0005466491297325932,1.4519845637874785e+24,1.4160285900861454e+24,1.4567472886285349e+23,0.0,1850212498344.365,1416028590086.145,145674728862.85345,0.0,0.0,0.0,0.0,0.0,2289346169148.0347,0.0,0.0,0.0,593697174851.4636,1416028590086.1414,145674728862.85312,0.0,0.0,0.0,0.0,0.0,-1032830845655.1321,0.0,0.0,0.0
0.04,-1,-1,1,-54652.347610403354,0.0,-0.0005465234761040334,0.0,1.4513691127034826e+24,1.4160285849326818e+24,1.4567471449402e+23,0.0,1849428250828.1523,1416028584932.6814,145674714494.01996,0.0,1399759492002.8645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697170689.353,1416028584932.68,145674714494.01956,0.0,-144028411864.06506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408592203310.0798,4090461.563118937,4886466.461188952,5.2107616770348316e-64,0.0,0.0,0.0,0.0,2301601287762.882,36397501.4742215,3072291.832335643,4.636612973107976e-63,0.0,0.0,0.0,0.0,593698451725.8877,1416085399913.9958,145682734079.84204,62589821.1057934,0.0,0.0,0.0,0.0,-154598869097489.03,0.0,0.0,0.0,-196.99986278638244,0.0,0.0,0.0,-1399759492002.8645,0.0,0.0,0.0,2289645691800.1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144028411864.06506,0.0,0.0,0.0,-1033914611858.3323,0.0,0.0,0.0,-1.262177448353619e-18,-54652.34761040145,-1.2621774483536189e-26,-0.0005465234761040144,1.451369112548884e+24,1.4160285849326818e+24,1.4567471449402e+23,0.0,1849428250631.1528,1416028584932.6814,145674714494.01996,0.0,0.0,0.0,0.0,0.0,2289645691800.1294,0.0,0.0,0.0,593697170689.353,1416028584932.68,145674714494.01956,0.0,0.0,0.0,0.0,0.0,-1033914611858.3323,0.0,0.0,0.0
0.06,-1,-1,1,-54639.61544364707,0.0,-0.0005463961544364705,0.0,1.450745489907601e+24,1.4160285797264827e+24,1.4567470004646788e+23,0.0,1848633590388.9377,1416028579726.4824,145674700046.46783,0.0,1399601090335.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697166478.0568,1416028579726.4795,145674700046.46747,0.0,-144664666424.13406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408472848040.3618,4090427.526505181,4898815.7514566025,5.210718330418261e-64,0.0,0.0,0.0,0.0,2301913898262.3193,36397558.20054403,3064157.1126921065,4.636620197544406e-63,0.0,0.0,0.0,0.0,593698451725.8889,1416085399913.9966,145682734079.84213,62589821.10579342,0.0,0.0,0.0,0.0,-106592977528562.11,0.0,0.0,0.0,-135.82765559479594,0.0,0.0,0.0,-1399601090335.0154,0.0,0.0,0.0,2289945595572.8657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144664666424.13406,0.0,0.0,0.0,-1035009171797.8148,0.0,0.0,0.0,-1.8932661725304287e-18,-54639.61544364512,-1.8932661725304283e-26,-0.000546396154436451,1.4507454898010078e+24,1.4160285797264827e+24,1.4567470004646788e+23,0.0,1848633590253.1096,1416028579726.4824,145674700046.46783,0.0,0.0,0.0,0.0,0.0,2289945595572.8657,0.0,0.0,0.0,593697166478.0568,1416028579726.4795,145674700046.46747,0.0,0.0,0.0,0.0,0.0,-1035009171797.8148,0.0,0.0,0.0
0.08,-1,-1,1,-54626.709336764325,0.0,-0.0005462670933676432,0.0,1.4501133502829173e+24,1.4160285744656411e+24,1.456746855223537e+23,0.0,1847828077256.458,1416028574465.6409,145674685522.35367,0.0,1399441338793.2954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697162215.8495,1416028574465.6396,145674685522.3533,0.0,-145310423752.6876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408352725037.824,4090393.1470384574,4912385.04333941,5.210674547165544e-64,0.0,0.0,0.0,0.0,2302226957364.192,36397615.498274654,3053048.0948328283,4.636627494753541e-63,0.0,0.0,0.0,0.0,593698451725.8877,1416085399913.9956,145682734079.8419,62589821.10579341,0.0,0.0,0.0,0.0,-7023582240266505.0,0.0,0.0,0.0,-8949.902063829824,0.0,0.0,0.0,-1399441338793.2954,0.0,0.0,0.0,2290245815297.7563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145310423752.6876,0.0,0.0,0.0,-1036114909207.0505,0.0,0.0,0.0,-1.262177448353619e-18,-54626.70933676252,-1.2621774483536189e-26,-0.0005462670933676252,1.4501133432593342e+24,1.4160285744656411e+24,1.456746855223537e+23,0.0,1847828068306.5547,1416028574465.6409,145674685522.35367,0.0,0.0,0.0,0.0,0.0,2290245815297.7563,0.0,0.0,0.0,593697162215.8495,1416028574465.6396,145674685522.3533,0.0,0.0,0.0,0.0,0.0,-1036114909207.0505,0.0,0.0,0.0
0.1,-1,-1,1,-54613.62267146187,0.0,-0.0005461362267146186,0.0,1.4494723637603054e+24,1.4160285691485822e+24,1.4567467092483877e+23,0.0,1847011290835.3176,1416028569148.5818,145674670924.83875,0.0,1399280236057.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697157901.2648,1416028569148.5793,145674670924.83826,0.0,-145966103123.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408231858577.2024,4090358.4154891092,4927318.517811626,5.210630315523013e-64,0.0,0.0,0.0,0.0,2302540384021.1963,36397673.38279575,3038631.856232943,4.636634866694316e-63,0.0,0.0,0.0,0.0,593698451725.888,1416085399913.9958,145682734079.8419,62589821.10579341,0.0,0.0,0.0,0.0,-1083054483804099.6,0.0,0.0,0.0,-1380.097965432331,0.0,0.0,0.0,-1399280236057.9998,0.0,0.0,0.0,2290546265993.9927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145966103123.9496,0.0,0.0,0.0,-1037232134440.0383,0.0,0.0,0.0,-2.524354896707238e-18,-54613.62267145995,-2.5243548967072378e-26,-0.0005461362267145994,1.449472362677248e+24,1.4160285691485822e+24,1.4567467092483877e+23,0.0,1847011289455.216,1416028569148.5818,145674670924.83875,0.0,0.0,0.0,0.0,0.0,2290546265993.9927,0.0,0.0,0.0,593697157901.2648,1416028569148.5793,145674670924.83826,0.0,0.0,0.0,0.0,0.0,-1037232134440.0383,0.0,0.0,0.0
0.12,-1,-1,1,-54600.3469881759,0.0,-0.0005460034698817589,0.0,1.448822119661726e+24,1.4160285637729016e+24,1.456746562556771e+23,0.0,1846182707813.0383,1416028563772.9011,145674656255.67706,0.0,1399117764107.7073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697153532.184,1416028563772.8987,145674656255.6767,0.0,-146632209826.8537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408110261500.966,4090323.3155536824,4943771.2347365655,5.210585614726914e-64,0.0,0.0,0.0,0.0,2302854128009.0947,36397731.88127862,3020557.188286588,4.636642316827352e-63,0.0,0.0,0.0,0.0,593698451725.8871,1416085399913.9956,145682734079.84177,62589821.10579344,0.0,0.0,0.0,0.0,-1208392906812776.8,0.0,0.0,0.0,-1539.8122782129794,0.0,0.0,0.0,-1399117764107.7073,0.0,0.0,0.0,2290846891388.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146632209826.8537,0.0,0.0,0.0,-1038361338646.9719,0.0,0.0,0.0,-1.262177448353619e-18,-54600.34698817421,-1.2621774483536189e-26,-0.000546003469881742,1.448822118453334e+24,1.4160285637729016e+24,1.456746562556771e+23,0.0,1846182706273.2268,1416028563772.9011,145674656255.67706,0.0,0.0,0.0,0.0,0.0,2290846891388.0146,0.0,0.0,0.0,593697153532.184,1416028563772.8987,145674656255.6767,0.0,0.0,0.0,0.0,0.0,-1038361338646.9719,0.0,0.0,0.0
0.14,-1,-1,1,-54586.87411698233,0.0,-0.0005458687411698232,0.0,1.4481622171455897e+24,1.416028558336556e+24,1.4567464151853628e+23,0.0,1845341817411.3804,1416028558336.5557,145674641518.53625,0.0,1398953920667.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697149106.7424,1416028558336.5535,145674641518.53583,0.0,-147309252363.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407987962593.486,4090287.8347054236,4961900.302985868,5.210540428824504e-64,0.0,0.0,0.0,0.0,2303168099083.8477,36397791.01460104,2998472.3461641977,4.636649847811453e-63,0.0,0.0,0.0,0.0,593698451725.8878,1416085399913.9966,145682734079.84186,62589821.10579344,0.0,0.0,0.0,0.0,-1323775587681024.8,0.0,0.0,0.0,-1686.8403414301574,0.0,0.0,0.0,-1398953920667.733,0.0,0.0,0.0,2291147596153.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147309252363.0969,0.0,0.0,0.0,-1039502929536.1997,0.0,0.0,0.0,-1.262177448353619e-18,-54586.87411698058,-1.2621774483536189e-26,-0.0005458687411698057,1.448162215821814e+24,1.416028558336556e+24,1.4567464151853628e+23,0.0,1845341815724.5396,1416028558336.5557,145674641518.53625,0.0,0.0,0.0,0.0,0.0,2291147596153.9985,0.0,0.0,0.0,593697149106.7424,1416028558336.5535,145674641518.53583,0.0,0.0,0.0,0.0,0.0,-1039502929536.1997,0.0,0.0,0.0
0.16,-1,-1,1,-54573.19515899042,0.0,-0.0005457319515899041,0.0,1.4474922203318977e+24,1.4160285528372424e+24,1.4567462671704341e+23,0.0,1844488064203.9014,1416028552837.242,145674626717.04337,0.0,1398788700752.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593697144622.863,1416028552837.2397,145674626717.043,0.0,-147997781171.88895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407864990500.169,4090251.958370677,4981865.819884285,5.2104947392557316e-64,0.0,0.0,0.0,0.0,2303482208981.18,36397850.80705154,2972025.952198972,4.636657462739938e-63,0.0,0.0,0.0,0.0,593698451725.8877,1416085399913.996,145682734079.84195,62589821.10579344,0.0,0.0,0.0,0.0,-1429149329712671.2,0.0,0.0,0.0,-1821.1143684182316,0.0,0.0,0.0,-1398788700752.927,0.0,0.0,0.0,2291448286322.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147997781171.88895,0.0,0.0,0.0,-1040657368562.762,0.0,0.0,0.0,-1.262177448353619e-18,-54573.19515898868,-1.2621774483536189e-26,-0.0005457319515898868,1.447492218902749e+24,1.4160285528372424e+24,1.4567462671704341e+23,0.0,1844488062382.7876,1416028552837.242,145674626717.04337,0.0,0.0,0.0,0.0,0.0,2291448286322.683,0.0,0.0,0.0,593697144622.863,1416028552837.2397,145674626717.043,0.0,0.0,0.0,0.0,0.0,-1040657368562.762,0.0,0.0,0.0
