sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,tot:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gother_forward_iv:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,tot:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,tot:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-59408.52553962679,0.0,-0.0005940852553962678,0.0,2.0323235623255907e+24,0.0,1.8470654728296572e+23,1.4160348634664255e+24,2107247442126.978,0.0,184706547282.96567,1416034863466.425,1645259918059.6174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945760868.52893,0.0,184706547282.96545,1416034863466.4224,-69958236801.16917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648882109783.378,8.503764352378024e-64,17928594.896857627,6675472.7440942405,0.0,0.0,0.0,0.0,1649314867639.016,3.1918701329218697e-63,471350.0276530088,25056282.540342227,0.0,0.0,0.0,0.0,531945767251.08765,62589821.10579337,184717875496.52695,1416085399913.9902,0.0,0.0,0.0,0.0,-207483189927376.12,0.0,0.0,0.0,-215.13228964314112,0.0,0.0,0.0,-1645259918059.6174,0.0,0.0,0.0,1648162510956.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69958236801.16917,0.0,0.0,0.0,-72860829912.83296,0.0,0.0,0.0,-1.262177448353619e-18,-59408.52553962518,-1.2621774483536189e-26,-0.0005940852553962517,2.0323235621181078e+24,0.0,1.8470654728296572e+23,1.4160348634664255e+24,2107247441911.8462,0.0,184706547282.96567,1416034863466.425,0.0,0.0,0.0,0.0,1648162510956.15,0.0,0.0,0.0,531945760868.52893,0.0,184706547282.96545,1416034863466.4224,0.0,0.0,0.0,0.0,-72860829912.83296,0.0,0.0,0.0
0.02,-1,-1,1,-59393.243864852935,0.0,-0.0005939324386485293,0.0,2.0314037443705173e+24,0.0,1.8470654708970484e+23,1.416034837535939e+24,2106293714054.8435,0.0,184706547089.7048,1416034837535.9387,1645260751615.6763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945760678.9962,0.0,184706547089.70453,1416034837535.9355,-70912798239.8307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648932745890.1382,8.457407692510104e-64,17921985.023091137,6639085.563689243,0.0,0.0,0.0,0.0,1649264383180.3416,3.196505799109334e-63,471351.27522846166,25092668.977456808,0.0,0.0,0.0,0.0,531945767251.0876,62589821.105793394,184717875496.527,1416085399913.99,0.0,0.0,0.0,0.0,-9.817769654920309e+16,0.0,0.0,0.0,-101797.12707286059,0.0,0.0,0.0,-1645260751615.6763,0.0,0.0,0.0,1648097690961.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70912798239.8307,0.0,0.0,0.0,-73749839382.43393,0.0,0.0,0.0,-2.524354896707238e-18,-59393.24386485089,-2.5243548967072378e-26,-0.0005939324386485088,2.0314036461928192e+24,0.0,1.8470654708970484e+23,1.416034837535939e+24,2106293612257.7146,0.0,184706547089.7048,1416034837535.9387,0.0,0.0,0.0,0.0,1648097690961.1526,0.0,0.0,0.0,531945760678.9962,0.0,184706547089.70453,1416034837535.9355,0.0,0.0,0.0,0.0,-73749839382.43393,0.0,0.0,0.0
0.04,-1,-1,1,-59377.63253961969,0.0,-0.0005937763253961968,0.0,2.0304641711830021e+24,0.0,1.8470654690071678e+23,1.4160348113749402e+24,2105319502451.541,0.0,184706546900.71674,1416034811374.94,1645261018938.2378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945760481.1415,0.0,184706546900.71652,1416034811374.9377,-71887276967.8394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648983854186.17,8.410921711495978e-64,17915306.00557978,6602596.868479071,0.0,0.0,0.0,0.0,1649213389189.281,3.201154397411973e-63,471359.87685148796,25129156.924346946,0.0,0.0,0.0,0.0,531945767251.08734,62589821.10579337,184717875496.5266,1416085399913.9893,0.0,0.0,0.0,0.0,-3.648348352988718e+17,0.0,0.0,0.0,-378284.8793046661,0.0,0.0,0.0,-1645261018938.2378,0.0,0.0,0.0,1648032040991.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71887276967.8394,0.0,0.0,0.0,-74658677305.93631,0.0,0.0,0.0,-1.262177448353619e-18,-59377.632539617975,-1.2621774483536189e-26,-0.0005937763253961797,2.0304638063481675e+24,0.0,1.8470654690071678e+23,1.4160348113749402e+24,2105319124166.6624,0.0,184706546900.71674,1416034811374.94,0.0,0.0,0.0,0.0,1648032040991.456,0.0,0.0,0.0,531945760481.1415,0.0,184706546900.71652,1416034811374.9377,0.0,0.0,0.0,0.0,-74658677305.93631,0.0,0.0,0.0
0.06,-1,-1,1,-59361.67621114862,0.0,-0.000593616762111486,0.0,2.0295036136077347e+24,0.0,1.847065467152229e+23,1.4160347849815705e+24,2104323532847.5762,0.0,184706546715.22287,1416034784981.57,1645260645801.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945760274.4374,0.0,184706546715.2227,1416034784981.5688,-72882873228.74646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649035423005.6978,8.36431248092426e-64,17908559.951220755,6566011.42313977,0.0,0.0,0.0,0.0,1649161896193.8752,3.2058153206709067e-63,471375.2620617504,25165741.61641028,0.0,0.0,0.0,0.0,531945767251.0873,62589821.10579337,184717875496.52673,1416085399913.9895,0.0,0.0,0.0,0.0,-2.1600856375937805e+17,0.0,0.0,0.0,-223971.96091089185,0.0,0.0,0.0,-1645260645801.885,0.0,0.0,0.0,1647965560762.9958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72882873228.74646,0.0,0.0,0.0,-75588012161.81813,0.0,0.0,0.0,-2.524354896707238e-18,-59361.67621114668,-2.5243548967072378e-26,-0.0005936167621114668,2.029503397599172e+24,0.0,1.847065467152229e+23,1.4160347849815705e+24,2104323308875.6162,0.0,184706546715.22287,1416034784981.57,0.0,0.0,0.0,0.0,1647965560762.9958,0.0,0.0,0.0,531945760274.4374,0.0,184706546715.2227,1416034784981.5688,0.0,0.0,0.0,0.0,-75588012161.81813,0.0,0.0,0.0
0.08,-1,-1,1,-59345.361730761666,0.0,-0.0005934536173076166,0.0,2.028521269913163e+24,0.0,1.8470654653276878e+23,1.4160347583499184e+24,2103304973954.667,0.0,184706546532.76874,1416034758349.9182,1645259593507.4456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945760058.3702,0.0,184706546532.76843,1416034758349.916,-73900379611.15102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649087454966.3325,8.317579125591237e-64,17901746.973834544,6529328.53948976,0.0,0.0,0.0,0.0,1649109900466.9248,3.21048865640651e-63,471396.9868060825,25202423.741790753,0.0,0.0,0.0,0.0,531945767251.08746,62589821.10579337,184717875496.52682,1416085399913.9893,0.0,0.0,0.0,0.0,3.690422293251334e+17,0.0,0.0,0.0,382647.3836146168,0.0,0.0,0.0,-1645259593507.4456,0.0,0.0,0.0,1647898233725.2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73900379611.15102,0.0,0.0,0.0,-76538637181.57912,0.0,0.0,0.0,-3.7865323450608574e-18,-59345.36173075979,-3.7865323450608567e-26,-0.0005934536173075978,2.0285216389553927e+24,0.0,1.8470654653276878e+23,1.4160347583499184e+24,2103305356602.051,0.0,184706546532.76874,1416034758349.9182,0.0,0.0,0.0,0.0,1647898233725.2576,0.0,0.0,0.0,531945760058.3702,0.0,184706546532.76843,1416034758349.916,0.0,0.0,0.0,0.0,-76538637181.57912,0.0,0.0,0.0
0.1,-1,-1,1,-59328.68171606604,0.0,-0.0005932868171606604,0.0,2.0275173904396868e+24,0.0,1.8470654635357687e+23,1.4160347314638782e+24,2102264085342.2917,0.0,184706546353.57684,1416034731463.8777,1645257909273.1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945759832.51294,0.0,184706546353.57657,1416034731463.8765,-74939583763.41576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649139986235.703,8.27070334213395e-64,17894862.577844314,6492533.849289707,0.0,0.0,0.0,0.0,1649057364694.7832,3.215176234955158e-63,471424.8342054803,25239217.66840475,0.0,0.0,0.0,0.0,531945767251.0877,62589821.10579339,184717875496.5267,1416085399913.99,0.0,0.0,0.0,0.0,5.779612658965457e+16,0.0,0.0,0.0,59926.84539932771,0.0,0.0,0.0,-1645257909273.1943,0.0,0.0,0.0,1647830005320.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74939583763.41576,0.0,0.0,0.0,-77511619884.37442,0.0,0.0,0.0,-2.524354896707238e-18,-59328.681716064064,-2.5243548967072378e-26,-0.0005932868171606405,2.0275174482358132e+24,0.0,1.8470654635357687e+23,1.4160347314638782e+24,2102264145269.137,0.0,184706546353.57684,1416034731463.8777,0.0,0.0,0.0,0.0,1647830005320.997,0.0,0.0,0.0,531945759832.51294,0.0,184706546353.57657,1416034731463.8765,0.0,0.0,0.0,0.0,-77511619884.37442,0.0,0.0,0.0
0.12,-1,-1,1,-59311.61655023505,0.0,-0.0005931161655023504,0.0,2.026490213067212e+24,0.0,1.8470654617665717e+23,1.4160347043258554e+24,2101199039927.8293,0.0,184706546176.65714,1416034704325.855,1645255479191.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945759596.1845,0.0,184706546176.65692,1416034704325.852,-76002198859.85838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649192992195.509,8.223699827636042e-64,17887910.56815415,6455638.887446117,0.0,0.0,0.0,0.0,1649004312300.0022,3.2198765866084163e-63,471458.22340416105,25276111.861559156,0.0,0.0,0.0,0.0,531945767251.0878,62589821.105793394,184717875496.52692,1416085399913.9895,0.0,0.0,0.0,0.0,-3.0044564644333576e+16,0.0,0.0,0.0,-31152.19110294786,0.0,0.0,0.0,-1645255479191.503,0.0,0.0,0.0,1647760887991.1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76002198859.85838,0.0,0.0,0.0,-78507638811.74306,0.0,0.0,0.0,-3.7865323450608574e-18,-59311.6165502333,-3.7865323450608567e-26,-0.000593116165502333,2.026490183022646e+24,0.0,1.8470654617665717e+23,1.4160347043258554e+24,2101199008775.637,0.0,184706546176.65714,1416034704325.855,0.0,0.0,0.0,0.0,1647760887991.1963,0.0,0.0,0.0,531945759596.1845,0.0,184706546176.65692,1416034704325.852,0.0,0.0,0.0,0.0,-78507638811.74306,0.0,0.0,0.0
0.14,-1,-1,1,-59294.150165824525,0.0,-0.0005929415016582452,0.0,2.025438832279913e+24,0.0,1.847065460015572e+23,1.416034676925664e+24,2100108898812.6018,0.0,184706546001.55716,1416034676925.6636,1645252267943.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945759348.7473,0.0,184706546001.55695,1416034676925.661,-77089128479.79976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649246484635.6155,8.176561615283277e-64,17880889.779967934,6418638.184078487,0.0,0.0,0.0,0.0,1648950730286.3228,3.224590408047743e-63,471496.7883319037,25313111.790995337,0.0,0.0,0.0,0.0,531945767251.0873,62589821.10579337,184717875496.52686,1416085399913.9895,0.0,0.0,0.0,0.0,-2.5652401681910052e+16,0.0,0.0,0.0,-26598.106143473753,0.0,0.0,0.0,-1645252267943.653,0.0,0.0,0.0,1647690851850.6526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77089128479.79976,0.0,0.0,0.0,-79527738984.90459,0.0,0.0,0.0,-2.524354896707238e-18,-59294.1501658226,-2.5243548967072378e-26,-0.0005929415016582259,2.025438806627511e+24,0.0,1.847065460015572e+23,1.416034676925664e+24,2100108872214.495,0.0,184706546001.55716,1416034676925.6636,0.0,0.0,0.0,0.0,1647690851850.6526,0.0,0.0,0.0,531945759348.7473,0.0,184706546001.55695,1416034676925.661,0.0,0.0,0.0,0.0,-79527738984.90459,0.0,0.0,0.0
0.16,-1,-1,1,-59276.267303219305,0.0,-0.000592762673032193,0.0,2.02436238163807e+24,0.0,1.847065458279262e+23,1.4160346492568474e+24,2098992763614.6199,0.0,184706545827.92615,1416034649256.8472,1645248236112.2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531945759089.54065,0.0,184706545827.92584,1416034649256.8445,-78201231587.1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649300468915.2188,8.129288701787904e-64,17873799.868851457,6381531.735065867,0.0,0.0,0.0,0.0,1648896612055.5198,3.2293176996019147e-63,471540.1805983603,25350217.46080815,0.0,0.0,0.0,0.0,531945767251.0881,62589821.10579339,184717875496.52716,1416085399913.991,0.0,0.0,0.0,0.0,-2.1582346992335404e+16,0.0,0.0,0.0,-22378.004338370993,0.0,0.0,0.0,-1645248236112.2642,0.0,0.0,0.0,1647619874586.6562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78201231587.1859,0.0,0.0,0.0,-80572892439.58267,0.0,0.0,0.0,-1.262177448353619e-18,-59276.26730321744,-1.2621774483536189e-26,-0.0005927626730321743,2.0243623600557235e+24,0.0,1.847065458279262e+23,1.4160346492568474e+24,2098992741236.616,0.0,184706545827.92615,1416034649256.8472,0.0,0.0,0.0,0.0,1647619874586.6562,0.0,0.0,0.0,531945759089.54065,0.0,184706545827.92584,1416034649256.8445,0.0,0.0,0.0,0.0,-80572892439.58267,0.0,0.0,0.0
