sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-34619.94553896488,0.0,-0.00034619945538964873,4.265113727347604e+23,1.4160414705073262e+24,0.0,1.5912719870009894e+24,426511372734.7603,1416041470507.326,0.0,318254397400.19775,0.0,0.0,0.0,169716358610.8452,0.0,0.0,0.0,0.0,426511372734.7594,1416041470507.321,0.0,149395794907.20395,0.0,0.0,0.0,-857756117.8515189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4888729.895610696,1005299.2934339946,1.28054703290733e-64,169719407235.28455,0.0,0.0,0.0,0.0,853538.3543328803,5341110.102245439,6.803946121602647e-64,169534977234.76404,0.0,0.0,0.0,0.0,426535577767.26666,1416085399913.9463,62589821.105793245,149395794925.15814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262575387.9547124,0.0,0.0,0.0,0.0002525150775909424,0.0,0.0,0.0,-169716358610.8452,0.0,0.0,0.0,169538972082.1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857756117.8515189,0.0,0.0,0.0,-680369589.1296523,-34619.94553896391,-5.048709793414476e-18,-0.0003461994553896391,-5.0487097934144756e-26,4.265113727347604e+23,1.4160414705073262e+24,0.0,1.5912719870009913e+24,426511372734.7603,1416041470507.326,0.0,318254397400.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169538972082.1236,426511372734.7594,1416041470507.321,0.0,149395794907.20395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-680369589.1296523
0.02,-1,-1,1,0.0,-34618.58975895906,0.0,-0.0003461858975895906,4.265113289066698e+23,1.4160413184635875e+24,0.0,1.590849860627582e+24,426511328906.6697,1416041318463.5872,0.0,318169972125.51624,0.0,0.0,0.0,169714980432.28622,0.0,0.0,0.0,0.0,426511328906.6685,1416041318463.5813,0.0,149395794904.64468,0.0,0.0,0.0,-940803211.415166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4879908.125867893,1015042.2003783477,1.2929602912057156e-64,169718893954.41162,0.0,0.0,0.0,0.0,862362.3713583462,5331367.241734717,6.791532862766923e-64,169535490571.72137,0.0,0.0,0.0,0.0,426535577767.26654,1416085399913.9473,62589821.105793245,149395794925.15814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60880002398043.9,0.0,0.0,0.0,12.176000479608774,0.0,0.0,0.0,-169714980432.28622,0.0,0.0,0.0,169539210761.0397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940803211.415166,0.0,0.0,0.0,-765033527.9925939,-34618.58975895794,-2.524354896707238e-18,-0.00034618589758957937,-2.5243548967072378e-26,4.265113289066698e+23,1.4160413184635875e+24,0.0,1.5908498606884607e+24,426511328906.6697,1416041318463.5872,0.0,318169972137.69196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169539210761.0397,426511328906.6685,1416041318463.5813,0.0,149395794904.64468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-765033527.9925939
0.04,-1,-1,1,0.0,-34617.058486180074,0.0,-0.0003461705848618007,4.26511285018212e+23,1.4160411663170766e+24,0.0,1.590372968426453e+24,426511285018.2119,1416041166317.0762,0.0,318074593685.29047,0.0,0.0,0.0,169713333613.86426,0.0,0.0,0.0,0.0,426511285018.211,1416041166317.0708,0.0,149395794901.71826,0.0,0.0,0.0,-1034534830.292412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4871670.536183322,1024111.0216952611,1.3045151673575938e-64,169718223516.56006,0.0,0.0,0.0,0.0,870602.5245729754,5322298.463449731,6.779977986114844e-64,169536161082.74747,0.0,0.0,0.0,0.0,426535577767.2672,1416085399913.9487,62589821.105793275,149395794925.15845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-513640357665717.8,0.0,0.0,0.0,-102.72807153314352,0.0,0.0,0.0,-169713333613.86426,0.0,0.0,0.0,169539570896.8732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034534830.292412,0.0,0.0,0.0,-860772216.0293204,-34617.05848617907,-5.048709793414476e-18,-0.00034617058486179064,-5.0487097934144756e-26,4.26511285018212e+23,1.4160411663170766e+24,0.0,1.5903729679128124e+24,426511285018.2119,1416041166317.0762,0.0,318074593582.5623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169539570896.8732,426511285018.211,1416041166317.0708,0.0,149395794901.71826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-860772216.0293204
0.06,-1,-1,1,0.0,-34615.33299682468,0.0,-0.00034615332996824677,4.265112410867632e+23,1.416041014130661e+24,0.0,1.5898354659760437e+24,426511241086.7631,1416041014130.661,0.0,317967093195.20856,0.0,0.0,0.0,169711393719.52603,0.0,0.0,0.0,0.0,426511241086.76227,1416041014130.655,0.0,149395794898.375,0.0,0.0,0.0,-1140095422.6927032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4864104.457128491,1032409.3045138913,1.315088810264387e-64,169717383426.39996,0.0,0.0,0.0,0.0,878171.5015717519,5314000.219847243,6.769404342750334e-64,169537001264.1574,0.0,0.0,0.0,0.0,426535577767.26636,1416085399913.9468,62589821.10579327,149395794925.15808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-302664282405749.1,0.0,0.0,0.0,-60.53285648114979,0.0,0.0,0.0,-169711393719.52603,0.0,0.0,0.0,169540061188.5841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140095422.6927032,0.0,0.0,0.0,-968762952.2836412,-34615.3329968237,-5.048709793414476e-18,-0.00034615332996823696,-5.0487097934144756e-26,4.265112410867632e+23,1.416041014130661e+24,0.0,1.589835465673379e+24,426511241086.7631,1416041014130.661,0.0,317967093134.67566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169540061188.5841,426511241086.76227,1416041014130.655,0.0,149395794898.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-968762952.2836412
0.08,-1,-1,1,0.0,-34613.39352132593,0.0,-0.00034613393521325925,4.265111971310184e+23,1.4160408619715708e+24,0.0,1.5892311837066242e+24,426511197131.01825,1416040861971.5703,0.0,317846236741.3247,0.0,0.0,0.0,169709136094.3256,0.0,0.0,0.0,0.0,426511197131.01733,1416040861971.5647,0.0,149395794894.56204,0.0,0.0,0.0,-1258694247.563018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857300.654738993,1039837.1263761672,1.3245539454194168e-64,169716361645.43643,0.0,0.0,0.0,0.0,884978.553678979,5306572.432958389,6.759939207185581e-64,169538023155.22803,0.0,0.0,0.0,0.0,426535577767.2666,1416085399913.9468,62589821.10579325,149395794925.1581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136485942015424.44,0.0,0.0,0.0,-27.297188403084874,0.0,0.0,0.0,-169709136094.3256,0.0,0.0,0.0,169540689668.56937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258694247.563018,0.0,0.0,0.0,-1090247849.104092,-34613.39352132501,-5.048709793414476e-18,-0.00034613393521325,-5.0487097934144756e-26,4.265111971310184e+23,1.4160408619715708e+24,0.0,1.5892311835701395e+24,426511197131.01825,1416040861971.5703,0.0,317846236714.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169540689668.56937,426511197131.01733,1416040861971.5647,0.0,149395794894.56204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1090247849.104092
0.1,-1,-1,1,0.0,-34611.219379675276,0.0,-0.00034611219379675266,4.2651115317084646e+23,1.4160407099109292e+24,0.0,1.588553667491133e+24,426511153170.8464,1416040709910.9287,0.0,317710733498.22644,0.0,0.0,0.0,169706535853.06583,0.0,0.0,0.0,0.0,426511153170.8455,1416040709910.924,0.0,149395794890.21918,0.0,0.0,0.0,-1391597245.058814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4851352.026314395,1046292.5368359132,1.3327807101732518e-64,169715146495.7577,0.0,0.0,0.0,0.0,890930.8008658136,5300117.052794847,6.751712442075627e-64,169539238434.43408,0.0,0.0,0.0,0.0,426535577767.26697,1416085399913.9478,62589821.105793215,149395794925.15826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104368885997682.86,0.0,0.0,0.0,-20.873777199536562,0.0,0.0,0.0,-169706535853.06583,0.0,0.0,0.0,169541463826.54684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391597245.058814,0.0,0.0,0.0,-1226525239.4136202,-34611.21937967426,-5.048709793414476e-18,-0.0003461121937967425,-5.0487097934144756e-26,4.2651115317084646e+23,1.4160407099109292e+24,0.0,1.588553667386764e+24,426511153170.8464,1416040709910.9287,0.0,317710733477.3526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169541463826.54684,426511153170.8455,1416040709910.924,0.0,149395794890.21918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1226525239.4136202
0.12,-1,-1,1,0.0,-34608.789155501836,0.0,-0.0003460878915550183,4.265111092271507e+23,1.4160405580231943e+24,0.0,1.5877962332786672e+24,426511109227.1506,1416040558023.194,0.0,317559246655.7333,0.0,0.0,0.0,169703568229.18503,0.0,0.0,0.0,0.0,426511109227.1495,1416040558023.1897,0.0,149395794885.27942,0.0,0.0,0.0,-1540116458.731129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4846352.0222004475,1051673.298672078,1.3396388706444693e-64,169713726898.4779,0.0,0.0,0.0,0.0,895934.8099088055,5294736.316141784,6.744854281307529e-64,169540658180.95663,0.0,0.0,0.0,0.0,426535577767.2663,1416085399913.9468,62589821.10579322,149395794925.15808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125223992187529.86,0.0,0.0,0.0,-25.04479843750596,0.0,0.0,0.0,-169703568229.18503,0.0,0.0,0.0,169542390406.51483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540116458.731129,0.0,0.0,0.0,-1378938661.1057398,-34608.7891555008,-7.573064690121715e-18,-0.000346087891555008,-7.573064690121713e-26,4.265111092271507e+23,1.4160405580231943e+24,0.0,1.587796233153444e+24,426511109227.1506,1416040558023.194,0.0,317559246630.68866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169542390406.51483,426511109227.1495,1416040558023.1897,0.0,149395794885.27942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1378938661.1057398
0.14,-1,-1,1,0.0,-34606.08090646953,0.0,-0.0003460608090646952,4.265110653216598e+23,1.4160404063854135e+24,0.0,1.5869520328831873e+24,426511065321.6597,1416040406385.413,0.0,317390406576.6373,0.0,0.0,0.0,169700208901.08316,0.0,0.0,0.0,0.0,426511065321.6588,1416040406385.4084,0.0,149395794879.67026,0.0,0.0,0.0,-1705597204.1163452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842392.799805784,1055878.9074080302,1.3450003932043428e-64,169712092566.11548,0.0,0.0,0.0,0.0,899898.4404703391,5290530.727045677,6.739492758515568e-64,169542292682.26062,0.0,0.0,0.0,0.0,426535577767.26624,1416085399913.9465,62589821.105793245,149395794925.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145389981362968.75,0.0,0.0,0.0,-29.077996272593737,0.0,0.0,0.0,-169700208901.08316,0.0,0.0,0.0,169543475257.05505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705597204.1163452,0.0,0.0,0.0,-1548863589.1660635,-34606.080906468655,-5.048709793414476e-18,-0.0003460608090646865,-5.0487097934144756e-26,4.265110653216598e+23,1.4160404063854135e+24,0.0,1.5869520327377973e+24,426511065321.6597,1416040406385.413,0.0,317390406547.5593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169543475257.05505,426511065321.6588,1416040406385.4084,0.0,149395794879.67026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1548863589.1660635
0.16,-1,-1,1,0.0,-34603.072407855536,0.0,-0.00034603072407855535,4.265110214766897e+23,1.4160402550763305e+24,0.0,1.586014130007993e+24,426511021476.6896,1416040255076.33,0.0,317202826001.59845,0.0,0.0,0.0,169696434308.466,0.0,0.0,0.0,0.0,426511021476.6887,1416040255076.3254,0.0,149395794873.3111,0.0,0.0,0.0,-1889403180.1791015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839563.151955113,1058812.8383327231,1.3487423058980595e-64,169710234163.53766,0.0,0.0,0.0,0.0,902732.9169367512,5287596.809800991,6.735750845659865e-64,169544151273.1139,0.0,0.0,0.0,0.0,426535577767.26697,1416085399913.9475,62589821.10579325,149395794925.15833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164527790872380.22,0.0,0.0,0.0,-32.90555817447603,0.0,0.0,0.0,-169696434308.466,0.0,0.0,0.0,169544723219.68237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889403180.1791015,0.0,0.0,0.0,-1737692124.3009474,-34603.07240785448,-2.524354896707238e-18,-0.00034603072407854473,-2.5243548967072378e-26,4.265110214766897e+23,1.4160402550763305e+24,0.0,1.5860141298434648e+24,426511021476.6896,1416040255076.33,0.0,317202825968.6928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169544723219.68237,426511021476.6887,1416040255076.3254,0.0,149395794873.3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1737692124.3009474
