sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-30406.887655496317,0.0,-0.0003040688765549631,5.213548245013806e+23,0.0,6.771892267603221e+23,2.6111423976496293e+22,521354824501.3806,0.0,1350382577928.9797,26111423976.4963,0.0,0.0,1128579445776.4585,0.0,0.0,0.0,0.0,0.0,521354824501.37915,0.0,262156763398.4302,26111423976.496235,0.0,0.0,-40353631245.90864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4007890.7517746207,6.65933099985024e-58,1129395551160.217,7877898.948271151,0.0,0.0,0.0,0.0,55132591.486742906,9.160634708677947e-57,1128839817757.9504,240056.56813904844,0.0,0.0,0.0,0.0,521402021374.33246,45012376.12872891,262156766977.03677,26114961365.166286,0.0,0.0,0.0,0.0,0.0,0.0,-26482102487.597416,0.0,0.0,0.0,-0.052807942614890635,0.0,0.0,0.0,-1128579445776.4585,0.0,0.0,0.0,1128551675221.8657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40353631245.90864,0.0,0.0,0.0,-40325860691.36918,0.0,-30406.887655495342,-5.048709793414476e-18,-0.00030406887655495335,-5.0487097934144756e-26,5.213548245013806e+23,0.0,6.771892267602956e+23,2.6111423976496293e+22,521354824501.3806,0.0,1350382577928.927,26111423976.4963,0.0,0.0,0.0,0.0,0.0,0.0,1128551675221.8657,0.0,521354824501.37915,0.0,262156763398.4302,26111423976.496235,0.0,0.0,0.0,0.0,0.0,0.0,-40325860691.36918,0.0
0.03,-1,-1,1,0.0,-30401.0991073106,0.0,-0.00030401099107310597,5.2135481272951446e+23,0.0,6.770080503629533e+23,2.6111423806849736e+22,521354812729.51447,0.0,1350021294197.8296,26111423806.849743,0.0,0.0,1128592648466.5237,0.0,0.0,0.0,0.0,0.0,521354812729.5124,0.0,262156763331.5775,26111423806.849693,0.0,0.0,-40728117600.272644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991260.993531135,6.631696940294909e-58,1129416454266.0815,7877966.538129865,0.0,0.0,0.0,0.0,55149220.34014529,9.163398114810835e-57,1128818898018.8613,239746.9545659992,0.0,0.0,0.0,0.0,521402021374.33234,45012376.12872888,262156766977.0365,26114961365.166233,0.0,0.0,0.0,0.0,0.0,0.0,2752717669800772.0,0.0,0.0,0.0,5489.192438927945,0.0,0.0,0.0,-1128592648466.5237,0.0,0.0,0.0,1128527896815.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40728117600.272644,0.0,0.0,0.0,-40663360460.3152,0.0,-30401.099107309426,-7.573064690121715e-18,-0.0003040109910730942,-7.573064690121713e-26,5.2135481272951446e+23,0.0,6.77008053115671e+23,2.6111423806849736e+22,521354812729.51447,0.0,1350021299687.0222,26111423806.849743,0.0,0.0,0.0,0.0,0.0,0.0,1128527896815.76,0.0,521354812729.5124,0.0,262156763331.5775,26111423806.849693,0.0,0.0,0.0,0.0,0.0,0.0,-40663360460.3152,0.0
0.06,-1,-1,1,0.0,-30395.203580516965,0.0,-0.0003039520358051696,5.213548009434335e+23,0.0,6.768235288289444e+23,2.6111423643015746e+22,521354800943.43353,0.0,1349653339931.9734,26111423643.01575,0.0,0.0,1128606017130.5208,0.0,0.0,0.0,0.0,0.0,521354800943.43195,0.0,262156763262.41107,26111423643.015686,0.0,0.0,-41109440460.95782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974698.0747596454,6.604174011543437e-58,1129437663568.5723,7878018.634704035,0.0,0.0,0.0,0.0,55165782.357126415,9.166150407862608e-57,1128797670486.8196,239449.26101985612,0.0,0.0,0.0,0.0,521402021374.3322,45012376.12872889,262156766977.03705,26114961365.16633,0.0,0.0,0.0,0.0,0.0,0.0,-834727981771012.4,0.0,0.0,0.0,-1664.530502479989,0.0,0.0,0.0,-1128606017130.5208,0.0,0.0,0.0,1128503756712.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41109440460.95782,0.0,0.0,0.0,-41007181707.346664,0.0,-30395.203580515987,-7.573064690121715e-18,-0.0003039520358051598,-7.573064690121713e-26,5.213548009434335e+23,0.0,6.768235279942167e+23,2.6111423643015746e+22,521354800943.43353,0.0,1349653338267.443,26111423643.01575,0.0,0.0,0.0,0.0,0.0,0.0,1128503756712.378,0.0,521354800943.43195,0.0,262156763262.41107,26111423643.015686,0.0,0.0,0.0,0.0,0.0,0.0,-41007181707.346664,0.0
0.09,-1,-1,1,0.0,-30389.195891430427,0.0,-0.0003038919589143042,5.213547891411765e+23,0.0,6.766354946807225e+23,2.611142348492101e+22,521354789141.1765,0.0,1349278381164.4966,26111423484.921017,0.0,0.0,1128619544641.057,0.0,0.0,0.0,0.0,0.0,521354789141.175,0.0,262156763190.78265,26111423484.920967,0.0,0.0,-41497926667.343575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3958199.8170142523,6.576758595210919e-58,1129459178648.4568,7878055.47087502,0.0,0.0,0.0,0.0,55182279.71602052,9.168891949671791e-57,1128776135522.2651,239163.2607710337,0.0,0.0,0.0,0.0,521402021374.33234,45012376.128728904,262156766977.03674,26114961365.166286,0.0,0.0,0.0,0.0,0.0,0.0,-578832006574219.0,0.0,0.0,0.0,-1154.2485118448967,0.0,0.0,0.0,-1128619544641.057,0.0,0.0,0.0,1128479252621.7134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41497926667.343575,0.0,0.0,0.0,-41357635802.24732,0.0,-30389.195891429303,-2.524354896707238e-18,-0.000303891958914293,-2.5243548967072378e-26,5.213547891411765e+23,0.0,6.766354941018901e+23,2.611142348492101e+22,521354789141.1765,0.0,1349278380010.2476,26111423484.921017,0.0,0.0,0.0,0.0,0.0,0.0,1128479252621.7134,0.0,521354789141.175,0.0,262156763190.78265,26111423484.920967,0.0,0.0,0.0,0.0,0.0,0.0,-41357635802.24732,0.0
0.12,-1,-1,1,0.0,-30383.07060507432,0.0,-0.00030383070605074315,5.213547773206542e+23,0.0,6.764437774301857e+23,2.61114233325068e+22,521354777320.65424,0.0,1348896077925.1912,26111423332.506805,0.0,0.0,1128633224745.5266,0.0,0.0,0.0,0.0,0.0,521354777320.6528,0.0,262156763116.53323,26111423332.506756,0.0,0.0,-41893909936.87086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941763.928583729,6.549446884842605e-58,1129481000102.5676,7878077.242093945,0.0,0.0,0.0,0.0,55198714.70842067,9.171623120883905e-57,1128754292467.7803,238888.75279421307,0.0,0.0,0.0,0.0,521402021374.33203,45012376.12872888,262156766977.03625,26114961365.166233,0.0,0.0,0.0,0.0,0.0,0.0,4355009067785234.0,0.0,0.0,0.0,8684.320629249094,0.0,0.0,0.0,-1128633224745.5266,0.0,0.0,0.0,1128454381036.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41893909936.87086,0.0,0.0,0.0,-41715057543.483315,0.0,-30383.070605073302,-2.524354896707238e-18,-0.000303830706050733,-2.5243548967072378e-26,5.213547773206542e+23,0.0,6.764437817851947e+23,2.61114233325068e+22,521354777320.65424,0.0,1348896086609.5117,26111423332.506805,0.0,0.0,0.0,0.0,0.0,0.0,1128454381036.461,0.0,521354777320.6528,0.0,262156763116.53323,26111423332.506756,0.0,0.0,0.0,0.0,0.0,0.0,-41715057543.483315,0.0
0.15,-1,-1,1,0.0,-30376.821814483472,0.0,-0.00030376821814483466,5.2135476547879455e+23,0.0,6.762481996552911e+23,2.6111423185703114e+22,521354765478.79456,0.0,1348506076416.8809,26111423185.70312,0.0,0.0,1128647052861.778,0.0,0.0,0.0,0.0,0.0,521354765478.7932,0.0,262156763039.48837,26111423185.70308,0.0,0.0,-42297739484.38603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3925386.8276409553,6.52223293033419e-58,1129503130517.4678,7878084.136359213,0.0,0.0,0.0,0.0,55215090.9159651,9.174344516509376e-57,1128732138673.031,238625.52048502385,0.0,0.0,0.0,0.0,521402021374.3321,45012376.1287289,262156766977.03653,26114961365.166264,0.0,0.0,0.0,0.0,0.0,0.0,-1130487249263699.8,0.0,0.0,0.0,-2254.3038572538644,0.0,0.0,0.0,-1128647052861.778,0.0,0.0,0.0,1128429136089.3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42297739484.38603,0.0,0.0,0.0,-42079824966.27856,0.0,-30376.821814482442,-5.048709793414476e-18,-0.0003037682181448244,-5.0487097934144756e-26,5.2135476547879455e+23,0.0,6.762481985248031e+23,2.6111423185703114e+22,521354765478.79456,0.0,1348506074162.5757,26111423185.70312,0.0,0.0,0.0,0.0,0.0,0.0,1128429136089.3672,0.0,521354765478.7932,0.0,262156763039.48837,26111423185.70308,0.0,0.0,0.0,0.0,0.0,0.0,-42079824966.27856,0.0
0.18,-1,-1,1,0.0,-30370.44333179267,0.0,-0.00030370443331792664,5.213547536141068e+23,0.0,6.760485598345142e+23,2.611142304444819e+22,521354753614.10675,0.0,1348107974785.6313,26111423044.448196,0.0,0.0,1128661019671.9138,0.0,0.0,0.0,0.0,0.0,521354753614.10547,0.0,262156762959.45978,26111423044.44813,0.0,0.0,-42709807845.74164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3909067.2078454043,6.49511456288007e-58,1129525568630.5513,7878076.372372143,0.0,0.0,0.0,0.0,55231409.64492917,9.17705635342883e-57,1128709675339.7393,238373.3610964445,0.0,0.0,0.0,0.0,521402021374.33246,45012376.12872891,262156766977.03705,26114961365.166306,0.0,0.0,0.0,0.0,0.0,0.0,-1102845092102974.0,0.0,0.0,0.0,-2199.182650401839,0.0,0.0,0.0,-1128661019671.9138,0.0,0.0,0.0,1128403515847.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42709807845.74164,0.0,0.0,0.0,-42452306220.18998,0.0,-30370.443331791714,-5.048709793414476e-18,-0.00030370443331791705,-5.0487097934144756e-26,5.213547536141068e+23,0.0,6.7604855873167e+23,2.611142304444819e+22,521354753614.10675,0.0,1348107972586.4507,26111423044.448196,0.0,0.0,0.0,0.0,0.0,0.0,1128403515847.18,0.0,521354753614.10547,0.0,262156762959.45978,26111423044.44813,0.0,0.0,0.0,0.0,0.0,0.0,-42452306220.18998,0.0
0.21,-1,-1,1,0.0,-30363.928385551975,0.0,-0.00030363928385551973,5.2135474172377134e+23,0.0,6.758446487281526e+23,2.6111422908666005e+22,521354741723.7713,0.0,1347701355786.6934,26111422908.666008,0.0,0.0,1128675118235.4001,0.0,0.0,0.0,0.0,0.0,521354741723.7698,0.0,262156762876.2388,26111422908.66596,0.0,0.0,-43130525324.94557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3892802.002898418,6.468086689308473e-58,1129548315922.9133,7878054.157270136,0.0,0.0,0.0,0.0,55247673.96144984,9.179759140959435e-57,1128686900922.0134,238132.05167892753,0.0,0.0,0.0,0.0,521402021374.3321,45012376.12872892,262156766977.03653,26114961365.16628,0.0,0.0,0.0,0.0,0.0,0.0,-1072992409743167.0,0.0,0.0,0.0,-2139.653436749126,0.0,0.0,0.0,-1128675118235.4001,0.0,0.0,0.0,1128377515162.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43130525324.94557,0.0,0.0,0.0,-42832924391.996346,0.0,-30363.928385550866,-2.524354896707238e-18,-0.0003036392838555086,-2.5243548967072378e-26,5.2135474172377134e+23,0.0,6.758446476551605e+23,2.6111422908666005e+22,521354741723.7713,0.0,1347701353647.0403,26111422908.666008,0.0,0.0,0.0,0.0,0.0,0.0,1128377515162.7964,0.0,521354741723.7698,0.0,262156762876.2388,26111422908.66596,0.0,0.0,0.0,0.0,0.0,0.0,-42832924391.996346,0.0
0.24,-1,-1,1,0.0,-30357.269731884113,0.0,-0.00030357269731884107,5.213547298051924e+23,0.0,6.756362396049875e+23,2.611142277828036e+22,521354729805.1924,0.0,1347285767295.497,26111422778.280365,0.0,0.0,1128689340252.1858,0.0,0.0,0.0,0.0,0.0,521354729805.1908,0.0,262156762789.59808,26111422778.280315,0.0,0.0,-43560335746.28677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876588.5460017724,6.441144880457886e-58,1129571373203.5142,7878017.70469326,0.0,0.0,0.0,0.0,55263886.53218523,9.182453322017382e-57,1128663814545.6921,237901.37055811987,0.0,0.0,0.0,0.0,521402021374.3318,45012376.12872889,262156766977.0364,26114961365.166237,0.0,0.0,0.0,0.0,0.0,0.0,-1040987878712221.1,0.0,0.0,0.0,-2075.8332231203094,0.0,0.0,0.0,-1128689340252.1858,0.0,0.0,0.0,1128351129352.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43560335746.28677,0.0,0.0,0.0,-43222126922.91157,0.0,-30357.269731883112,-5.048709793414476e-18,-0.0003035726973188311,-5.0487097934144756e-26,5.213547298051924e+23,0.0,6.756362385639993e+23,2.611142277828036e+22,521354729805.1924,0.0,1347285765219.6633,26111422778.280365,0.0,0.0,0.0,0.0,0.0,0.0,1128351129352.9756,0.0,521354729805.1908,0.0,262156762789.59808,26111422778.280315,0.0,0.0,0.0,0.0,0.0,0.0,-43222126922.91157,0.0
