sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-40093.749366058495,0.0,-0.0004009374936605849,8.115771900117757e+23,1.6800510210296276e+23,1.4160302721950073e+24,0.0,918419860276.7911,168005102102.96274,1416030272195.0068,0.0,487592480077.6417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369659304.8824,168005102102.96222,1416030272195.0042,0.0,-127542279105.73357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489475370800.1588,10511240.887512615,257728.92224010298,3.2831969121790377e-65,0.0,0.0,0.0,0.0,1281600718451.692,7878420.195372337,10576029.856406042,1.3472461425239896e-63,0.0,0.0,0.0,0.0,558370834876.856,168014046982.9849,1416085399913.9922,62589821.10579344,0.0,0.0,0.0,0.0,-7742254569.1981325,0.0,0.0,0.0,-0.008761508390307426,0.0,0.0,0.0,-487592480077.6417,0.0,0.0,0.0,1280349719387.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127542279105.73357,0.0,0.0,0.0,-920299518415.1035,0.0,0.0,0.0,-40093.74936605709,-2.524354896707238e-18,-0.00040093749366057084,-2.5243548967072378e-26,8.115771900117673e+23,1.6800510210296276e+23,1.4160302721950073e+24,0.0,918419860276.7817,168005102102.96274,1416030272195.0068,0.0,0.0,0.0,0.0,0.0,1280349719387.0032,0.0,0.0,0.0,558369659304.8824,168005102102.96222,1416030272195.0042,0.0,0.0,0.0,0.0,0.0,-920299518415.1035,0.0,0.0,0.0
0.02,-1,-1,1,0.0,-40080.487497576745,0.0,-0.0004008048749757674,8.108457626408877e+23,1.680050859736624e+23,1.4160302659928815e+24,0.0,917592141814.4675,168005085973.66238,1416030265992.881,0.0,487305670092.0449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369654400.6194,168005085973.66177,1416030265992.8794,0.0,-128083182678.19658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489196592500.13275,10510525.783570353,257721.205842908,3.283098629809931e-65,0.0,0.0,0.0,0.0,1282527476419.0952,7893955.207573002,10576053.005457828,1.3472490909952166e-63,0.0,0.0,0.0,0.0,558370834876.8553,168014046982.98456,1416085399913.9912,62589821.105793394,0.0,0.0,0.0,0.0,-8957559373152.162,0.0,0.0,0.0,-10.136805875226855,0.0,0.0,0.0,-487305670092.0449,0.0,0.0,0.0,1281274076121.3389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128083182678.19658,0.0,0.0,0.0,-922051588717.6283,0.0,0.0,0.0,-40080.48749757537,-3.7865323450608574e-18,-0.00040080487497575363,-3.7865323450608567e-26,8.108457626319303e+23,1.680050859736624e+23,1.4160302659928815e+24,0.0,917592141804.3309,168005085973.66238,1416030265992.881,0.0,0.0,0.0,0.0,0.0,1281274076121.3389,0.0,0.0,0.0,558369654400.6194,168005085973.66177,1416030265992.8794,0.0,0.0,0.0,0.0,0.0,-922051588717.6283,0.0,0.0,0.0
0.04,-1,-1,1,0.0,-40067.09741006372,0.0,-0.0004006709741006371,8.101072636329262e+23,1.6800506969891967e+23,1.4160302597376694e+24,0.0,916756420746.8303,168005069698.91962,1416030259737.669,0.0,487016503709.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369649445.3536,168005069698.91904,1416030259737.6675,0.0,-128629732407.70448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488915541580.78906,10509863.02930927,257713.43132357535,3.2829996071393195e-65,0.0,0.0,0.0,0.0,1283460877598.4487,7909389.409302009,10576076.328874942,1.3472520616754927e-63,0.0,0.0,0.0,0.0,558370834876.8551,168014046982.98462,1416085399913.992,62589821.1057934,0.0,0.0,0.0,0.0,69380694478195.266,0.0,0.0,0.0,78.51453751139343,0.0,0.0,0.0,-487016503709.1807,0.0,0.0,0.0,1282205055792.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128629732407.70448,0.0,0.0,0.0,-923818284412.8544,0.0,0.0,0.0,-40067.09741006236,-1.262177448353619e-18,-0.00040067097410062346,-1.2621774483536189e-26,8.10107263702307e+23,1.6800506969891967e+23,1.4160302597376694e+24,0.0,916756420825.3451,168005069698.91962,1416030259737.669,0.0,0.0,0.0,0.0,0.0,1282205055792.8442,0.0,0.0,0.0,558369649445.3536,168005069698.91904,1416030259737.6675,0.0,0.0,0.0,0.0,0.0,-923818284412.8544,0.0,0.0,0.0
0.06,-1,-1,1,0.0,-40053.57576582015,0.0,-0.0004005357576582014,8.093615088980988e+23,1.6800505327530423e+23,1.4160302534280462e+24,0.0,915912488748.9991,168005053275.3042,1416030253428.046,0.0,486724925388.38904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369644437.8153,168005053275.3036,1416030253428.0437,0.0,-129182081077.20561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488632164756.26733,10509266.241515692,257705.59722723992,3.282899825637775e-65,0.0,0.0,0.0,0.0,1284401077849.7522,7924679.95960651,10576099.831021998,1.3472550551206983e-63,0.0,0.0,0.0,0.0,558370834876.8556,168014046982.9847,1416085399913.9922,62589821.10579342,0.0,0.0,0.0,0.0,13471737040133.46,0.0,0.0,0.0,15.245266873389482,0.0,0.0,0.0,-486724925388.38904,0.0,0.0,0.0,1283142813716.7346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129182081077.20561,0.0,0.0,0.0,-925599969390.3055,0.0,0.0,0.0,-40053.57576581888,-3.7865323450608574e-18,-0.0004005357576581887,-3.7865323450608567e-26,8.093615089115709e+23,1.6800505327530423e+23,1.4160302534280462e+24,0.0,915912488764.2448,168005053275.3042,1416030253428.046,0.0,0.0,0.0,0.0,0.0,1283142813716.7346,0.0,0.0,0.0,558369644437.8153,168005053275.3036,1416030253428.0437,0.0,0.0,0.0,0.0,0.0,-925599969390.3055,0.0,0.0,0.0
0.08,-1,-1,1,0.0,-40039.91906827219,0.0,-0.00040039919068272185,8.086083055290091e+23,1.6800503669928104e+23,1.4160302470626362e+24,0.0,915060127517.6671,168005036699.281,1416030247062.6357,0.0,486430877885.89343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369639376.683,168005036699.28043,1416030247062.6326,0.0,-129740389744.90936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488346407157.7197,10508751.77515248,257697.7020424226,3.2827992660552526e-65,0.0,0.0,0.0,0.0,1285348237457.8923,7939775.180124606,10576123.51643337,1.347258071908331e-63,0.0,0.0,0.0,0.0,558370834876.8567,168014046982.98523,1416085399913.993,62589821.1057934,0.0,0.0,0.0,0.0,53163038951584.445,0.0,0.0,0.0,60.161856945604086,0.0,0.0,0.0,-486430877885.89343,0.0,0.0,0.0,1284087509605.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129740389744.90936,0.0,0.0,0.0,-927397021404.008,0.0,0.0,0.0,-40039.919068270974,-2.524354896707238e-18,-0.00040039919068270965,-2.5243548967072378e-26,8.086083055821725e+23,1.6800503669928104e+23,1.4160302470626362e+24,0.0,915060127577.8293,168005036699.281,1416030247062.6357,0.0,0.0,0.0,0.0,0.0,1284087509605.1553,0.0,0.0,0.0,558369639376.683,168005036699.28043,1416030247062.6326,0.0,0.0,0.0,0.0,0.0,-927397021404.008,0.0,0.0,0.0
0.1,-1,-1,1,0.0,-40026.12362291733,0.0,-0.0004002612362291732,8.078474499532593e+23,1.6800501996718914e+23,1.416030240639996e+24,0.0,914199106680.4985,168005019967.1891,1416030240639.9958,0.0,486134301926.8506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369634260.5736,168005019967.18842,1416030240639.994,0.0,-130304829506.9262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488058212031.3627,10508338.889001891,257689.74418406334,3.2826979082043332e-65,0.0,0.0,0.0,0.0,1286302522094.9746,7954614.06873412,10576147.389864245,1.3472611126440177e-63,0.0,0.0,0.0,0.0,558370834876.8568,168014046982.98535,1416085399913.9927,62589821.1057934,0.0,0.0,0.0,0.0,7080964900684.101,0.0,0.0,0.0,8.013161132112145,0.0,0.0,0.0,-486134301926.8506,0.0,0.0,0.0,1285039308523.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130304829506.9262,0.0,0.0,0.0,-929209836095.5272,0.0,0.0,0.0,-40026.12362291607,-2.524354896707238e-18,-0.00040026123622916064,-2.5243548967072378e-26,8.078474499603405e+23,1.6800501996718914e+23,1.416030240639996e+24,0.0,914199106688.5118,168005019967.1891,1416030240639.9958,0.0,0.0,0.0,0.0,0.0,1285039308523.4648,0.0,0.0,0.0,558369634260.5736,168005019967.18842,1416030240639.994,0.0,0.0,0.0,0.0,0.0,-929209836095.5272,0.0,0.0,0.0
0.12,-1,-1,1,0.0,-40012.18553797634,0.0,-0.00040012185537976325,8.070787273516156e+23,1.6800500307523836e+23,1.4160302341586199e+24,0.0,913329183137.6954,168005003075.2383,1416030234158.6196,0.0,485835136125.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369629088.0405,168005003075.2377,1416030234158.6177,0.0,-130875582075.37982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487767520665.9377,10508050.550778756,257681.72199501455,3.2825957309787918e-65,0.0,0.0,0.0,0.0,1287264103017.3386,7969123.692521476,10576171.45628604,1.3472641779609447e-63,0.0,0.0,0.0,0.0,558370834876.8547,168014046982.98434,1416085399913.991,62589821.10579339,0.0,0.0,0.0,0.0,6954448209277.416,0.0,0.0,0.0,7.86998874694109,0.0,0.0,0.0,-485835136125.0329,0.0,0.0,0.0,1285998381084.6128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130875582075.37982,0.0,0.0,0.0,-931038827027.0898,0.0,0.0,0.0,-40012.1855379752,-2.524354896707238e-18,-0.0004001218553797519,-2.5243548967072378e-26,8.070787273585696e+23,1.6800500307523836e+23,1.4160302341586199e+24,0.0,913329183145.5648,168005003075.2383,1416030234158.6196,0.0,0.0,0.0,0.0,0.0,1285998381084.6128,0.0,0.0,0.0,558369629088.0405,168005003075.2377,1416030234158.6177,0.0,0.0,0.0,0.0,0.0,-931038827027.0898,0.0,0.0,0.0
0.14,-1,-1,1,0.0,-39998.1006925478,0.0,-0.0003999810069254779,8.063019104977388e+23,1.6800498601951755e+23,1.416030227616935e+24,0.0,912450099748.9818,168004986019.51752,1416030227616.9348,0.0,485533317075.0968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369623857.5781,168004986019.51694,1416030227616.933,0.0,-131452841183.69395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487474272505.40515,10507913.878169497,257673.63373892763,3.2824927122627748e-65,0.0,0.0,0.0,0.0,1288233156648.4036,7983217.792098512,10576195.720907735,1.347267268522588e-63,0.0,0.0,0.0,0.0,558370834876.8557,168014046982.98465,1416085399913.9922,62589821.105793394,0.0,0.0,0.0,0.0,6828019754375.512,0.0,0.0,0.0,7.726916214451194,0.0,0.0,0.0,-485533317075.0968,0.0,0.0,0.0,1286964903028.5842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131452841183.69395,0.0,0.0,0.0,-932884427129.4548,0.0,0.0,0.0,-39998.10069254646,-1.262177448353619e-18,-0.00039998100692546453,-1.2621774483536189e-26,8.063019105045666e+23,1.6800498601951755e+23,1.416030227616935e+24,0.0,912450099756.7084,168004986019.51752,1416030227616.9348,0.0,0.0,0.0,0.0,0.0,1286964903028.5842,0.0,0.0,0.0,558369623857.5781,168004986019.51694,1416030227616.933,0.0,0.0,0.0,0.0,0.0,-932884427129.4548,0.0,0.0,0.0
0.16,-1,-1,1,0.0,-39983.86471947472,0.0,-0.0003998386471947471,8.05516758529837e+23,1.6800496879598332e+23,1.416030221013282e+24,0.0,911561583943.5463,168004968795.98328,1416030221013.2815,0.0,485228779261.29333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558369618567.6007,168004968795.98276,1416030221013.2795,0.0,-132036813885.34804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487178405076.0937,10507960.983714653,257665.47759535955,3.282388828868491e-65,0.0,0.0,0.0,0.0,1289209864775.0454,7996794.072709127,10576220.18919064,1.347270385024582e-63,0.0,0.0,0.0,0.0,558370834876.8556,168014046982.98456,1416085399913.992,62589821.1057934,0.0,0.0,0.0,0.0,6698894690628.221,0.0,0.0,0.0,7.58079206943512,0.0,0.0,0.0,-485228779261.29333,0.0,0.0,0.0,1287939055414.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132036813885.34804,0.0,0.0,0.0,-934747090030.7085,0.0,0.0,0.0,-39983.86471947351,-2.524354896707238e-18,-0.000399838647194735,-2.5243548967072378e-26,8.055167585365362e+23,1.6800496879598332e+23,1.416030221013282e+24,0.0,911561583951.1274,168004968795.98328,1416030221013.2815,0.0,0.0,0.0,0.0,0.0,1287939055414.235,0.0,0.0,0.0,558369618567.6007,168004968795.98276,1416030221013.2795,0.0,0.0,0.0,0.0,0.0,-934747090030.7085,0.0,0.0,0.0
