sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:I,avg:g_CB:p,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:I,tot:g_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:I,avg:g_IB:p,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:I,tot:g_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:I,avg:g_VB:p,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:I,tot:g_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-49394.291643679375,0.0,-0.0004939429164367937,0.0,0.0,1.8308077687499196e+23,1.4189658857233965e+24,1.4160458776010353e+24,0.0,183080776874.9919,1483822823590.9512,1416045877601.035,0.0,0.0,1306554113521.6404,0.0,0.0,0.0,0.0,0.0,0.0,183080776874.99164,534517733029.3416,1416045877601.0261,0.0,0.0,-357249022960.03046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.470581362091533e-64,9343443.351845024,1328469887482.3022,5864424.330802785,0.0,0.0,0.0,0.0,8.519952682094203e-64,616432.1096621123,1040252999836.4241,6688265.216712659,0.0,0.0,0.0,0.0,62589821.105793364,183091970091.63525,534517911729.3703,1416085399913.9888,0.0,0.0,0.0,0.0,0.0,0.0,-10077990020.127733,0.0,0.0,0.0,-0.010538626585912425,0.0,0.0,0.0,-1306554113521.6404,0.0,0.0,0.0,1040049747855.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357249022960.03046,0.0,0.0,0.0,-90744657293.91562,0.0,-2.524354896707238e-18,-49394.29164367753,-2.5243548967072378e-26,-0.0004939429164367751,0.0,1.8308077687499196e+23,1.4189658857233868e+24,1.4160458776010353e+24,0.0,183080776874.9919,1483822823590.941,1416045877601.035,0.0,0.0,0.0,0.0,0.0,0.0,1040049747855.5148,0.0,0.0,183080776874.99164,534517733029.3416,1416045877601.0261,0.0,0.0,0.0,0.0,0.0,0.0,-90744657293.91562,0.0
0.02,-1,-1,1,-49369.75482900743,0.0,-0.0004936975482900742,0.0,0.0,1.830807775191033e+23,1.4175014787902487e+24,1.4160457389338455e+24,0.0,183080777519.10327,1482291482737.5225,1416045738933.8452,0.0,0.0,1306756099367.7522,0.0,0.0,0.0,0.0,0.0,0.0,183080777519.10306,534517731133.2697,1416045738933.8352,0.0,0.0,-358982347763.5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47584580060013e-64,9321123.593211707,1328778297725.38,5868557.706457677,0.0,0.0,0.0,0.0,8.518197869174688e-64,616352.4027896244,1039584035432.0585,6686887.421279099,0.0,0.0,0.0,0.0,62589821.10579339,183091970091.63513,534517911729.3703,1416085399913.988,0.0,0.0,0.0,0.0,0.0,0.0,1.2337676934780794e+16,0.0,0.0,0.0,12901.597430995615,0.0,0.0,0.0,-1306756099367.7522,0.0,0.0,0.0,1039378785673.8103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358982347763.5003,0.0,0.0,0.0,-91605021167.96101,0.0,-2.524354896707238e-18,-49369.75482900589,-2.5243548967072378e-26,-0.0004936975482900588,0.0,1.830807775191033e+23,1.4175014911279253e+24,1.4160457389338455e+24,0.0,183080777519.10327,1482291495639.1194,1416045738933.8452,0.0,0.0,0.0,0.0,0.0,0.0,1039378785673.8103,0.0,0.0,183080777519.10306,534517731133.2697,1416045738933.8352,0.0,0.0,0.0,0.0,0.0,0.0,-91605021167.96101,0.0
0.04,-1,-1,1,-49344.92477820331,0.0,-0.000493449247782033,0.0,0.0,1.8308077816604587e+23,1.4160195410406042e+24,1.4160455989572624e+24,0.0,183080778166.04584,1480741809783.3044,1416045598957.2622,0.0,0.0,1306958803942.325,0.0,0.0,0.0,0.0,0.0,0.0,183080778166.0455,534517729206.18414,1416045598957.2537,0.0,0.0,-360734723365.20325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481016731112327e-64,9298667.508265344,1329088596406.5933,5872617.670200893,0.0,0.0,0.0,0.0,8.516474225588759e-64,616270.1404656012,1038909017133.016,6685534.096536249,0.0,0.0,0.0,0.0,62589821.105793394,183091970091.63504,534517911729.3695,1416085399913.9878,0.0,0.0,0.0,0.0,0.0,0.0,5.881503155892318e+16,0.0,0.0,0.0,61503.30115431987,0.0,0.0,0.0,-1306958803942.325,0.0,0.0,0.0,1038701741278.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360734723365.20325,0.0,0.0,0.0,-92477599198.16704,0.0,-1.262177448353619e-18,-49344.924778201785,-1.2621774483536189e-26,-0.0004934492477820179,0.0,1.8308077816604587e+23,1.4160195998556364e+24,1.4160455989572624e+24,0.0,183080778166.04584,1480741871286.6064,1416045598957.2622,0.0,0.0,0.0,0.0,0.0,0.0,1038701741278.589,0.0,0.0,183080778166.0455,534517729206.18414,1416045598957.2537,0.0,0.0,0.0,0.0,0.0,0.0,-92477599198.16704,0.0
0.06,-1,-1,1,-49319.7935188152,0.0,-0.0004931979351881519,0.0,0.0,1.8308077881598743e+23,1.4145196868084847e+24,1.4160454576386492e+24,0.0,183080778815.9874,1479173401434.612,1416045457638.6487,0.0,0.0,1307162250164.6575,0.0,0.0,0.0,0.0,0.0,0.0,183080778815.9871,534517727247.24335,1416045457638.639,0.0,0.0,-362506575977.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.486070925380053e-64,9276071.58347106,1329400832631.5186,5876585.984886465,0.0,0.0,0.0,0.0,8.514789494086196e-64,616185.1807200724,1038227791197.8884,6684211.321548974,0.0,0.0,0.0,0.0,62589821.10579337,183091970091.635,534517911729.37006,1416085399913.9875,0.0,0.0,0.0,0.0,0.0,0.0,3.576726791687822e+16,0.0,0.0,0.0,37402.08908933687,0.0,0.0,0.0,-1307162250164.6575,0.0,0.0,0.0,1038018460105.7194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362506575977.2897,0.0,0.0,0.0,-93362748516.26181,0.0,-1.262177448353619e-18,-49319.79351881369,-1.2621774483536189e-26,-0.0004931979351881368,0.0,1.8308077881598743e+23,1.4145197225757523e+24,1.4160454576386492e+24,0.0,183080778815.9874,1479173438836.701,1416045457638.6487,0.0,0.0,0.0,0.0,0.0,0.0,1038018460105.7194,0.0,0.0,183080778815.9871,534517727247.24335,1416045457638.639,0.0,0.0,0.0,0.0,0.0,0.0,-93362748516.26181,0.0
0.08,-1,-1,1,-49294.35261119014,0.0,-0.0004929435261119014,0.0,0.0,1.8308077946863617e+23,1.4130013351302873e+24,1.4160453149448453e+24,0.0,183080779468.63614,1477585650173.6306,1416045314944.845,0.0,0.0,1307366444554.1414,0.0,0.0,0.0,0.0,0.0,0.0,183080779468.6359,534517725255.45746,1416045314944.8357,0.0,0.0,-364298519635.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.490981158236454e-64,9253332.692573687,1329715050638.8062,5880441.275142511,0.0,0.0,0.0,0.0,8.513152749722997e-64,616097.3045623479,1037540212590.4904,6682926.221460232,0.0,0.0,0.0,0.0,62589821.10579337,183091970091.63507,534517911729.37036,1416085399913.9888,0.0,0.0,0.0,0.0,0.0,0.0,3.2024616842467944e+16,0.0,0.0,0.0,33488.37196560489,0.0,0.0,0.0,-1307366444554.1414,0.0,0.0,0.0,1037328796270.3239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364298519635.9675,0.0,0.0,0.0,-94260837863.77902,0.0,-1.262177448353619e-18,-49294.3526111885,-1.2621774483536189e-26,-0.0004929435261118849,0.0,1.8308077946863617e+23,1.4130013671549032e+24,1.4160453149448453e+24,0.0,183080779468.63614,1477585683662.0017,1416045314944.845,0.0,0.0,0.0,0.0,0.0,0.0,1037328796270.3239,0.0,0.0,183080779468.6359,534517725255.45746,1416045314944.8357,0.0,0.0,0.0,0.0,0.0,0.0,-94260837863.77902,0.0
0.1,-1,-1,1,-49268.59316944202,0.0,-0.0004926859316944202,0.0,0.0,1.830807801236934e+23,1.4114638809209102e+24,1.4160451708413938e+24,0.0,183080780123.69336,1475977923258.5212,1416045170841.3936,0.0,0.0,1307571393833.4368,0.0,0.0,0.0,0.0,0.0,0.0,183080780123.69305,534517723229.79016,1416045170841.3835,0.0,0.0,-366111193804.70575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.495715586330022e-64,9230447.588864878,1330031296435.0742,5884158.539509989,0.0,0.0,0.0,0.0,8.511574606950204e-64,616006.2730277991,1036846130507.7059,6681687.130112078,0.0,0.0,0.0,0.0,62589821.105793364,183091970091.63495,534517911729.37006,1416085399913.9878,0.0,0.0,0.0,0.0,0.0,0.0,1.3356263802770734e+17,0.0,0.0,0.0,139667.41038562314,0.0,0.0,0.0,-1307571393833.4368,0.0,0.0,0.0,1036632598069.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366111193804.70575,0.0,0.0,0.0,-95172258373.68588,0.0,-3.7865323450608574e-18,-49268.59316944044,-3.7865323450608567e-26,-0.0004926859316944043,0.0,1.830807801236934e+23,1.411464014483548e+24,1.4160451708413938e+24,0.0,183080780123.69336,1475978062925.9314,1416045170841.3936,0.0,0.0,0.0,0.0,0.0,0.0,1036632598069.827,0.0,0.0,183080780123.69305,534517723229.79016,1416045170841.3835,0.0,0.0,0.0,0.0,0.0,0.0,-95172258373.68588,0.0
0.12,-1,-1,1,-49242.50589793764,0.0,-0.0004924250589793763,0.0,0.0,1.8308078078151077e+23,1.4099069432057735e+24,1.416045025291384e+24,0.0,183080780781.5107,1474349822301.4277,1416045025291.3838,0.0,0.0,1307777128946.6118,0.0,0.0,0.0,0.0,0.0,0.0,183080780781.51044,534517721169.3148,1416045025291.3752,0.0,0.0,-367945027814.4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.500237029991494e-64,9207412.161672529,1330349627353.676,5887708.586519108,0.0,0.0,0.0,0.0,8.51006745899148e-64,615911.9374115436,1036145367200.6372,6680503.7780205235,0.0,0.0,0.0,0.0,62589821.1057934,183091970091.63553,534517911729.3707,1416085399913.9897,0.0,0.0,0.0,0.0,0.0,0.0,1.4047753774068368e+17,0.0,0.0,0.0,146898.37070693204,0.0,0.0,0.0,-1307777128946.6118,0.0,0.0,0.0,1035929686770.2065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367945027814.4992,0.0,0.0,0.0,-96097438739.72401,0.0,-1.262177448353619e-18,-49242.505897936135,-1.2621774483536189e-26,-0.0004924250589793613,0.0,1.8308078078151077e+23,1.4099070836833111e+24,1.416045025291384e+24,0.0,183080780781.5107,1474349969199.7983,1416045025291.3838,0.0,0.0,0.0,0.0,0.0,0.0,1035929686770.2065,0.0,0.0,183080780781.51044,534517721169.3148,1416045025291.3752,0.0,0.0,0.0,0.0,0.0,0.0,-96097438739.72401,0.0
0.14,-1,-1,1,-49216.08088753746,0.0,-0.0004921608088753745,0.0,0.0,1.8308078144173438e+23,1.4083298479153432e+24,1.4160448782576179e+24,0.0,183080781441.73434,1472700642422.9941,1416044878257.6174,0.0,0.0,1307983655427.6526,0.0,0.0,0.0,0.0,0.0,0.0,183080781441.734,534517719072.8854,1416044878257.607,0.0,0.0,-369800732077.5442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.504502028799247e-64,9184222.94732547,1330670092577.325,5891057.293098766,0.0,0.0,0.0,0.0,8.508645792654717e-64,615814.0213308808,1035437760616.941,6679387.539573246,0.0,0.0,0.0,0.0,62589821.10579339,183091970091.63477,534517911729.36993,1416085399913.9883,0.0,0.0,0.0,0.0,0.0,0.0,1.4782944055390518e+17,0.0,0.0,0.0,154586.30831053352,0.0,0.0,0.0,-1307983655427.6526,0.0,0.0,0.0,1035219899303.6952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369800732077.5442,0.0,0.0,0.0,-97036821367.27826,0.0,-1.262177448353619e-18,-49216.0808875359,-1.2621774483536189e-26,-0.0004921608088753589,0.0,1.8308078144173438e+23,1.408329995744784e+24,1.4160448782576179e+24,0.0,183080781441.73434,1472700797009.303,1416044878257.6174,0.0,0.0,0.0,0.0,0.0,0.0,1035219899303.6952,0.0,0.0,183080781441.734,534517719072.8854,1416044878257.607,0.0,0.0,0.0,0.0,0.0,0.0,-97036821367.27826,0.0
0.16,-1,-1,1,-49189.307672404364,0.0,-0.0004918930767240435,0.0,0.0,1.8308078210421416e+23,1.40673197038624e+24,1.416044729701065e+24,0.0,183080782104.2141,1471029730408.2366,1416044729701.0647,0.0,0.0,1308190986498.0894,0.0,0.0,0.0,0.0,0.0,0.0,183080782104.21384,534517716939.35504,1416044729701.0554,0.0,0.0,-371678973029.20667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508459884811363e-64,9160876.111747295,1330992746282.6548,5894164.853325142,0.0,0.0,0.0,0.0,8.507326507254701e-64,615712.2616613067,1034723135461.097,6678351.683447213,0.0,0.0,0.0,0.0,62589821.10579338,183091970091.63486,534517911729.36975,1416085399913.989,0.0,0.0,0.0,0.0,0.0,0.0,1.5564915033745395e+17,0.0,0.0,0.0,162763.43502473342,0.0,0.0,0.0,-1308190986498.0894,0.0,0.0,0.0,1034503059281.4652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371678973029.20667,0.0,0.0,0.0,-97990883049.14929,0.0,-2.524354896707238e-18,-49189.30767240265,-2.5243548967072378e-26,-0.0004918930767240264,0.0,1.8308078210421416e+23,1.4067321260353908e+24,1.416044729701065e+24,0.0,183080782104.2141,1471029893171.672,1416044729701.0647,0.0,0.0,0.0,0.0,0.0,0.0,1034503059281.4652,0.0,0.0,183080782104.21384,534517716939.35504,1416044729701.0554,0.0,0.0,0.0,0.0,0.0,0.0,-97990883049.14929,0.0
