sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-44291.68730232327,0.0,-0.0004429168730232326,0.0,0.0,1.4160353224775852e+24,1.4197419548801093e+23,9.28046475293594e+23,0.0,1416035322477.5847,141974195488.0109,1206460417881.6724,0.0,0.0,0.0,895094829362.6954,0.0,0.0,0.0,0.0,0.0,1416035322477.5823,141974195488.01053,599553570290.2723,0.0,0.0,0.0,-288187981771.2965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.405088693546756e-66,58128.067433389246,3148925.3454153985,898096165451.0977,0.0,0.0,0.0,0.0,8.010442319801331e-64,6288275.807360198,0.7500609631503974,803456285448.7905,0.0,0.0,0.0,0.0,62589821.10579342,1416085399913.9954,141981360028.58142,599553939258.7983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-758091906228.8907,0.0,0.0,0.0,-0.985519478097558,0.0,0.0,0.0,-895094829362.6954,0.0,0.0,0.0,802829109145.1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288187981771.2965,0.0,0.0,0.0,-195922261554.7475,-1.8932661725304287e-18,-44291.68730232177,-1.8932661725304283e-26,-0.00044291687302321764,0.0,1.4160353224775852e+24,1.4197419548801093e+23,9.280464752928356e+23,0.0,1416035322477.5847,141974195488.0109,1206460417880.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802829109145.1621,0.0,1416035322477.5823,141974195488.01053,599553570290.2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195922261554.7475
0.02,-1,-1,1,-44271.887665398084,0.0,-0.0004427188766539808,0.0,0.0,1.4160353034011476e+24,1.419741792341838e+23,9.270958901112273e+23,0.0,1416035303401.1472,141974179234.18378,1205224657144.5957,0.0,0.0,0.0,894586467890.3478,0.0,0.0,0.0,0.0,0.0,1416035303401.1443,141974179234.18347,599553566005.7003,0.0,0.0,0.0,-288915376751.4523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.488088259591855e-66,58779.599502062134,3150708.228825919,897595385102.9928,0.0,0.0,0.0,0.0,8.009612324104937e-64,6287624.279774867,0.7630446152057719,804010333194.604,0.0,0.0,0.0,0.0,62589821.10579341,1416085399913.9958,141981360028.58157,599553939258.7982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235963406409495.12,0.0,0.0,0.0,-306.7524283323437,0.0,0.0,0.0,-894586467890.3478,0.0,0.0,0.0,803377388018.8613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288915376751.4523,0.0,0.0,0.0,-197706297186.7179,-1.262177448353619e-18,-44271.88766539662,-1.2621774483536189e-26,-0.0004427188766539661,0.0,1.4160353034011476e+24,1.419741792341838e+23,9.270958898752636e+23,0.0,1416035303401.1472,141974179234.18378,1205224656837.8428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803377388018.8613,0.0,1416035303401.1443,141974179234.18347,599553566005.7003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-197706297186.7179
0.04,-1,-1,1,-44251.90434386931,0.0,-0.000442519043438693,0.0,0.0,1.4160352843586286e+24,1.4197416281579969e+23,9.261364862445779e+23,0.0,1416035284358.6284,141974162815.79965,1203977432117.9514,0.0,0.0,0.0,894072961805.963,0.0,0.0,0.0,0.0,0.0,1416035284358.6255,141974162815.79935,599553561672.2112,0.0,0.0,0.0,-289649091360.22314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571264446239717e-66,59432.51810331021,3152509.196092132,897089526005.8698,0.0,0.0,0.0,0.0,8.008780562202449e-64,6286971.36566555,0.7764892918615737,804569363667.2473,0.0,0.0,0.0,0.0,62589821.10579345,1416085399913.9968,141981360028.58176,599553939258.7992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-719838611175521.0,0.0,0.0,0.0,-935.7901945281774,0.0,0.0,0.0,-894072961805.963,0.0,0.0,0.0,803930596607.7329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289649091360.22314,0.0,0.0,0.0,-199506727097.78268,-1.262177448353619e-18,-44251.904343868,-1.2621774483536189e-26,-0.00044251904343867995,0.0,1.4160352843586286e+24,1.4197416281579969e+23,9.261364855247392e+23,0.0,1416035284358.6284,141974162815.79965,1203977431182.1611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803930596607.7329,0.0,1416035284358.6255,141974162815.79935,599553561672.2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199506727097.78268
0.06,-1,-1,1,-44231.73285712722,0.0,-0.00044231732857127215,0.0,0.0,1.416035265344891e+24,1.4197414622880033e+23,9.251680478547132e+23,0.0,1416035265344.8909,141974146228.8003,1202718462211.1274,0.0,0.0,0.0,893554202028.6782,0.0,0.0,0.0,0.0,0.0,1416035265344.8887,141974146228.79993,599553557288.6337,0.0,0.0,0.0,-290389297106.1846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.654630460337488e-66,60086.92690831005,3154328.6299425135,896578480866.115,0.0,0.0,0.0,0.0,8.007946902025393e-64,6286316.961361791,0.7904198772334058,805133477081.7457,0.0,0.0,0.0,0.0,62589821.10579341,1416085399913.9954,141981360028.58133,599553939258.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-509186521162493.8,0.0,0.0,0.0,-661.942477511242,0.0,0.0,0.0,-893554202028.6782,0.0,0.0,0.0,804488833903.1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290389297106.1846,0.0,0.0,0.0,-201323929642.55194,-1.8932661725304287e-18,-44231.732857125804,-1.8932661725304283e-26,-0.000442317328571258,0.0,1.416035265344891e+24,1.4197414622880033e+23,9.251680473455269e+23,0.0,1416035265344.8909,141974146228.8003,1202718461549.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804488833903.1038,0.0,1416035265344.8887,141974146228.79993,599553557288.6337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201323929642.55194
0.08,-1,-1,1,-44211.36849985394,0.0,-0.00044211368499853934,0.0,0.0,1.4160352463547877e+24,1.4197412946895499e+23,9.241903500078162e+23,0.0,1416035246354.7874,141974129468.95496,1201447455010.1614,0.0,0.0,0.0,893030074232.7919,0.0,0.0,0.0,0.0,0.0,1416035246354.785,141974129468.95456,599553552853.7451,0.0,0.0,0.0,-291136172076.3764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738200020662312e-66,60742.93360686897,3156166.931458108,896062137214.4509,0.0,0.0,0.0,0.0,8.007111206385971e-64,6285660.959174511,0.8048630222631981,805702778675.4589,0.0,0.0,0.0,0.0,62589821.105793394,1416085399913.9956,141981360028.58142,599553939258.7986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970163386826618.2,0.0,0.0,0.0,-1261.2124028746039,0.0,0.0,0.0,-893030074232.7919,0.0,0.0,0.0,805052203855.2573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291136172076.3764,0.0,0.0,0.0,-203158302960.0536,-6.310887241768095e-19,-44211.36849985242,-6.3108872417680944e-27,-0.0004421136849985241,0.0,1.4160352463547877e+24,1.4197412946895499e+23,9.241903490376522e+23,0.0,1416035246354.7874,141974129468.95496,1201447453748.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805052203855.2573,0.0,1416035246354.785,141974129468.95456,599553552853.7451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203158302960.0536
0.1,-1,-1,1,-44190.8064052967,0.0,-0.00044190806405296695,0.0,0.0,1.416035227383197e+24,1.4197411253184143e+23,9.232031577229092e+23,0.0,1416035227383.1965,141974112531.8414,1200164105039.7822,0.0,0.0,0.0,892500458205.5052,0.0,0.0,0.0,0.0,0.0,1416035227383.194,141974112531.8409,599553548366.2723,0.0,0.0,0.0,-291889901531.99585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.821987023165523e-66,61400.64727964546,3158024.522314204,895540376769.9015,0.0,0.0,0.0,0.0,8.006273336324657e-64,6285003.250023773,0.8198473635177723,806277379365.0566,0.0,0.0,0.0,0.0,62589821.105793424,1416085399913.9956,141981360028.58148,599553939258.7983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35856880617256.34,0.0,0.0,0.0,-46.61394480243325,0.0,0.0,0.0,-892500458205.5052,0.0,0.0,0.0,805620816048.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291889901531.99585,0.0,0.0,0.0,-205010259421.46506,-1.262177448353619e-18,-44190.80640529537,-1.2621774483536189e-26,-0.0004419080640529536,0.0,1.416035227383197e+24,1.4197411253184143e+23,9.232031576870521e+23,0.0,1416035227383.1965,141974112531.8414,1200164104993.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805620816048.3612,0.0,1416035227383.194,141974112531.8409,599553548366.2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205010259421.46506
0.12,-1,-1,1,-44170.04143729113,0.0,-0.0004417004143729113,0.0,0.0,1.4160352084249353e+24,1.4197409541284259e+23,9.222062258732109e+23,0.0,1416035208424.935,141974095412.84256,1198868093635.1743,0.0,0.0,0.0,891965227987.6266,0.0,0.0,0.0,0.0,0.0,1416035208424.9329,141974095412.84216,599553543824.8737,0.0,0.0,0.0,-292650678177.3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.906006056474922e-66,62060.18244475507,3159901.8442755723,895013075583.1995,0.0,0.0,0.0,0.0,8.005433145955213e-64,6284343.719392268,0.835403750486897,806857395540.65,0.0,0.0,0.0,0.0,62589821.10579343,1416085399913.995,141981360028.5814,599553939258.7979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35063948853371.23,0.0,0.0,0.0,-45.583133509382606,0.0,0.0,0.0,-891965227987.6266,0.0,0.0,0.0,806194785461.9482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292650678177.3266,0.0,0.0,0.0,-206880235697.23087,-1.8932661725304287e-18,-44170.04143728976,-1.8932661725304283e-26,-0.00044170041437289754,0.0,1.4160352084249353e+24,1.4197409541284259e+23,9.222062258381467e+23,0.0,1416035208424.935,141974095412.84256,1198868093589.5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806194785461.9482,0.0,1416035208424.9329,141974095412.84216,599553543824.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206880235697.23087
0.14,-1,-1,1,-44149.06826690876,0.0,-0.00044149068266908755,0.0,0.0,1.4160351894748296e+24,1.419740781071301e+23,9.211992980288817e+23,0.0,1416035189474.8293,141974078107.13007,1197559087437.5464,0.0,0.0,0.0,891424251130.4147,0.0,0.0,0.0,0.0,0.0,1416035189474.8267,141974078107.12946,599553539228.1573,0.0,0.0,0.0,-293418702921.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.990271955285634e-66,62721.65555195566,3161799.361852497,894480103301.3949,0.0,0.0,0.0,0.0,8.004590486930621e-64,6283682.250831029,0.8515655591177159,807442949824.7507,0.0,0.0,0.0,0.0,62589821.10579342,1416085399913.9958,141981360028.5815,599553939258.7986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34088784234168.43,0.0,0.0,0.0,-44.31541950441897,0.0,0.0,0.0,-891424251130.4147,0.0,0.0,0.0,806774233254.4954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293418702921.0272,0.0,0.0,0.0,-208768685089.42258,-1.262177448353619e-18,-44149.06826690716,-1.2621774483536189e-26,-0.00044149068266907156,0.0,1.4160351894748296e+24,1.419740781071301e+23,9.211992979947927e+23,0.0,1416035189474.8293,141974078107.13007,1197559087393.2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806774233254.4954,0.0,1416035189474.8267,141974078107.12946,599553539228.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208768685089.42258
0.16,-1,-1,1,-44127.88130767761,0.0,-0.00044127881307677607,0.0,0.0,1.41603517052766e+24,1.4197406060965235e+23,9.201821059823007e+23,0.0,1416035170527.6597,141974060609.6523,1196236737776.991,0.0,0.0,0.0,890877388562.4758,0.0,0.0,0.0,0.0,0.0,1416035170527.6565,141974060609.65192,599553534574.6603,0.0,0.0,0.0,-294194185360.14526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.074800099220387e-66,63385.18732865542,3163717.5628245855,893941323039.5421,0.0,0.0,0.0,0.0,8.003745205454675e-64,6283018.723613461,0.8683689847570735,808034171158.2286,0.0,0.0,0.0,0.0,62589821.10579342,1416085399913.9958,141981360028.5815,599553939258.7991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32949349791384.656,0.0,0.0,0.0,-42.83415472880006,0.0,0.0,0.0,-890877388562.4758,0.0,0.0,0.0,807359286829.2878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294194185360.14526,0.0,0.0,0.0,-210676083669.79178,-6.310887241768095e-19,-44127.88130767592,-6.3108872417680944e-27,-0.0004412788130767591,0.0,1.41603517052766e+24,1.4197406060965235e+23,9.201821059493508e+23,0.0,1416035170527.6597,141974060609.6523,1196236737734.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807359286829.2878,0.0,1416035170527.6565,141974060609.65192,599553534574.6603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210676083669.79178
