sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-44563.16604155722,0.0,-0.00044563166041557215,0.0,1.4160412701245895e+24,1.9164471311034677e+23,0.0,1.173728324326063e+24,1416041270124.589,191644713110.34674,0.0,1173728324326.0625,0.0,0.0,0.0,723693255414.3903,0.0,0.0,0.0,0.0,1416041270124.5828,191644713110.34607,0.0,520971713430.30316,0.0,0.0,0.0,-70936644518.63191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.2260015857548,3767096.0126114613,1.4092334181988757e-67,724429046901.7666,0.0,0.0,0.0,0.0,6345297.252755756,145.17257636060154,8.083083976463138e-64,677826068395.2524,0.0,0.0,0.0,0.0,1416085399913.9858,191654789338.0429,62589821.105793394,520971731135.4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25190494302660.24,0.0,0.0,0.0,-25.190494302660227,0.0,0.0,0.0,-723693255414.3903,0.0,0.0,0.0,677751598943.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70936644518.63191,0.0,0.0,0.0,-24994988072.725315,-1.262177448353619e-18,-44563.16604155584,-1.2621774483536189e-26,-0.0004456316604155584,1.4160412701245895e+24,1.9164471311034677e+23,0.0,1.1737283243008733e+24,1416041270124.589,191644713110.34674,0.0,1173728324300.8728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677751598943.293,1416041270124.5828,191644713110.34607,0.0,520971713430.30316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24994988072.725315
0.02,-1,-1,1,-44556.70724930338,0.0,-0.00044556707249303367,0.0,1.4160411118305722e+24,1.9164469941270004e+23,0.0,1.1733253542372663e+24,1416041111830.5718,191644699412.69998,0.0,1173325354237.2659,0.0,0.0,0.0,723847168533.6471,0.0,0.0,0.0,0.0,1416041111830.5664,191644699412.6993,0.0,520971713168.3113,0.0,0.0,0.0,-71493527464.69362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.8726562939373,3766525.4515394843,1.4788454353412491e-67,724588766400.4692,0.0,0.0,0.0,0.0,6345242.606484056,147.0082286791394,8.083014364442989e-64,677659290294.2736,0.0,0.0,0.0,0.0,1416085399913.986,191654789338.0434,62589821.10579339,520971731135.49884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.693786631830783e+16,0.0,0.0,0.0,26937.866318307817,0.0,0.0,0.0,-723847168533.6471,0.0,0.0,0.0,677584059675.9731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71493527464.69362,0.0,0.0,0.0,-25230391669.153133,-3.7865323450608574e-18,-44556.70724930198,-3.7865323450608567e-26,-0.0004455670724930198,1.4160411118305722e+24,1.9164469941270004e+23,0.0,1.1733253811751324e+24,1416041111830.5718,191644699412.69998,0.0,1173325381175.1318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677584059675.9731,1416041111830.5664,191644699412.6993,0.0,520971713168.3113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25230391669.153133
0.04,-1,-1,1,-44550.122284628436,0.0,-0.0004455012228462843,0.0,1.4160409517973342e+24,1.9164468559789787e+23,0.0,1.1729145254117536e+24,1416040951797.3337,191644685597.89783,0.0,1172914525411.7532,0.0,0.0,0.0,724003553854.2424,0.0,0.0,0.0,0.0,1416040951797.3276,191644685597.8972,0.0,520971712898.9998,0.0,0.0,0.0,-72060741341.4899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.4167649988758,3765945.668575951,1.558517769123542e-67,724751065807.2816,0.0,0.0,0.0,0.0,6345180.062813681,148.8942759257338,8.082934692105736e-64,677489766665.7233,0.0,0.0,0.0,0.0,1416085399913.9856,191654789338.04306,62589821.1057934,520971731135.4981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9469989502828584e+16,0.0,0.0,0.0,29469.98950282857,0.0,0.0,0.0,-724003553854.2424,0.0,0.0,0.0,677413758314.5664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72060741341.4899,0.0,0.0,0.0,-25470916331.82421,-2.524354896707238e-18,-44550.1222846269,-2.5243548967072378e-26,-0.00044550122284626895,1.4160409517973342e+24,1.9164468559789787e+23,0.0,1.1729145548817434e+24,1416040951797.3337,191644685597.89783,0.0,1172914554881.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677413758314.5664,1416040951797.3276,191644685597.8972,0.0,520971712898.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25470916331.82421
0.06,-1,-1,1,-44543.4060416563,0.0,-0.00044543406041656295,0.0,1.4160407899879162e+24,1.9164467166160456e+23,0.0,1.1724954832707327e+24,1416040789987.9158,191644671661.60452,0.0,1172495483270.7322,0.0,0.0,0.0,724162403728.8969,0.0,0.0,0.0,0.0,1416040789987.911,191644671661.6038,0.0,520971712621.92975,0.0,0.0,0.0,-72638633080.09529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.5616864845924,3765356.6763003157,1.6504204086274167e-67,724915941090.1022,0.0,0.0,0.0,0.0,6345107.918397821,150.83314585187807,8.082842789462274e-64,677317499217.0367,0.0,0.0,0.0,0.0,1416085399913.9856,191654789338.04297,62589821.105793394,520971731135.49817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.844414836272973e+16,0.0,0.0,0.0,68444.1483627297,0.0,0.0,0.0,-724162403728.8969,0.0,0.0,0.0,677240695612.6791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72638633080.09529,0.0,0.0,0.0,-25716856519.72875,-1.262177448353619e-18,-44543.40604165486,-1.2621774483536189e-26,-0.00044543406041654853,1.4160407899879162e+24,1.9164467166160456e+23,0.0,1.1724955517148814e+24,1416040789987.9158,191644671661.60452,0.0,1172495551714.8809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677240695612.6791,1416040789987.911,191644671661.6038,0.0,520971712621.92975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25716856519.72875
0.08,-1,-1,1,-44536.55241151224,0.0,-0.00044536552411512237,0.0,1.4160406263558942e+24,1.9164465759991495e+23,0.0,1.1720678895145936e+24,1416040626355.8938,191644657599.91492,0.0,1172067889514.593,0.0,0.0,0.0,724323755526.435,0.0,0.0,0.0,0.0,1416040626355.8892,191644657599.9143,0.0,520971712336.5775,0.0,0.0,0.0,-73227578348.41985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.4212908149802,3764758.325888485,1.7572463091832687e-67,725083433532.3474,0.0,0.0,0.0,0.0,6345024.059381189,152.82731455380556,8.082735963557086e-64,677142442249.538,0.0,0.0,0.0,0.0,1416085399913.986,191654789338.04285,62589821.10579337,520971731135.49835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.104730868301916e+16,0.0,0.0,0.0,71047.30868301913,0.0,0.0,0.0,-724323755526.435,0.0,0.0,0.0,677064824691.8512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73227578348.41985,0.0,0.0,0.0,-25968576466.527344,-1.262177448353619e-18,-44536.55241151072,-1.2621774483536189e-26,-0.0004453655241151071,1.4160406263558942e+24,1.9164465759991495e+23,0.0,1.1720679605619014e+24,1416040626355.8938,191644657599.91492,0.0,1172067960561.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677064824691.8512,1416040626355.8892,191644657599.9143,0.0,520971712336.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25968576466.527344
0.1,-1,-1,1,-44529.554738214596,0.0,-0.0004452955473821459,0.0,1.4160404608660842e+24,1.9164464340765126e+23,0.0,1.171631317708312e+24,1416040460866.0837,191644643407.6512,0.0,1171631317708.3115,0.0,0.0,0.0,724487569911.6191,0.0,0.0,0.0,0.0,1416040460866.0789,191644643407.65048,0.0,520971712042.3315,0.0,0.0,0.0,-73827964245.63918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.6076275980113,3764150.74083868,1.882323073990473e-67,725253507831.8405,0.0,0.0,0.0,0.0,6344925.873732507,154.87960146478633,8.082610886786867e-64,676964630050.1942,0.0,0.0,0.0,0.0,1416085399913.9863,191654789338.04337,62589821.105793394,520971731135.49927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.589963086987662e+16,0.0,0.0,0.0,55899.63086987659,0.0,0.0,0.0,-724487569911.6191,0.0,0.0,0.0,676886178411.6798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73827964245.63918,0.0,0.0,0.0,-26226516846.069283,-1.262177448353619e-18,-44529.5547382131,-1.2621774483536189e-26,-0.0004452955473821309,1.4160404608660842e+24,1.9164464340765126e+23,0.0,1.1716313736079432e+24,1416040460866.0837,191644643407.6512,0.0,1171631373607.9426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676886178411.6798,1416040460866.0789,191644643407.65048,0.0,520971712042.3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26226516846.069283
0.12,-1,-1,1,-44522.40536578108,0.0,-0.00044522405365781076,0.0,1.416040293490656e+24,1.9164462907868117e+23,0.0,1.1711852697901746e+24,1416040293490.6555,191644629078.68112,0.0,1171185269790.174,0.0,0.0,0.0,724653753970.0356,0.0,0.0,0.0,0.0,1416040293490.6514,191644629078.68042,0.0,520971711738.4552,0.0,0.0,0.0,-74440195918.31738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.3483734990398,3763534.2344226944,2.0297625715259858e-67,725426075294.6414,0.0,0.0,0.0,0.0,6344810.133797685,156.9931366813841,8.082463447282954e-64,676784152759.273,0.0,0.0,0.0,0.0,1416085399913.9856,191654789338.04288,62589821.105793364,520971731135.49805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.745007065200809e+16,0.0,0.0,0.0,57450.07065200806,0.0,0.0,0.0,-724653753970.0356,0.0,0.0,0.0,676704845124.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74440195918.31738,0.0,0.0,0.0,-26491229622.882553,-1.262177448353619e-18,-44522.40536577978,-1.2621774483536189e-26,-0.00044522405365779775,1.416040293490656e+24,1.9164462907868117e+23,0.0,1.1711853272402449e+24,1416040293490.6555,191644629078.68112,0.0,1171185327240.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676704845124.671,1416040293490.6514,191644629078.68042,0.0,520971711738.4552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26491229622.882553
0.14,-1,-1,1,-44515.095117469624,0.0,-0.00044515095117469614,0.0,1.4160401242068943e+24,1.916446146061047e+23,0.0,1.1707291828515151e+24,1416040124206.894,191644614606.10464,0.0,1170729182851.5146,0.0,0.0,0.0,724822174345.7612,0.0,0.0,0.0,0.0,1416040124206.8894,191644614606.10397,0.0,520971711424.0493,0.0,0.0,0.0,-75064702918.29669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.6294629749414,3762909.2626877753,2.20464263457748e-67,725601007038.89,0.0,0.0,0.0,0.0,6344672.853670211,159.17134803458478,8.082288567212336e-64,676601142648.7535,0.0,0.0,0.0,0.0,1416085399913.9866,191654789338.043,62589821.10579337,520971731135.4986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.898798106221485e+16,0.0,0.0,0.0,58987.98106221482,0.0,0.0,0.0,-724822174345.7612,0.0,0.0,0.0,676520954804.6841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75064702918.29669,0.0,0.0,0.0,-26763424389.23885,-2.524354896707238e-18,-44515.09511746818,-2.5243548967072378e-26,-0.0004451509511746817,1.4160401242068943e+24,1.916446146061047e+23,0.0,1.170729241839495e+24,1416040124206.894,191644614606.10464,0.0,1170729241839.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676520954804.6841,1416040124206.8894,191644614606.10397,0.0,520971711424.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26763424389.23885
0.16,-1,-1,1,-44507.61304226311,0.0,-0.000445076130422631,0.0,1.4160399530078854e+24,1.9164459998140282e+23,0.0,1.1702623734239049e+24,1416039953007.885,191644599981.40277,0.0,1170262373423.9043,0.0,0.0,0.0,724992595778.4194,0.0,0.0,0.0,0.0,1416039953007.881,191644599981.402,0.0,520971711097.9885,0.0,0.0,0.0,-75701933452.50504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.3552627805398,3762276.643337647,2.4132111094276714e-67,725778072471.5325,0.0,0.0,0.0,0.0,6344509.129017644,161.4181329557972,8.082079998728463e-64,676415838593.8665,0.0,0.0,0.0,0.0,1416085399913.9856,191654789338.04254,62589821.10579337,520971731135.49756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.047072324278581e+16,0.0,0.0,0.0,60470.72324278578,0.0,0.0,0.0,-724992595778.4194,0.0,0.0,0.0,676334743349.5692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75701933452.50504,0.0,0.0,0.0,-27044020552.931217,-1.262177448353619e-18,-44507.61304226202,-1.2621774483536189e-26,-0.0004450761304226201,1.4160399530078854e+24,1.9164459998140282e+23,0.0,1.1702624338946282e+24,1416039953007.885,191644599981.40277,0.0,1170262433894.6277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676334743349.5692,1416039953007.881,191644599981.402,0.0,520971711097.9885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27044020552.931217
