sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-46897.28043166321,0.0,-0.000468972804316632,0.0,9.027974563248933e+23,1.1040586039857968e+23,1.4160284915834171e+24,0.0,1400663930397.2986,110405860398.57965,1416028491583.4167,0.0,905817297064.4127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494038949.4498,110405860398.5795,1416028491583.4138,0.0,-154647405616.5651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516900675.4148,16289082.735788578,831446.2455137055,1.0591687075078533e-64,0.0,0.0,0.0,0.0,1982363260829.194,135038.01926224775,31016928.840825275,3.9511888902800115e-63,0.0,0.0,0.0,0.0,649494863324.1143,110412675202.24664,1416085399914.001,62589821.10579342,0.0,0.0,0.0,0.0,42129824704.189186,0.0,0.0,0.0,0.06536319463873497,0.0,0.0,0.0,-905817297064.4127,0.0,0.0,0.0,1964952782049.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154647405616.5651,0.0,0.0,0.0,-1213782890601.9946,0.0,0.0,0.0,-1.262177448353619e-18,-46897.280431661515,-1.2621774483536189e-26,-0.00046897280431661506,9.027974563249349e+23,1.1040586039857968e+23,1.4160284915834171e+24,0.0,1400663930397.363,110405860398.57965,1416028491583.4167,0.0,0.0,0.0,0.0,0.0,1964952782049.911,0.0,0.0,0.0,649494038949.4498,110405860398.5795,1416028491583.4138,0.0,0.0,0.0,0.0,0.0,-1213782890601.9946,0.0,0.0,0.0
0.02,-1,-1,1,-46885.897046996695,0.0,-0.0004688589704699669,0.0,9.02339509017011e+23,1.104058602738962e+23,1.4160284889448268e+24,0.0,1399953438501.6033,110405860273.89616,1416028488944.8264,0.0,905809382366.6796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494037282.2836,110405860273.89595,1416028488944.8252,0.0,-155349981147.35825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516785180.808,16289096.105761386,831444.8007157011,1.0591668673780547e-64,0.0,0.0,0.0,0.0,1982363295736.7056,135034.6466346142,31016937.66988786,3.9511900148038276e-63,0.0,0.0,0.0,0.0,649494863324.1155,110412675202.24689,1416085399914.0012,62589821.10579344,0.0,0.0,0.0,0.0,-988182194997333.8,0.0,0.0,0.0,-1533.1358628634523,0.0,0.0,0.0,-905809382366.6796,0.0,0.0,0.0,1964942751581.8848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155349981147.35825,0.0,0.0,0.0,-1214483351895.7012,0.0,0.0,0.0,-1.262177448353619e-18,-46885.89704699516,-1.2621774483536189e-26,-0.0004688589704699516,9.0233950802883e+23,1.104058602738962e+23,1.4160284889448268e+24,0.0,1399953436968.4692,110405860273.89616,1416028488944.8264,0.0,0.0,0.0,0.0,0.0,1964942751581.8848,0.0,0.0,0.0,649494037282.2836,110405860273.89595,1416028488944.8252,0.0,0.0,0.0,0.0,0.0,-1214483351895.7012,0.0,0.0,0.0
0.04,-1,-1,1,-46874.39768244681,0.0,-0.0004687439768244681,0.0,9.018768963107925e+23,1.1040586014840436e+23,1.4160284862797523e+24,0.0,1399235708376.4194,110405860148.40433,1416028486279.752,0.0,905801389197.6088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494035594.6106,110405860148.40413,1416028486279.75,0.0,-156059716415.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516670694.398,16289109.432881337,831443.3415686114,1.0591650089732985e-64,0.0,0.0,0.0,0.0,1982363330339.288,135031.28142214697,31016946.586636957,3.951191150495671e-63,0.0,0.0,0.0,0.0,649494863324.114,110412675202.24664,1416085399914.001,62589821.10579345,0.0,0.0,0.0,0.0,-3587653739135809.0,0.0,0.0,0.0,-5566.140170153652,0.0,0.0,0.0,-905801389197.6088,0.0,0.0,0.0,1964932618240.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156059716415.7994,0.0,0.0,0.0,-1215190951025.1821,0.0,0.0,0.0,-1.262177448353619e-18,-46874.39768244533,-1.2621774483536189e-26,-0.0004687439768244532,9.018768927231392e+23,1.1040586014840436e+23,1.4160284862797523e+24,0.0,1399235702810.2798,110405860148.40433,1416028486279.752,0.0,0.0,0.0,0.0,0.0,1964932618240.851,0.0,0.0,0.0,649494035594.6106,110405860148.40413,1416028486279.75,0.0,0.0,0.0,0.0,0.0,-1215190951025.1821,0.0,0.0,0.0
0.06,-1,-1,1,-46862.77872561199,0.0,-0.00046862778725611983,0.0,9.014094714509647e+23,1.1040586002207964e+23,1.4160284835874148e+24,0.0,1398510512335.2197,110405860022.07962,1416028483587.4143,0.0,905793314900.3331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494033885.8068,110405860022.07939,1416028483587.4124,0.0,-156776836450.92105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516557057.3289,16289122.725556307,831441.8676407331,1.059163131743756e-64,0.0,0.0,0.0,0.0,1982363364684.962,135027.92198403695,31016955.59371028,3.951192297691558e-63,0.0,0.0,0.0,0.0,649494863324.1154,110412675202.24692,1416085399914.0017,62589821.10579346,0.0,0.0,0.0,0.0,-2208639854890281.8,0.0,0.0,0.0,-3426.640336998744,0.0,0.0,0.0,-905793314900.3331,0.0,0.0,0.0,1964922378971.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156776836450.92105,0.0,0.0,0.0,-1215905903948.8127,0.0,0.0,0.0,-1.262177448353619e-18,-46862.77872561035,-1.2621774483536189e-26,-0.0004686277872561034,9.014094692423247e+23,1.1040586002207964e+23,1.4160284835874148e+24,0.0,1398510508908.5793,110405860022.07962,1416028483587.4143,0.0,0.0,0.0,0.0,0.0,1964922378971.585,0.0,0.0,0.0,649494033885.8068,110405860022.07939,1416028483587.4124,0.0,0.0,0.0,0.0,0.0,-1215905903948.8127,0.0,0.0,0.0
0.08,-1,-1,1,-46851.03612624073,0.0,-0.00046851036126240725,0.0,9.009370729859883e+23,1.1040585989489469e+23,1.4160284808668464e+24,0.0,1397777599890.6487,110405859894.89465,1416028480866.846,0.0,905785156742.1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494032155.1206,110405859894.89447,1416028480866.8435,0.0,-157501589006.60806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516444287.1665,16289135.988941139,831440.3784152707,1.0591612350312163e-64,0.0,0.0,0.0,0.0,1982363398768.4148,135024.56666604747,31016964.694266297,3.951193456793716e-63,0.0,0.0,0.0,0.0,649494863324.1136,110412675202.2464,1416085399914.001,62589821.105793424,0.0,0.0,0.0,0.0,-5201758717485403.0,0.0,0.0,0.0,-8070.3769812013115,0.0,0.0,0.0,-905785156742.1359,0.0,0.0,0.0,1964912030036.9033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157501589006.60806,0.0,0.0,0.0,-1216628470371.7534,0.0,0.0,0.0,-1.262177448353619e-18,-46851.03612623923,-1.2621774483536189e-26,-0.0004685103612623923,9.009370677842299e+23,1.1040585989489469e+23,1.4160284808668464e+24,0.0,1397777591820.2722,110405859894.89465,1416028480866.846,0.0,0.0,0.0,0.0,0.0,1964912030036.9033,0.0,0.0,0.0,649494032155.1206,110405859894.89447,1416028480866.8435,0.0,0.0,0.0,0.0,0.0,-1216628470371.7534,0.0,0.0,0.0
0.1,-1,-1,1,-46839.16627890224,0.0,-0.00046839166278902226,0.0,9.004595560394892e+23,1.1040585976683101e+23,1.4160284781172687e+24,0.0,1397036746271.2363,110405859766.83098,1416028478117.2683,0.0,905776912167.2991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494030401.9006,110405859766.83078,1416028478117.2664,0.0,-158234196297.9653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516332294.9773,16289149.230443394,831438.8734751107,1.0591593183044806e-64,0.0,0.0,0.0,0.0,1982363432616.5222,135021.2137341519,31016973.890853673,3.951194628126771e-63,0.0,0.0,0.0,0.0,649494863324.115,110412675202.24666,1416085399914.0017,62589821.105793476,0.0,0.0,0.0,0.0,-5672854075707750.0,0.0,0.0,0.0,-8801.267693638338,0.0,0.0,0.0,-905776912167.2991,0.0,0.0,0.0,1964901568430.7012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158234196297.9653,0.0,0.0,0.0,-1217358861362.633,0.0,0.0,0.0,-6.310887241768095e-19,-46839.1662789007,-6.3108872417680944e-27,-0.00046839166278900697,9.00459550366634e+23,1.1040585976683101e+23,1.4160284781172687e+24,0.0,1397036737469.9668,110405859766.83098,1416028478117.2683,0.0,0.0,0.0,0.0,0.0,1964901568430.7012,0.0,0.0,0.0,649494030401.9006,110405859766.83078,1416028478117.2664,0.0,0.0,0.0,0.0,0.0,-1217358861362.633,0.0,0.0,0.0
0.12,-1,-1,1,-46827.16446537008,0.0,-0.00046827164465370073,0.0,8.99976729364639e+23,1.1040585963785266e+23,1.4160284753376115e+24,0.0,1396287654763.104,110405859637.85263,1416028475337.611,0.0,905768577789.7175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494028625.3221,110405859637.85251,1416028475337.6096,0.0,-158974951651.93713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516220950.8346,16289162.457490342,831437.3522273671,1.059157380808401e-64,0.0,0.0,0.0,0.0,1982363466268.57,135017.86168172414,31016983.187095538,3.951195812152209e-63,0.0,0.0,0.0,0.0,649494863324.1149,110412675202.24669,1416085399914.001,62589821.10579344,0.0,0.0,0.0,0.0,-5513076533482239.0,0.0,0.0,0.0,-8553.377495549137,0.0,0.0,0.0,-905768577789.7175,0.0,0.0,0.0,1964890989946.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158974951651.93713,0.0,0.0,0.0,-1218097372362.48,0.0,0.0,0.0,-1.262177448353619e-18,-46827.16446536842,-1.2621774483536189e-26,-0.0004682716446536841,8.999767238515628e+23,1.1040585963785266e+23,1.4160284753376115e+24,0.0,1396287646209.727,110405859637.85263,1416028475337.611,0.0,0.0,0.0,0.0,0.0,1964890989946.884,0.0,0.0,0.0,649494028625.3221,110405859637.85251,1416028475337.6096,0.0,0.0,0.0,0.0,0.0,-1218097372362.48,0.0,0.0,0.0
0.14,-1,-1,1,-46815.02626562051,0.0,-0.000468150262656205,0.0,8.994884159438468e+23,1.1040585950793327e+23,1.4160284725268727e+24,0.0,1395530050728.621,110405859507.93324,1416028472526.8723,0.0,905760150560.9159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494026824.5782,110405859507.93306,1416028472526.8713,0.0,-159724126656.87323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516110221.1328,16289175.676240595,831435.8141328704,1.0591554218563042e-64,0.0,0.0,0.0,0.0,1982363499734.718,135014.50884042613,31016992.586286902,3.951197009289655e-63,0.0,0.0,0.0,0.0,649494863324.1141,110412675202.24654,1416085399914.001,62589821.10579347,0.0,0.0,0.0,0.0,-5354506604158832.0,0.0,0.0,0.0,-8307.36087366688,0.0,0.0,0.0,-905760150560.9159,0.0,0.0,0.0,1964880290691.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159724126656.87323,0.0,0.0,0.0,-1218844275094.363,0.0,0.0,0.0,-1.262177448353619e-18,-46815.026265618784,-1.2621774483536189e-26,-0.0004681502626561878,8.994884105893408e+23,1.1040585950793327e+23,1.4160284725268727e+24,0.0,1395530042421.2612,110405859507.93324,1416028472526.8723,0.0,0.0,0.0,0.0,0.0,1964880290691.0464,0.0,0.0,0.0,649494026824.5782,110405859507.93306,1416028472526.8713,0.0,0.0,0.0,0.0,0.0,-1218844275094.363,0.0,0.0,0.0
0.16,-1,-1,1,-46802.74685783359,0.0,-0.0004680274685783358,0.0,8.989944217978225e+23,1.1040585937704293e+23,1.416028469683961e+24,0.0,1394763633214.5752,110405859377.04291,1416028469683.9607,0.0,905751627107.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494024998.8014,110405859377.04271,1416028469683.9575,0.0,-160482018891.9234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907516000036.063,16289188.89336545,831434.2586009423,1.059153440695894e-64,0.0,0.0,0.0,0.0,1982363533036.0654,135011.15359205307,31017002.092037175,3.951198219998845e-63,0.0,0.0,0.0,0.0,649494863324.1134,110412675202.24655,1416085399914.0012,62589821.10579345,0.0,0.0,0.0,0.0,-5197175208255127.0,0.0,0.0,0.0,-8063.26580027306,0.0,0.0,0.0,-905751627107.6951,0.0,0.0,0.0,1964869466420.6775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160482018891.9234,0.0,0.0,0.0,-1219599866268.1694,0.0,0.0,0.0,-1.262177448353619e-18,-46802.74685783203,-1.2621774483536189e-26,-0.0004680274685783203,8.989944166006474e+23,1.1040585937704293e+23,1.416028469683961e+24,0.0,1394763625151.3096,110405859377.04291,1416028469683.9607,0.0,0.0,0.0,0.0,0.0,1964869466420.6775,0.0,0.0,0.0,649494024998.8014,110405859377.04271,1416028469683.9575,0.0,0.0,0.0,0.0,0.0,-1219599866268.1694,0.0,0.0,0.0
