sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:p,tot:g_CB:I,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:p,tot:g_IB:I,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:p,tot:g_VB:I,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47490.57812981209,0.0,-0.0004749057812981209,0.0,9.333408742021118e+23,1.1180757773655517e+23,0.0,1.416035347706847e+24,1436286090001.8198,111807577736.55513,0.0,1416035347706.8464,993987200794.5605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278983490.874,111807577736.55484,0.0,1416035347706.844,-204980094283.6163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996124085885.6595,91408.47060924635,9.106443096330973e-66,71484.06300019538,0.0,0.0,0.0,0.0,915386398344.1879,2.1043977307528534,7.993428775036979e-64,6274919.903509149,0.0,0.0,0.0,0.0,647279152583.8945,111813271513.45381,62589821.10579343,1416085399914.0002,0.0,0.0,0.0,0.0,222415147088.15363,0.0,0.0,0.0,0.34226700104773045,0.0,0.0,0.0,-993987200794.5605,0.0,0.0,0.0,914985354811.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204980094283.6163,0.0,0.0,0.0,-125978248299.82773,0.0,0.0,0.0,-1.8932661725304287e-18,-47490.57812981048,-1.8932661725304283e-26,-0.0004749057812981047,9.333408742023336e+23,1.1180757773655517e+23,0.0,1.416035347706847e+24,1436286090002.1611,111807577736.55513,0.0,1416035347706.8464,0.0,0.0,0.0,0.0,914985354811.1133,0.0,0.0,0.0,647278983490.874,111807577736.55484,0.0,1416035347706.844,0.0,0.0,0.0,0.0,-125978248299.82773,0.0,0.0,0.0
0.02,-1,-1,1,-47463.03108949516,0.0,-0.0004746303108949515,0.0,9.322236149279702e+23,1.118075650069337e+23,0.0,1.4160353192304125e+24,1434566778227.6013,111807565006.93367,0.0,1416035319230.412,993556826385.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278979586.0685,111807565006.93332,0.0,1416035319230.4092,-206269027743.75348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995707148110.2942,91456.89550967536,9.267852620846555e-66,72751.10723806614,0.0,0.0,0.0,0.0,915845893031.559,2.1420112556248716,7.991814679721944e-64,6273652.867951613,0.0,0.0,0.0,0.0,647279152583.8953,111813271513.45393,62589821.10579345,1416085399914.0012,0.0,0.0,0.0,0.0,2136325794645382.2,0.0,0.0,0.0,3287.5181055199355,0.0,0.0,0.0,-993556826385.286,0.0,0.0,0.0,915437826346.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206269027743.75348,0.0,0.0,0.0,-128150024416.98158,0.0,0.0,0.0,-1.8932661725304287e-18,-47463.031089493605,-1.8932661725304283e-26,-0.00047463031089493596,9.322236170642962e+23,1.118075650069337e+23,0.0,1.4160353192304125e+24,1434566781515.1196,111807565006.93367,0.0,1416035319230.412,0.0,0.0,0.0,0.0,915437826346.0319,0.0,0.0,0.0,647278979586.0685,111807565006.93332,0.0,1416035319230.4092,0.0,0.0,0.0,0.0,-128150024416.98158,0.0,0.0,0.0
0.04,-1,-1,1,-47435.15203330834,0.0,-0.0004743515203330833,0.0,9.310928871860187e+23,1.118075521383373e+23,0.0,1.4160352911131983e+24,1432826740292.659,111807552138.33727,0.0,1416035291113.198,993120573349.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278975603.3684,111807552138.33694,0.0,1416035291113.195,-207572808659.8651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995284486505.7495,91505.98443100406,9.428362174107958e-66,74011.08698606418,0.0,0.0,0.0,0.0,916311199021.1364,2.181027469177112,7.99020958411985e-64,6272392.896832009,0.0,0.0,0.0,0.0,647279152583.8948,111813271513.45395,62589821.10579345,1416085399914.0007,0.0,0.0,0.0,0.0,8092307176003424.0,0.0,0.0,0.0,12452.97249287588,0.0,0.0,0.0,-993120573349.1562,0.0,0.0,0.0,915896023681.0813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207572808659.8651,0.0,0.0,0.0,-130348246538.81844,0.0,0.0,0.0,-1.8932661725304287e-18,-47435.152033306586,-1.8932661725304283e-26,-0.00047435152033306583,9.310928952783263e+23,1.118075521383373e+23,0.0,1.4160352911131983e+24,1432826752745.632,111807552138.33727,0.0,1416035291113.198,0.0,0.0,0.0,0.0,915896023681.0813,0.0,0.0,0.0,647278975603.3684,111807552138.33694,0.0,1416035291113.195,0.0,0.0,0.0,0.0,-130348246538.81844,0.0,0.0,0.0
0.06,-1,-1,1,-47406.93348437496,0.0,-0.00047406933484374955,0.0,9.299483950606415e+23,1.11807539127755e+23,0.0,1.4160352633322415e+24,1431065520822.654,111807539127.75497,0.0,1416035263332.2412,992678393847.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278971540.8405,111807539127.75462,0.0,1416035263332.2395,-208891844565.4214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994856057482.244,91555.74238537732,9.58801134361519e-66,75264.3129940318,0.0,0.0,0.0,0.0,916782344722.6198,2.2215244168304484,7.988613092355659e-64,6271139.679402678,0.0,0.0,0.0,0.0,647279152583.8945,111813271513.45383,62589821.10579343,1416085399914.001,0.0,0.0,0.0,0.0,4248013339501299.0,0.0,0.0,0.0,6537.121257958177,0.0,0.0,0.0,-992678393847.2333,0.0,0.0,0.0,916359973599.6365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208891844565.4214,0.0,0.0,0.0,-132573417780.70345,0.0,0.0,0.0,-1.262177448353619e-18,-47406.93348437337,-1.2621774483536189e-26,-0.0004740693348437336,9.299483993086542e+23,1.11807539127755e+23,0.0,1.4160352633322415e+24,1431065527359.7744,111807539127.75497,0.0,1416035263332.2412,0.0,0.0,0.0,0.0,916359973599.6365,0.0,0.0,0.0,647278971540.8405,111807539127.75462,0.0,1416035263332.2395,0.0,0.0,0.0,0.0,-132573417780.70345,0.0,0.0,0.0
0.08,-1,-1,1,-47378.3681073826,0.0,-0.00047378368107382594,0.0,9.287898341830705e+23,1.1180752597198993e+23,0.0,1.4160352358663694e+24,1429282651434.9849,111807525971.9899,0.0,1416035235866.369,992230229101.2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278967396.5424,111807525971.98953,0.0,1416035235866.3657,-210226545062.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994421806532.6188,91606.17564759692,9.746835411385206e-66,76511.0622148452,0.0,0.0,0.0,0.0,917259370111.3794,2.2635862738299157,7.987024851609205e-64,6269892.938712706,0.0,0.0,0.0,0.0,647279152583.8939,111813271513.45366,62589821.10579344,1416085399914.0005,0.0,0.0,0.0,0.0,3396851576323900.0,0.0,0.0,0.0,5227.2977684016805,0.0,0.0,0.0,-992230229101.2203,0.0,0.0,0.0,916829714502.9337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210226545062.7778,0.0,0.0,0.0,-134826025237.19337,0.0,0.0,0.0,-1.8932661725304287e-18,-47378.368107380826,-1.8932661725304283e-26,-0.00047378368107380816,9.287898375799219e+23,1.1180752597198993e+23,0.0,1.4160352358663694e+24,1429282656662.2825,111807525971.9899,0.0,1416035235866.369,0.0,0.0,0.0,0.0,916829714502.9337,0.0,0.0,0.0,647278967396.5424,111807525971.98953,0.0,1416035235866.3657,0.0,0.0,0.0,0.0,-134826025237.19337,0.0,0.0,0.0
0.1,-1,-1,1,-47349.44788259646,0.0,-0.0004734944788259646,0.0,9.276168817594457e+23,1.11807512667677e+23,0.0,1.4160352086949537e+24,1427477635393.3093,111807512667.67697,0.0,1416035208694.9534,991776012823.7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278963168.387,111807512667.67665,0.0,1416035208694.9504,-211577340598.83472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993981671858.1963,91657.29133381194,9.904872000300489e-66,77751.62997734039,0.0,0.0,0.0,0.0,917742322681.2848,2.3073037749429517,7.985444485651637e-64,6268652.379435326,0.0,0.0,0.0,0.0,647279152583.8937,111813271513.45348,62589821.10579342,1416085399914.0002,0.0,0.0,0.0,0.0,822627080794106.4,0.0,0.0,0.0,1265.912450703967,0.0,0.0,0.0,-991776012823.7555,0.0,0.0,0.0,917305292108.4604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211577340598.83472,0.0,0.0,0.0,-137106618617.62686,0.0,0.0,0.0,-1.8932661725304287e-18,-47349.44788259478,-1.8932661725304283e-26,-0.0004734944788259477,9.276168825820722e+23,1.11807512667677e+23,0.0,1.4160352086949537e+24,1427477636659.221,111807512667.67697,0.0,1416035208694.9534,0.0,0.0,0.0,0.0,917305292108.4604,0.0,0.0,0.0,647278963168.387,111807512667.67665,0.0,1416035208694.9504,0.0,0.0,0.0,0.0,-137106618617.62686,0.0,0.0,0.0
0.12,-1,-1,1,-47320.164564745995,0.0,-0.0004732016456474599,0.0,9.264292011918289e+23,1.118074992112606e+23,0.0,1.416035181798497e+24,1425649954718.6665,111807499211.26057,0.0,1416035181798.4968,991315669181.6802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278958854.2147,111807499211.26021,0.0,1416035181798.4927,-212944673317.22894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993535582236.5099,91709.09764994877,1.0062157219117956e-65,78986.29972513331,0.0,0.0,0.0,0.0,918231259729.6366,2.352774950884947,7.983871633395386e-64,6267417.718128901,0.0,0.0,0.0,0.0,647279152583.8932,111813271513.45366,62589821.10579342,1416085399913.999,0.0,0.0,0.0,0.0,727145291508201.0,0.0,0.0,0.0,1118.9788173547713,0.0,0.0,0.0,-991315669181.6802,0.0,0.0,0.0,917786761881.3585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212944673317.22894,0.0,0.0,0.0,-139415764897.92813,0.0,0.0,0.0,-1.8932661725304287e-18,-47320.1645647444,-1.8932661725304283e-26,-0.00047320164564744395,9.264292019189739e+23,1.118074992112606e+23,0.0,1.416035181798497e+24,1425649955837.6448,111807499211.26057,0.0,1416035181798.4968,0.0,0.0,0.0,0.0,917786761881.3585,0.0,0.0,0.0,647278958854.2147,111807499211.26021,0.0,1416035181798.4927,0.0,0.0,0.0,0.0,-139415764897.92813,0.0,0.0,0.0
0.14,-1,-1,1,-47290.509384699355,0.0,-0.00047290509384699346,0.0,9.252264381328371e+23,1.1180748559899252e+23,0.0,1.4160351551581553e+24,1423799064118.0864,111807485598.9925,0.0,1416035155158.155,990849113822.8892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278954451.7458,111807485598.99216,0.0,1416035155158.1516,-214329004156.5486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993083458121.934,91761.60376499435,1.0218727981452398e-65,80215.36122025504,0.0,0.0,0.0,0.0,918726247086.904,2.4001058296666904,7.982305925704266e-64,6266188.665033464,0.0,0.0,0.0,0.0,647279152583.8932,111813271513.45369,62589821.105793424,1416085399913.9995,0.0,0.0,0.0,0.0,644383734079601.8,0.0,0.0,0.0,991.6199102210812,0.0,0.0,0.0,-990849113822.8892,0.0,0.0,0.0,918274187671.1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214329004156.5486,0.0,0.0,0.0,-141754077013.20886,0.0,0.0,0.0,-1.262177448353619e-18,-47290.50938469767,-1.2621774483536189e-26,-0.0004729050938469766,9.252264387772211e+23,1.1180748559899252e+23,0.0,1.4160351551581553e+24,1423799065109.7068,111807485598.9925,0.0,1416035155158.155,0.0,0.0,0.0,0.0,918274187671.1692,0.0,0.0,0.0,647278954451.7458,111807485598.99216,0.0,1416035155158.1516,0.0,0.0,0.0,0.0,-141754077013.20886,0.0,0.0,0.0
0.16,-1,-1,1,-47260.47319007274,0.0,-0.00047260473190072737,0.0,9.240082213847516e+23,1.1180747182691856e+23,0.0,1.416035128755882e+24,1421924392368.1982,111807471826.91853,0.0,1416035128755.8818,990376253081.1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647278949958.5974,111807471826.91809,0.0,1416035128755.879,-215730810671.52625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992625210827.5736,91814.81990744814,1.037462075148784e-65,81439.10069706505,0.0,0.0,0.0,0.0,919227359949.572,2.4494113034714644,7.980746997936431e-64,6264964.933916608,0.0,0.0,0.0,0.0,647279152583.8937,111813271513.4536,62589821.10579344,1416085399914.0002,0.0,0.0,0.0,0.0,572512300020590.2,0.0,0.0,0.0,881.0194384527276,0.0,0.0,0.0,-990376253081.1268,0.0,0.0,0.0,918767642591.5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215730810671.52625,0.0,0.0,0.0,-144122199300.94888,0.0,0.0,0.0,-1.8932661725304287e-18,-47260.473190070996,-1.8932661725304283e-26,-0.0004726047319007099,9.240082219572637e+23,1.1180747182691856e+23,0.0,1.416035128755882e+24,1421924393249.2175,111807471826.91853,0.0,1416035128755.8818,0.0,0.0,0.0,0.0,918767642591.5685,0.0,0.0,0.0,647278949958.5974,111807471826.91809,0.0,1416035128755.879,0.0,0.0,0.0,0.0,-144122199300.94888,0.0,0.0,0.0
