sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,tot:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:gother_forward_ci:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gother_forward_iv:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,tot:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,tot:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-31043.974477439206,0.0,-0.00031043974477439203,0.0,1.7354569738011005e+24,0.0,1.4160576421806208e+24,5.206872911914189e+23,867728486.9004545,0.0,1416057642180.6204,520687291191.41876,455983896.6436233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35162556,0.0,1416057642180.9092,520687291191.43854,-234978.0947951876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429035964.22073317,3.494981203035949e-64,2757515.601712242,24193280.07317177,0.0,0.0,0.0,0.0,431618892.4728323,4.1163520698118207e-64,3241019.679416216,21021455.90571558,0.0,0.0,0.0,0.0,411979568.3522023,62589821.105793774,1416085399914.0945,520711310380.76575,0.0,0.0,0.0,0.0,-383704900.7416195,0.0,0.0,0.0,-1.9185245037078857e-07,0.0,0.0,0.0,-455983896.6436233,0.0,0.0,0.0,455881056.1142827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234978.0947951876,0.0,0.0,0.0,-132137.56545476746,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.974477438573,-1.0097419586828951e-25,-0.0003104397447743857,1.7354569738010992e+24,0.0,1.4160576421806208e+24,5.206872911914189e+23,867728486.9004539,0.0,1416057642180.6204,520687291191.41876,0.0,0.0,0.0,0.0,455881056.1142827,0.0,0.0,0.0,411979568.35162556,0.0,1416057642180.9092,520687291191.43854,0.0,0.0,0.0,0.0,-132137.56545476746,0.0,0.0,0.0
0.02,-1,-1,1,-31043.970300427147,0.0,-0.0003104397030042714,0.0,1.7354539789211967e+24,0.0,1.416057447638117e+24,5.206872265227491e+23,867726989.4605026,0.0,1416057447638.1167,520687226522.74896,455984146.37937605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3516178,0.0,1416057447638.3916,520687226522.7676,-236725.27049163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429043360.65644026,3.4966913222649164e-64,2758838.00034579,24184832.264247444,0.0,0.0,0.0,0.0,431606843.87273645,4.113566736125751e-64,3238865.8381642043,21035216.607609443,0.0,0.0,0.0,0.0,411979568.3522032,62589821.10579379,1416085399914.095,520711310380.76715,0.0,0.0,0.0,0.0,12002885341.645613,0.0,0.0,0.0,6.0014426708221436e-06,0.0,0.0,0.0,-455984146.37937605,0.0,0.0,0.0,455880611.88845587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236725.27049163086,0.0,0.0,0.0,-133190.77956543234,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.970300426437,-1.0097419586828951e-25,-0.0003104397030042643,1.7354539789212093e+24,0.0,1.416057447638117e+24,5.206872265227491e+23,867726989.4605088,0.0,1416057447638.1167,520687226522.74896,0.0,0.0,0.0,0.0,455880611.88845587,0.0,0.0,0.0,411979568.3516178,0.0,1416057447638.3916,520687226522.7676,0.0,0.0,0.0,0.0,-133190.77956543234,0.0,0.0,0.0
0.04,-1,-1,1,-31043.96608688474,0.0,-0.0003104396608688473,0.0,1.7354509160690093e+24,0.0,1.416057251444494e+24,5.206871612591449e+23,867725458.0344089,0.0,1416057251444.4937,520687161259.1448,455984401.7604432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.351609,0.0,1416057251444.7537,520687161259.1619,-238512.0776437041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429050821.96224546,3.498413831598753e-64,2760169.333329573,24176316.779105417,0.0,0.0,0.0,0.0,431594689.6017673,4.1107612222230736e-64,3236697.445186378,21049087.547877636,0.0,0.0,0.0,0.0,411979568.35220325,62589821.105793804,1416085399914.0957,520711310380.76685,0.0,0.0,0.0,0.0,115878880023.9691,0.0,0.0,0.0,5.793944001197815e-05,0.0,0.0,0.0,-455984401.7604432,0.0,0.0,0.0,455880157.6218749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238512.0776437041,0.0,0.0,0.0,-134267.93901740876,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.966086883975,-1.0097419586828951e-25,-0.0003104396608688397,1.7354509160691256e+24,0.0,1.416057251444494e+24,5.206871612591449e+23,867725458.0344671,0.0,1416057251444.4937,520687161259.1448,0.0,0.0,0.0,0.0,455880157.6218749,0.0,0.0,0.0,411979568.351609,0.0,1416057251444.7537,520687161259.1619,0.0,0.0,0.0,0.0,-134267.93901740876,0.0,0.0,0.0
0.06,-1,-1,1,-31043.96183599605,0.0,-0.0003104396183599605,0.0,1.735447782623495e+24,0.0,1.416057053563357e+24,5.206870953873781e+23,867723891.3116517,0.0,1416057053563.3567,520687095387.378,455984663.0029714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35159934,0.0,1416057053563.602,520687095387.394,-240340.04291979468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429058349.9381918,3.500149059885927e-64,2761509.782846237,24167731.870269813,0.0,0.0,0.0,0.0,431582426.72775555,4.1079349924962695e-64,3234514.203754648,21063071.572990794,0.0,0.0,0.0,0.0,411979568.3522027,62589821.10579381,1416085399914.0955,520711310380.7664,0.0,0.0,0.0,0.0,52765011787.42037,0.0,0.0,0.0,2.6382505893707275e-05,0.0,0.0,0.0,-455984663.0029714,0.0,0.0,0.0,455879692.92992705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240340.04291979468,0.0,0.0,0.0,-135369.96984911046,0.0,0.0,0.0,-5.048709793414476e-18,-31043.961835995375,-5.0487097934144756e-26,-0.0003104396183599537,1.7354477826235474e+24,0.0,1.416057053563357e+24,5.206870953873781e+23,867723891.3116779,0.0,1416057053563.3567,520687095387.378,0.0,0.0,0.0,0.0,455879692.92992705,0.0,0.0,0.0,411979568.35159934,0.0,1416057053563.602,520687095387.394,0.0,0.0,0.0,0.0,-135369.96984911046,0.0,0.0,0.0
0.08,-1,-1,1,-31043.9575469146,0.0,-0.00031043957546914594,0.0,1.7354445758171085e+24,0.0,1.41605685395697e+24,5.206870288937317e+23,867722287.9084585,0.0,1416056853956.9697,520687028893.73157,455984930.33449614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35158956,0.0,1416056853957.1995,520687028893.74603,-242210.77762781706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429065946.33427405,3.5018973364875456e-64,2762859.546121175,24159075.837690026,0.0,0.0,0.0,0.0,431570052.4000567,4.105087510502863e-64,3232315.7926402884,21077171.45217186,0.0,0.0,0.0,0.0,411979568.3522024,62589821.105793804,1416085399914.0945,520711310380.7659,0.0,0.0,0.0,0.0,87372958660.13538,0.0,0.0,0.0,4.3686479330062866e-05,0.0,0.0,0.0,-455984930.33449614,0.0,0.0,0.0,455879217.407652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242210.77762781706,0.0,0.0,0.0,-136497.85074020352,0.0,0.0,0.0,-7.573064690121715e-18,-31043.95754691384,-7.573064690121713e-26,-0.00031043957546913835,1.7354445758171963e+24,0.0,1.41605685395697e+24,5.206870288937317e+23,867722287.9085023,0.0,1416056853956.9697,520687028893.73157,0.0,0.0,0.0,0.0,455879217.407652,0.0,0.0,0.0,411979568.35158956,0.0,1416056853957.1995,520687028893.74603,0.0,0.0,0.0,0.0,-136497.85074020352,0.0,0.0,0.0
0.1,-1,-1,1,-31043.953218760933,0.0,-0.0003104395321876093,0.0,1.73544129272388e+24,0.0,1.4160566525861597e+24,5.2068696176396066e+23,867720646.3618443,0.0,1416056652586.1594,520686961763.9605,455985203.9948536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35157955,0.0,1416056652586.375,520686961763.97406,-244125.98458953376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429073612.8311446,3.503658988874762e-64,2764218.8375063026,24150347.04694727,0.0,0.0,0.0,0.0,431557563.88097084,4.102218242878631e-64,3230101.862719912,21091389.84773985,0.0,0.0,0.0,0.0,411979568.35220206,62589821.105793804,1416085399914.094,520711310380.7655,0.0,0.0,0.0,0.0,3803521394.7300344,0.0,0.0,0.0,1.9017606973648071e-06,0.0,0.0,0.0,-455985203.9948536,0.0,0.0,0.0,455878730.6280992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244125.98458953376,0.0,0.0,0.0,-137652.61783319892,0.0,0.0,0.0,-7.573064690121715e-18,-31043.953218760245,-7.573064690121713e-26,-0.0003104395321876024,1.735441292723884e+24,0.0,1.4160566525861597e+24,5.2068696176396066e+23,867720646.3618462,0.0,1416056652586.1594,520686961763.9605,0.0,0.0,0.0,0.0,455878730.6280992,0.0,0.0,0.0,411979568.35157955,0.0,1416056652586.375,520686961763.97406,0.0,0.0,0.0,0.0,-137652.61783319892,0.0,0.0,0.0
0.12,-1,-1,1,-31043.9488506222,0.0,-0.00031043948850622194,0.0,1.7354379302464156e+24,0.0,1.4160564494102815e+24,5.206868939832796e+23,867718965.1231121,0.0,1416056449410.2812,520686893983.2795,455985484.2366939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3515701,0.0,1416056449410.484,520686893983.29156,-246087.46515279397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429081351.02375585,3.505434340224048e-64,2765587.889740891,24141543.94494956,0.0,0.0,0.0,0.0,431544958.5723902,4.0993266632542394e-64,3227872.034921971,21105729.289544556,0.0,0.0,0.0,0.0,411979568.3522027,62589821.10579379,1416085399914.0947,520711310380.7664,0.0,0.0,0.0,0.0,5163252353.668783,0.0,0.0,0.0,2.5816261768341064e-06,0.0,0.0,0.0,-455985484.2366939,0.0,0.0,0.0,455878232.14134544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246087.46515279397,0.0,0.0,0.0,-138835.36980177436,0.0,0.0,0.0,-5.048709793414476e-18,-31043.948850621513,-5.0487097934144756e-26,-0.00031043948850621505,1.7354379302464207e+24,0.0,1.4160564494102815e+24,5.206868939832796e+23,867718965.1231146,0.0,1416056449410.2812,520686893983.2795,0.0,0.0,0.0,0.0,455878232.14134544,0.0,0.0,0.0,411979568.3515701,0.0,1416056449410.484,520686893983.29156,0.0,0.0,0.0,0.0,-138835.36980177436,0.0,0.0,0.0
0.14,-1,-1,1,-31043.944441549665,0.0,-0.0003104394444154966,0.0,1.7354344851008434e+24,0.0,1.416056244387131e+24,5.2068682553631816e+23,867717242.550326,0.0,1416056244387.1306,520686825536.31805,455985771.32640874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35155964,0.0,1416056244387.3203,520686825536.3293,-248097.12764302944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429089162.4144675,3.5072237082458376e-64,2766966.955158339,24132665.066648968,0.0,0.0,0.0,0.0,431532234.0270293,4.0964122541630746e-64,3225625.898261207,21120192.164025195,0.0,0.0,0.0,0.0,411979568.35220253,62589821.1057938,1416085399914.0955,520711310380.7661,0.0,0.0,0.0,0.0,4857778549.194872,0.0,0.0,0.0,2.428889274597168e-06,0.0,0.0,0.0,-455985771.32640874,0.0,0.0,0.0,455877721.47280335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248097.12764302944,0.0,0.0,0.0,-140047.27403538633,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.94444154901,-1.0097419586828951e-25,-0.00031043944441549006,1.7354344851008474e+24,0.0,1.416056244387131e+24,5.2068682553631816e+23,867717242.5503279,0.0,1416056244387.1306,520686825536.31805,0.0,0.0,0.0,0.0,455877721.47280335,0.0,0.0,0.0,411979568.35155964,0.0,1416056244387.3203,520686825536.3293,0.0,0.0,0.0,0.0,-140047.27403538633,0.0,0.0,0.0
0.16,-1,-1,1,-31043.93999055739,0.0,-0.00031043939990557385,0.0,1.735430953799711e+24,0.0,1.416056037472883e+24,5.206867564071055e+23,867715476.8997598,0.0,1416056037472.8828,520686756407.10535,455986065.54479325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.351549,0.0,1416056037473.0576,520686756407.1151,-250156.9965830647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429097048.412347,3.509027404528297e-64,2768356.306152149,24123709.036048923,0.0,0.0,0.0,0.0,431519387.949559,4.09347450811013e-64,3223363.0090797306,21134780.71256972,0.0,0.0,0.0,0.0,411979568.35220265,62589821.10579378,1416085399914.0955,520711310380.76636,0.0,0.0,0.0,0.0,4719942808.151766,0.0,0.0,0.0,2.3599714040756226e-06,0.0,0.0,0.0,-455986065.54479325,0.0,0.0,0.0,455877198.12193924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250156.9965830647,0.0,0.0,0.0,-141289.57372671657,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.939990556762,-1.0097419586828951e-25,-0.0003104393999055676,1.7354309537997162e+24,0.0,1.416056037472883e+24,5.206867564071055e+23,867715476.8997624,0.0,1416056037472.8828,520686756407.10535,0.0,0.0,0.0,0.0,455877198.12193924,0.0,0.0,0.0,411979568.351549,0.0,1416056037473.0576,520686756407.1151,0.0,0.0,0.0,0.0,-141289.57372671657,0.0,0.0,0.0
