sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-42356.5576683669,0.0,-0.0004235655766836689,0.0,1.4160307006391974e+24,2.5869395798904858e+23,1.384234249187552e+24,0.0,1416030700639.197,258693957989.04852,968963974431.2861,0.0,0.0,0.0,608145549511.1918,0.0,0.0,0.0,0.0,0.0,1416030700639.195,258693957989.048,414896171575.812,0.0,0.0,0.0,-54077746655.71546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8877031428281044e-65,383680.7124794323,4179230.9035016554,608704781443.1271,0.0,0.0,0.0,0.0,3.7978614372505e-63,29813231.22234075,2.077643716375462,1347853262238.9468,0.0,0.0,0.0,0.0,62589821.105793364,1416085399913.9758,258706905391.37784,414896845385.7401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-994127078780.1064,0.0,0.0,0.0,-0.6958889551460743,0.0,0.0,0.0,-608145549511.1918,0.0,0.0,0.0,1335254242301.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54077746655.71546,0.0,0.0,0.0,-781186439446.4386,-42356.55766836555,-3.7865323450608574e-18,-0.00042356557668365546,-3.7865323450608567e-26,0.0,1.4160307006391974e+24,2.5869395798904858e+23,1.384234249186558e+24,0.0,1416030700639.197,258693957989.04852,968963974430.5902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335254242301.22,0.0,1416030700639.195,258693957989.048,414896171575.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-781186439446.4386
0.02,-1,-1,1,0.0,-42340.81554109205,0.0,-0.0004234081554109204,0.0,1.4160306918904781e+24,2.586939288033043e+23,1.3828306660974535e+24,0.0,1416030691890.4778,258693928803.30423,967981466268.2172,0.0,0.0,0.0,607446102886.5005,0.0,0.0,0.0,0.0,0.0,1416030691890.4758,258693928803.3038,414896167754.73413,0.0,0.0,0.0,-54360804373.01579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890168502754071e-65,383874.2431932773,4181710.587704819,608008283210.7292,0.0,0.0,0.0,0.0,3.7977381692488647e-63,29812263.60038356,2.1071303225916265,1349140537044.3074,0.0,0.0,0.0,0.0,62589821.105793335,1416085399913.9749,258706905391.3775,414896845385.73944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3234526293756707.5,0.0,0.0,0.0,-2264.1684056296945,0.0,0.0,0.0,-607446102886.5005,0.0,0.0,0.0,1336505406141.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54360804373.01579,0.0,0.0,0.0,-783420109892.3169,-42340.8155410907,-2.524354896707238e-18,-0.00042340815541090686,-2.5243548967072378e-26,0.0,1.4160306918904781e+24,2.586939288033043e+23,1.3828306628629273e+24,0.0,1416030691890.4778,258693928803.30423,967981464004.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336505406141.634,0.0,1416030691890.4758,258693928803.3038,414896167754.73413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-783420109892.3169
0.04,-1,-1,1,0.0,-42324.928041734405,0.0,-0.000423249280417344,0.0,1.4160306830821375e+24,2.5869389933731123e+23,1.381414122727849e+24,0.0,1416030683082.1372,258693899337.31116,966989885909.4939,0.0,0.0,0.0,606740644629.0546,0.0,0.0,0.0,0.0,0.0,1416030683082.1348,258693899337.3106,414896163893.37964,0.0,0.0,0.0,-54646922612.93817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.892632939493814e-65,384067.7013996367,4184211.560524265,607305805233.4008,0.0,0.0,0.0,0.0,3.79761494740654e-63,29811296.340950686,2.137585646162571,1350434232828.4172,0.0,0.0,0.0,0.0,62589821.10579332,1416085399913.9744,258706905391.37732,414896845385.73914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4100104201164634e+16,0.0,0.0,0.0,-9870.07294081524,0.0,0.0,0.0,-606740644629.0546,0.0,0.0,0.0,1337762744396.8433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54646922612.93817,0.0,0.0,0.0,-785669032250.7993,-42324.928041733234,-3.7865323450608574e-18,-0.0004232492804173323,-3.7865323450608567e-26,0.0,1.4160306830821375e+24,2.5869389933731123e+23,1.3814141086277455e+24,0.0,1416030683082.1372,258693899337.31116,966989876039.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337762744396.8433,0.0,1416030683082.1348,258693899337.3106,414896163893.37964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-785669032250.7993
0.06,-1,-1,1,0.0,-42308.891700456734,0.0,-0.0004230889170045673,0.0,1.41603067421271e+24,2.586938695842561e+23,1.3799843058538132e+24,0.0,1416030674212.7097,258693869584.25604,965989014097.6688,0.0,0.0,0.0,606029029713.422,0.0,0.0,0.0,0.0,0.0,1416030674212.7075,258693869584.2555,414896159990.7911,0.0,0.0,0.0,-54936175606.542366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895096567182652e-65,384261.0960647226,4186734.33627465,606597203257.2906,0.0,0.0,0.0,0.0,3.797491766016769e-63,29810329.399212386,2.169059155376581,1351734514734.616,0.0,0.0,0.0,0.0,62589821.10579335,1416085399913.975,258706905391.3774,414896845385.73926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8364883716537486.0,0.0,0.0,0.0,-5855.418601576239,0.0,0.0,0.0,-606029029713.422,0.0,0.0,0.0,1339026416361.8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54936175606.542366,0.0,0.0,0.0,-787933568110.3473,-42308.89170045531,-2.524354896707238e-18,-0.00042308891700455303,-2.5243548967072378e-26,0.0,1.41603067421271e+24,2.586938695842561e+23,1.3799842974889292e+24,0.0,1416030674212.7097,258693869584.25604,965989008242.2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339026416361.8079,0.0,1416030674212.7075,258693869584.2555,414896159990.7911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-787933568110.3473
0.08,-1,-1,1,0.0,-42292.70282399929,0.0,-0.00042292702823999283,0.0,1.4160306652805173e+24,2.5869383953704997e+23,1.3785408903302087e+24,0.0,1416030665280.5168,258693839537.0499,964978623231.1459,0.0,0.0,0.0,605311107764.3698,0.0,0.0,0.0,0.0,0.0,1416030665280.5154,258693839537.04922,414896156045.9423,0.0,0.0,0.0,-55228640579.16402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897559646719881e-65,384454.4476791327,4189279.4483934413,605882327709.9122,0.0,0.0,0.0,0.0,3.7973686120345724e-63,29809362.67271945,2.2016037892591562,1353041553654.972,0.0,0.0,0.0,0.0,62589821.10579333,1416085399913.975,258706905391.3775,414896845385.73944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2522212150405564e+16,0.0,0.0,0.0,-8765.548505283892,0.0,0.0,0.0,-605311107764.3698,0.0,0.0,0.0,1340296586291.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55228640579.16402,0.0,0.0,0.0,-790214127871.4285,-42292.70282399783,-3.7865323450608574e-18,-0.00042292702823997825,-3.7865323450608567e-26,0.0,1.4160306652805173e+24,2.5869383953704997e+23,1.378540877807997e+24,0.0,1416030665280.5168,258693839537.0499,964978614465.5975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340296586291.0854,0.0,1416030665280.5154,258693839537.04922,414896156045.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-790214127871.4285
0.1,-1,-1,1,0.0,-42276.35764665892,0.0,-0.0004227635764665892,0.0,1.4160306562839792e+24,2.5869380918830445e+23,1.37708353656434e+24,0.0,1416030656283.979,258693809188.30438,963958475595.0377,0.0,0.0,0.0,604586721529.258,0.0,0.0,0.0,0.0,0.0,1416030656283.9775,258693809188.30365,414896152057.796,0.0,0.0,0.0,-55524397992.014084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900022298282798e-65,384647.765687542,4191847.4547963906,605161022175.3696,0.0,0.0,0.0,0.0,3.7972454794510975e-63,29808396.114249714,2.235276293514057,1354355528795.76,0.0,0.0,0.0,0.0,62589821.105793335,1416085399913.976,258706905391.3778,414896845385.7398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1141952173018030.0,0.0,0.0,0.0,-799.3665211126208,0.0,0.0,0.0,-604586721529.258,0.0,0.0,0.0,1341573427039.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55524397992.014084,0.0,0.0,0.0,-792511104301.1683,-42276.357646657794,-1.262177448353619e-18,-0.0004227635764665779,-1.2621774483536189e-26,0.0,1.4160306562839792e+24,2.5869380918830445e+23,1.3770835354223886e+24,0.0,1416030656283.979,258693809188.30438,963958474795.6716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341573427039.0461,0.0,1416030656283.9775,258693809188.30365,414896152057.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-792511104301.1683
0.12,-1,-1,1,0.0,-42259.85216486365,0.0,-0.00042259852164863645,0.0,1.4160306472212906e+24,2.586937785303211e+23,1.3756118915384464e+24,0.0,1416030647221.2903,258693778530.321,962928324076.9121,0.0,0.0,0.0,603855707678.8683,0.0,0.0,0.0,0.0,0.0,1416030647221.2878,258693778530.32043,414896148025.241,0.0,0.0,0.0,-55823531627.19552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9024847919389336e-65,384841.0712990558,4194438.934937214,604433124196.321,0.0,0.0,0.0,0.0,3.7971223547629633e-63,29807429.617761105,2.270137410668189,1355676625965.125,0.0,0.0,0.0,0.0,62589821.10579334,1416085399913.976,258706905391.3775,414896845385.73956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1138640866412648.5,0.0,0.0,0.0,-797.0486064888537,0.0,0.0,0.0,-603855707678.8683,0.0,0.0,0.0,1342857117225.2878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55823531627.19552,0.0,0.0,0.0,-794824941970.6631,-42259.852164862335,-2.524354896707238e-18,-0.00042259852164862327,-2.5243548967072378e-26,0.0,1.4160306472212906e+24,2.586937785303211e+23,1.3756118903998046e+24,0.0,1416030647221.2903,258693778530.321,962928323279.8629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342857117225.2878,0.0,1416030647221.2878,258693778530.32043,414896148025.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-794824941970.6631
0.14,-1,-1,1,0.0,-42243.182260601636,0.0,-0.00042243182260601626,0.0,1.416030638090687e+24,2.5869374755506768e+23,1.3741255864283042e+24,0.0,1416030638090.6865,258693747555.06763,961887910499.8127,0.0,0.0,0.0,603117895397.351,0.0,0.0,0.0,0.0,0.0,1416030638090.685,258693747555.0669,414896143947.1437,0.0,0.0,0.0,-56126128844.68008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.904947295736953e-65,385034.37771013984,4197054.4947364535,603698463866.8358,0.0,0.0,0.0,0.0,3.7969992295677273e-63,29806463.117273793,2.3062522327443356,1357005039878.0452,0.0,0.0,0.0,0.0,62589821.10579334,1416085399913.9753,258706905391.3772,414896845385.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1135248306696968.8,0.0,0.0,0.0,-794.6738146878779,0.0,0.0,0.0,-603117895397.351,0.0,0.0,0.0,1344147844486.1604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56126128844.68008,0.0,0.0,0.0,-797156078728.1625,-42243.18226060043,-2.524354896707238e-18,-0.0004224318226060042,-2.5243548967072378e-26,0.0,1.416030638090687e+24,2.5869374755506768e+23,1.374125585293056e+24,0.0,1416030638090.6865,258693747555.06763,961887909705.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344147844486.1604,0.0,1416030638090.685,258693747555.0669,414896143947.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-797156078728.1625
0.16,-1,-1,1,0.0,-42226.34361930737,0.0,-0.0004222634361930736,0.0,1.4160306288903036e+24,2.586937162541617e+23,1.3726242365427723e+24,0.0,1416030628890.3032,258693716254.16165,960836965579.9403,0.0,0.0,0.0,602373106513.7933,0.0,0.0,0.0,0.0,0.0,1416030628890.3013,258693716254.16092,414896139822.3146,0.0,0.0,0.0,-56432280756.16565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907410015176755e-65,385227.7010521172,4199694.766045558,602956863965.8662,0.0,0.0,0.0,0.0,3.796876093590408e-63,29805496.532133173,2.343690544046372,1358340973631.6008,0.0,0.0,0.0,0.0,62589821.10579334,1416085399913.9758,258706905391.3779,414896845385.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1131773491416659.0,0.0,0.0,0.0,-792.2414439916611,0.0,0.0,0.0,-602373106513.7933,0.0,0.0,0.0,1345445804404.6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56432280756.16565,0.0,0.0,0.0,-799504979439.2697,-42226.34361930614,-3.7865323450608574e-18,-0.00042226343619306136,-3.7865323450608567e-26,0.0,1.4160306288903036e+24,2.586937162541617e+23,1.3726242354109982e+24,0.0,1416030628890.3032,258693716254.16165,960836964787.6985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345445804404.6553,0.0,1416030628890.3013,258693716254.16092,414896139822.3146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799504979439.2697
