mu_I, IB_E,	sigma_iv,	sigma_ci,	efficiency
1e-05, 0.589749179822291,	5e-13,	1e-13,	0.3074
1e-05, 0.589749179822291,	1e-13,	1e-13,	0.29899
1e-05, 0.589749179822291,	5e-13,	5e-13,	0.3834
1e-05, 0.589749179822291,	1e-13,	5e-13,	0.30328
1e-05, 0.554471732447214,	5e-13,	1e-13,	0.3047
1e-05, 0.554471732447214,	1e-13,	1e-13,	0.2947
1e-05, 0.554471732447214,	5e-13,	5e-13,	0.3833
1e-05, 0.554471732447214,	1e-13,	5e-13,	0.31072
1e-05, 0.495466856073422,	5e-13,	1e-13,	0.298
1e-05, 0.495466856073422,	1e-13,	1e-13,	0.2865
1e-05, 0.495466856073422,	5e-13,	5e-13,	0.3712
1e-05, 0.495466856073422,	1e-13,	5e-13,	0.31895
1e-05, 0.375761866930949,	5e-13,	1e-13,	0.2809
1e-05, 0.375761866930949,	1e-13,	1e-13,	0.2704
1e-05, 0.375761866930949,	5e-13,	5e-13,	0.3382
1e-05, 0.375761866930949,	1e-13,	5e-13,	0.3151

0.001, 0.589749179822291,	5e-13,	1e-13,	0.30598
0.001, 0.589749179822291,	1e-13,	1e-13,	0.2991
0.001, 0.589749179822291,	5e-13,	5e-13,	0.3805
0.001, 0.589749179822291,	1e-13,	5e-13,	0.3088
0.001, 0.554471732447214,	5e-13,	1e-13,	0.3037
0.001, 0.554471732447214,	1e-13,	1e-13,	0.2968
0.001, 0.554471732447214,	5e-13,	5e-13,	0.3821
0.001, 0.554471732447214,	1e-13,	5e-13,	0.3167
0.001, 0.495466856073422,	5e-13,	1e-13,	0.2975
0.001, 0.495466856073422,	1e-13,	1e-13,	0.2887
0.001, 0.495466856073422,	5e-13,	5e-13,	0.3713
0.001, 0.495466856073422,	1e-13,	5e-13,	0.3253
0.001, 0.375761866930949,	5e-13,	1e-13,	0.28118
0.001, 0.375761866930949,	1e-13,	1e-13,	0.2724
0.001, 0.375761866930949,	5e-13,	5e-13,	0.3389
0.001, 0.375761866930949,	1e-13,	5e-13,	0.31979

1, 0.589749179822291,	5e-13,	1e-13,	0.31465
1, 0.589749179822291,	1e-13,	1e-13,	0.2986
1, 0.589749179822291,	5e-13,	5e-13,	0.3900
1, 0.589749179822291,	1e-13,	5e-13,	0.3148
1, 0.554471732447214,	5e-13,	1e-13,	0.3106
1, 0.554471732447214,	1e-13,	1e-13,	0.2988
1, 0.554471732447214,	5e-13,	5e-13,	0.3873
1, 0.554471732447214,	1e-13,	5e-13,	0.3239
1, 0.495466856073422,	5e-13,	1e-13,	0.3020
1, 0.495466856073422,	1e-13,	1e-13,	0.2906
1, 0.495466856073422,	5e-13,	5e-13,	0.3742
1, 0.495466856073422,	1e-13,	5e-13,	0.3339
1, 0.375761866930949,	5e-13,	1e-13,	0.2834
1, 0.375761866930949,	1e-13,	1e-13,	0.2737
1, 0.375761866930949,	5e-13,	5e-13,	0.3405
1, 0.375761866930949,	1e-13,	5e-13,	0.3242

30, 0.589749179822291,	5e-13,	1e-13,	0.30767
30, 0.589749179822291,	1e-13,	1e-13,	0.2904
30, 0.589749179822291,	5e-13,	5e-13,	0.3905
30, 0.589749179822291,	1e-13,	5e-13,	0.3233
30, 0.554471732447214,	5e-13,	1e-13,	0.3035
30, 0.554471732447214,	1e-13,	1e-13,	0.292
30, 0.554471732447214,	5e-13,	5e-13,	0.3867
30, 0.554471732447214,	1e-13,	5e-13,	0.3314
30, 0.495466856073422,	5e-13,	1e-13,	0.2958
30, 0.495466856073422,	1e-13,	1e-13,	0.2858
30, 0.495466856073422,	5e-13,	5e-13,	0.3732
30, 0.495466856073422,	1e-13,	5e-13,	0.3381
30, 0.375761866930949,	5e-13,	1e-13,	0.27995
30, 0.375761866930949,	1e-13,	1e-13,	0.2715
30, 0.375761866930949,	5e-13,	5e-13,	0.3398
30, 0.375761866930949,	1e-13,	5e-13,	0.32434

100, 0.589749179822291,	5e-13,	1e-13,	0.30613
100, 0.589749179822291,	1e-13,	1e-13,	0.2898
100, 0.589749179822291,	5e-13,	5e-13,	0.3903
100, 0.589749179822291,	1e-13,	5e-13,	0.3243
100, 0.554471732447214,	5e-13,	1e-13,	0.302
100, 0.554471732447214,	1e-13,	1e-13,	0.2915
100, 0.554471732447214,	5e-13,	5e-13,	0.3864
100, 0.554471732447214,	1e-13,	5e-13,	0.3321
100, 0.495466856073422,	5e-13,	1e-13,	0.2946
100, 0.495466856073422,	1e-13,	1e-13,	0.2854
100, 0.495466856073422,	5e-13,	5e-13,	0.3729
100, 0.495466856073422,	1e-13,	5e-13,	0.3384
100, 0.375761866930949,	5e-13,	1e-13,	0.2792
100, 0.375761866930949,	1e-13,	1e-13,	0.2713
100, 0.375761866930949,	5e-13,	5e-13,	0.3395
100, 0.375761866930949,	1e-13,	5e-13,	0.32433
